REGION,Total,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,Powerline,P-W-F,Rail-road,Smoking,Undet.,Vehicle,year ,region 
Amador,"$2,050 ",$500 ,$0 ,$0 ,$50 ,$0 ,$0 ,"$1,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
El Dorado,"$2,168,563 ",$0 ,"$20,000 ","$1,200 ","$533,150 ","$217,100 ","$3,200 ","$739,413 ",$0 ,$0 ,"$650,000 ",$0 ,"$4,500 ",2013,north
Sacramento,$2 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$2 ,$0 ,2013,north
San Joaquin,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$1 ,$0 ,2013,north
Amador-El Dorado,"$2,170,616 ",$500 ,"$20,000 ","$1,200 ","$533,200 ","$217,100 ","$3,200 ","$740,913 ",$0 ,$0 ,"$650,000 ",$3 ,"$4,500 ",2013,north
Butte,"$843,776 ","$100,000 ","$2,000 ","$36,100 ","$10,000 ","$55,524 ",$2 ,"$625,000 ",$0 ,$0 ,$0 ,"$15,150 ",$0 ,2013,north
Tehama,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Butte,"$843,776 ","$100,000 ","$2,000 ","$36,100 ","$10,000 ","$55,524 ",$2 ,"$625,000 ",$0 ,$0 ,$0 ,"$15,150 ",$0 ,2013,north
Del Norte,$20 ,$0 ,$0 ,$20 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Humboldt,"$48,505 ",$3 ,$0 ,"$4,000 ",$0 ,"$7,500 ",$0 ,"$7,000 ","$5,000 ",$0 ,$0 ,$2 ,"$25,000 ",2013,north
Humboldt-Del Norte,"$48,525 ",$3 ,$0 ,"$4,020 ",$0 ,"$7,500 ",$0 ,"$7,000 ","$5,000 ",$0 ,$0 ,$2 ,"$25,000 ",2013,north
Lassen,"$5,377 ",$0 ,$0 ,$2 ,$0 ,$0 ,"$3,772 ",$200 ,$0 ,$0 ,$3 ,"$1,400 ",$0 ,2013,north
Modoc,"$30,051 ",$0 ,$0 ,$32 ,$0 ,$0 ,"$25,009 ",$0 ,"$1,000 ",$0 ,$0 ,"$3,250 ",$760 ,2013,north
Plumas,"$1,274 ",$0 ,$0 ,$0 ,$0 ,$1 ,$2 ,"$1,020 ",$0 ,$0 ,$0 ,$0 ,$251 ,2013,north
Shasta,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Siskiyou,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Lassen-Modoc,"$36,903 ",$0 ,$0 ,$34 ,$0 ,$1 ,"$28,984 ","$1,220 ","$1,000 ",$0 ,$3 ,"$4,650 ","$1,011 ",2013,north
Mendocino,"$314,912 ",$0 ,$0 ,"$10,200 ","$6,002 ",$550 ,$2 ,$0 ,$6 ,$0 ,$0 ,"$281,952 ","$16,200 ",2013,north
Mendocino,"$314,912 ",$0 ,$0 ,"$10,200 ","$6,002 ",$550 ,$2 ,$0 ,$6 ,$0 ,$0 ,"$281,952 ","$16,200 ",2013,north
Nevada,"$332,568 ",$0 ,$0 ,"$2,606 ","$13,000 ","$2,530 ",$0 ,$0 ,$30 ,$0 ,"$2,000 ","$300,002 ","$12,400 ",2013,north
Placer,"$69,951 ",$0 ,$0 ,"$2,650 ","$1,000 ","$4,501 ",$0 ,"$1,000 ",$0 ,$0 ,$0 ,"$53,800 ","$7,000 ",2013,north
Sierra,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Sutter,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Yuba,"$34,257 ",$0 ,$0 ,"$1,000 ","$1,007 ","$5,250 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$10,000 ","$17,000 ",2013,north
Nevada-Yuba-Placer,"$436,776 ",$0 ,$0 ,"$6,256 ","$15,007 ","$12,281 ",$0 ,"$1,000 ",$30 ,$0 ,"$2,000 ","$363,802 ","$36,400 ",2013,north
San Mateo,"$1,215 ",$0 ,$0 ,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$15 ,"$1,000 ",2013,north
