NORTHERN REGION,Total,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,Power-line,P-W-F,Rail-road,Smoking,Undet.,Vehicle,year ,region 
Shasta,"$33,600 ",$200 ,$0 ,"$14,800 ","$1,000 ",$0 ,$100 ,"$2,500 ",$0 ,,"$1,000 ","$14,000 ",$0 ,2011,north
Shasta-Trinity,"$49,700 ",$200 ,$0 ,"$14,800 ","$1,100 ",$0 ,$100 ,"$12,500 ",$0 ,$0 ,"$2,000 ","$19,000 ",$0 ,2011,north
Shasta,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,2011,north
Siskiyou,"$291,402 ",$0 ,$0 ,$0 ,"$1,000 ",$0 ,"$250,402 ",$0 ,$0 ,,$0 ,$0 ,"$40,000 ",2011,north
Siskiyou,"$291,402 ",$0 ,$0 ,$0 ,"$1,000 ",$0 ,"$250,402 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$40,000 ",2011,north
Colusa,"$13,000 ",$0 ,$0 ,$0 ,"$13,000 ",$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,2011,north
Lake,"$534,840 ",$100 ,$0 ,$40 ,"$1,000 ",$0 ,"$520,600 ",$0 ,$0 ,,$0 ,"$13,100 ",$0 ,2011,north
Napa,"$754,350 ",$0 ,$0 ,$0 ,,$0 ,"$754,050 ",$300 ,$0 ,,$0 ,$0 ,$0 ,2011,north
Solano,"$3,020 ",$0 ,$0 ,$0 ,"$2,500 ",$0 ,$20 ,$0 ,$0 ,,$0 ,$500 ,$0 ,2011,north
Sonoma,"$276,401 ",$0 ,$0 ,$0 ,"$5,100 ",$0 ,"$271,100 ",$201 ,$0 ,,$0 ,$0 ,$0 ,2011,north
Yolo,"$35,002 ",$0 ,$0 ,$0 ,"$35,000 ",$0 ,$0 ,$0 ,$0 ,,$0 ,$2 ,$0 ,2011,north
Sonoma-Lake-Napa,"$1,616,613 ",$100 ,$0 ,$40 ,"$56,600 ",$0 ,"$1,545,770 ",$501 ,$0 ,$0 ,$0 ,"$13,602 ",$0 ,2011,north
