NORTHERN REGION,Total,Arson,Campfire,Debris Burning,Elec. Power,Equip. Use,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle,year,region
Napa,"$126,015 ",$100 ,$0 ,"$103,808 ",$100 ,"$5,007 ",$0 ,"$4,000 ",$0 ,$0 ,$100 ,$400 ,"$12,500 ",2014,north  
Solano,"$10,500 ",$0 ,$0 ,"$1,500 ",$0 ,"$1,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$8,000 ",2014,north  
Sonoma,"$14,955 ",$0 ,$0 ,$0 ,$5 ,"$14,350 ",$0 ,$600 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,north  
Yolo,"$10,302 ",$0 ,$0 ,$0 ,$0 ,,$0 ,$302 ,$0 ,$0 ,$0 ,$0 ,"$10,000 ",2014,north  
Sonoma-Lake Napa,"$231,027 ",$100 ,$0 ,"$105,313 ",$105 ,"$20,357 ",$0 ,"$4,902 ",$0 ,$0 ,$100 ,"$55,650 ","$44,500 ",2014,north  
Glenn,$100 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$100 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,north  
Tehama,"$52,500 ",$0 ,$0 ,$100 ,"$6,000 ","$5,200 ","$5,000 ",$500 ,$0 ,$0 ,$0 ,"$35,000 ",$700 ,2014,north  
Tehama-Glenn,"$52,600 ",$0 ,$0 ,$100 ,"$6,000 ","$5,200 ","$5,000 ",$600 ,$0 ,$0 ,$0 ,"$35,000 ",$700 ,2014,north  
Fresno,"$1,017,700 ","$12,260 ",$0 ,$140 ,"$5,100 ","$1,000,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$200 ,2014,south 
Kings,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,south 
Fresno-Kings,"$1,017,700 ","$12,260 ",$0 ,$140 ,"$5,100 ","$1,000,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$200 ,2014,south 
Madera,"$5,807,684 ","$1,000 ",$0 ,$0 ,$0 ,$500 ,$0 ,"$2,901,332 ",$0 ,$2 ,$0 ,"$2,900,450 ","$4,400 ",2014,south 
Mariposa,"$30,000 ",$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,"$10,000 ","$20,000 ",2014,south 
Merced,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014,south 
Madera-Mariposa,"$5,837,684 ","$1,000 ",$0 ,$0 ,$0 ,$500 ,$0 ,"$2,901,332 ",$0 ,$2 ,$0 ,"$2,910,450 ","$24,400 ",2014,south 
Riverside,"$275,802 ",$0 ,$200 ,$0 ,"$10,000 ",$600 ,$2 ,$0 ,$0 ,$0 ,$0 ,"$261,000 ","$4,000 ",2014,south 
Riverside,"$275,802 ",$0 ,$200 ,$0 ,"$10,000 ",$600 ,$2 ,$0 ,$0 ,$0 ,$0 ,"$261,000 ","$4,000 ",2014,south 
Monterey,"$2,180 ",$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$180 ,"$2,000 ",2014,south 
San Benito,"$1,700 ",$0 ,$0 ,$500 ,"$1,000 ",,$0 ,$100 ,$0 ,$0 ,$0 ,$100 ,$0 ,2014,south 
San Benito-Monterey,"$3,880 ",$0 ,$0 ,$500 ,"$1,000 ",,$0 ,$100 ,$0 ,$0 ,$0 ,$280 ,"$2,000 ",2014,south 
Inyo,"$100,000 ",$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$100,000 ",2014,south 
San Bernardino,"$5,485 ",$0 ,$0 ,$300 ,$0 ,$10 ,$0 ,$0 ,$175 ,$0 ,$0 ,$0 ,"$5,000 ",2014,south 
San Bernardino,"$105,485 ",$0 ,$0 ,$300 ,$0 ,$10 ,$0 ,$0 ,$175 ,$0 ,$0 ,$0 ,"$105,000 ",2014,south 
