NORTHERN REGION,Total,Arson,Campfire,Debris Burning,Elec. Power,Equip.Use,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle,year ,region 
Lassen-Modoc,"$2,814 ",$0 ,$0 ,$0 ,,$400 ,"$1,314 ",$0 ,$0 ,$0 ,$0 ,"$1,000 ",$100 ,2015,north 
Mendocino,"$328,014 ","$3,000 ",$0 ,"$3,870 ","$11,101 ","$12,500 ",$0 ,"$272,381 ",$0 ,$0 ,$40 ,$910 ,"$24,212 ",2015,north 
Mendocino,"$328,014 ","$3,000 ",$0 ,"$3,870 ","$11,101 ","$12,500 ",$0 ,"$272,381 ",$0 ,$0 ,$40 ,$910 ,"$24,212 ",2015,north 
Nevada,"$42,402 ",$0 ,$0 ,"$10,000 ",$400 ,"$20,000 ",$0 ,$0 ,$2 ,$0 ,$0 ,"$12,000 ",$0 ,2015,north 
Placer,"$289,354 ",$0 ,$0 ,"$231,001 ","$16,150 ","$7,000 ","$2,700 ","$1,000 ",$2 ,$0 ,$0 ,"$15,300 ","$16,201 ",2015,north 
Sierra,$0 ,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north 
Sutter,$0 ,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north 
Yuba,"$252,620 ",$0 ,$0 ,$0 ,"$250,000 ","$2,600 ",$0 ,$20 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north 
Nevada-Yuba-Placer,"$584,376 ",$0 ,$0 ,"$241,001 ","$266,550 ","$29,600 ","$2,700 ","$1,020 ",$4 ,$0 ,$0 ,"$27,300 ","$16,201 ",2015,north 
San Mateo,$602 ,$0 ,$0 ,$0 ,$2 ,$200 ,$300 ,$0 ,$0 ,$0 ,$0 ,$100 ,$0 ,2015,north 
Santa Cruz,"$10,007 ",$105 ,$0 ,$0 ,$900 ,$500 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,002 ","$5,500 ",2015,north 
San Mateo-Santa Cruz,"$10,609 ",$105 ,$0 ,$0 ,$902 ,$700 ,$300 ,$0 ,$0 ,$0 ,$0 ,"$3,102 ","$5,500 ",2015,north 
Alameda,"$1,826,231 ",$0 ,$0 ,$0 ,"$85,350 ","$3,756 ","$4,275 ",$400 ,$0 ,$0 ,$0 ,"$1,675,450 ","$57,000 ",2015,north 
Contra Costa,"$59,230 ","$1,420 ",$0 ,$0 ,"$5,000 ","$47,950 ",$0 ,"$3,500 ",$0 ,$0 ,$0 ,"$1,360 ",$0 ,2015,north 
Santa Clara,"$11,274 ",$0 ,$0 ,$0 ,,$494 ,$0 ,$100 ,$0 ,$0 ,$0 ,"$10,580 ",$100 ,2015,north 
W. San Joaquin,"$1,190 ",$0 ,$0 ,$0 ,,,$0 ,$150 ,$0 ,$0 ,$0 ,$40 ,"$1,000 ",2015,north 
W. Stanislaus,$800 ,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$800 ,2015,north 
Santa Clara,"$1,898,725 ","$1,420 ",$0 ,$0 ,"$90,350 ","$52,200 ","$4,275 ","$4,150 ",$0 ,$0 ,$0 ,"$1,687,430 ","$58,900 ",2015,north 
E. Trinity,"$10,400 ",$0 ,$0 ,$0 ,,,$0 ,"$10,400 ",$0 ,$0 ,$0 ,$0 ,$0 ,2015,north 
Shasta,"$817,321 ",$200 ,$200 ,"$30,000 ",,"$58,800 ",$100 ,"$10,050 ","$3,000 ",$0 ,$0 ,"$413,371 ","$301,600 ",2015,north 
Shasta-Trinity,"$827,721 ",$200 ,$200 ,"$30,000 ",,"$58,800 ",$100 ,"$20,450 ","$3,000 ",$0 ,$0 ,"$413,371 ","$301,600 ",2015,north 
Shasta,$0 ,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north 
Siskiyou,"$68,906 ","$3,650 ",$0 ,"$2,200 ","$56,001 ","$1,250 ","$1,185 ",$600 ,$0 ,$0 ,$0 ,"$4,020 ",$0 ,2015,north 
Siskiyou,"$68,906 ","$3,650 ",$0 ,"$2,200 ","$56,001 ","$1,250 ","$1,185 ",$600 ,$0 ,$0 ,$0 ,"$4,020 ",$0 ,2015,north 
Colusa,"$6,551 ",$0 ,$0 ,$0 ,"$6,500 ",,$0 ,$50 ,$0 ,$0 ,$0 ,$1 ,$0 ,2015,north 
Lake,"$2,017,984,089 ","$1,000 ",$0 ,$520 ,"$2,000,000,198 ","$7,755,841 ",$0 ,"$225,000 ",$0 ,$0 ,$500 ,"$10,001,030 ",$0 ,2015,north 
Napa,"$277,310 ",$0 ,$0 ,$0 ,"$50,000 ",,$0 ,"$7,000 ",$0 ,$0 ,$0 ,"$220,310 ",$0 ,2015,north 
Solano,"$20,340 ",$0 ,$0 ,$40 ,,,$0 ,$300 ,$0 ,$0 ,$0 ,"$5,000 ","$15,000 ",2015,north 
Sonoma,"$1,392,000 ",$0 ,$0 ,$0 ,"$25,600 ","$10,700 ",$0 ,"$1,350,500 ",$0 ,$0 ,$0 ,"$5,000 ",$200 ,2015,north 
Yolo,"$67,500 ",$0 ,$0 ,$0 ,,"$60,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$7,500 ",$0 ,2015,north 
Sonoma-Lake-Napa,"$2,019,747,790 ","$1,000 ",$0 ,$560 ,"$2,000,082,298 ","$7,826,541 ",$0 ,"$1,582,850 ",$0 ,$0 ,$500 ,"$10,238,841 ","$15,200 ",2015,north 
Glenn,$250 ,$0 ,$0 ,$0 ,,,$0 ,$250 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north 
Tehama,"$833,450 ",$0 ,$0 ,"$3,450 ","$51,000 ",$800 ,"$1,000 ","$53,600 ","$2,000 ",$0 ,$0 ,"$219,050 ","$502,550 ",2015,north 
Tehama-Glenn,"$833,700 ",$0 ,$0 ,"$3,450 ","$51,000 ",$800 ,"$1,000 ","$53,850 ","$2,000 ",$0 ,$0 ,"$219,050 ","$502,550 ",2015,north 
Fresno,"$11,675 ",$900 ,$0 ,$0 ,"$2,300 ",,$500 ,$375 ,$0 ,$0 ,$0 ,"$1,600 ","$6,000 ",2015,south
Kings,$0 ,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,south
Fresno-Kings,"$11,675 ",$900 ,$0 ,$0 ,"$2,300 ",,$500 ,$375 ,$0 ,$0 ,$0 ,"$1,600 ","$6,000 ",2015,south
Madera,"$101,321 ",$400 ,$600 ,"$35,000 ","$56,020 ",,$0 ,$0 ,$0 ,$0 ,$0 ,$100 ,"$9,201 ",2015,south
Mariposa,"$1,000 ",$500 ,$200 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$300 ,$0 ,2015,south
Merced,"$701,920 ",$600 ,$0 ,$0 ,,,"$100,000 ","$600,000 ",$0 ,$0 ,$0 ,"$1,300 ",$20 ,2015,south
Madera-Mariposa,"$804,241 ","$1,500 ",$800 ,"$35,000 ","$56,020 ",,"$100,000 ","$600,000 ",$0 ,$0 ,$0 ,"$1,700 ","$9,221 ",2015,south
Riverside,"$35,148 ",$0 ,$100 ,$37 ,$11 ,"$24,000 ",$0 ,"$1,000 ",$0 ,$0 ,$0 ,"$8,500 ","$1,500 ",2015,south
Riverside,"$35,148 ",$0 ,$100 ,$37 ,$11 ,"$24,000 ",$0 ,"$1,000 ",$0 ,$0 ,$0 ,"$8,500 ","$1,500 ",2015,south
Monterey,"$10,005,710 ","$10,000,000 ",$0 ,$500 ,"$1,200 ",$100 ,$200 ,"$1,500 ",$0 ,$0 ,$200 ,$0 ,"$2,010 ",2015,south
San Benito,"$15,620 ",$0 ,$0 ,$0 ,"$5,000 ","$10,620 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,south
San Benito-Monterey,"$10,021,330 ","$10,000,000 ",$0 ,$500 ,"$6,200 ","$10,720 ",$200 ,"$1,500 ",$0 ,$0 ,$200 ,$0 ,"$2,010 ",2015,south
Inyo,"$15,819,560 ",$0 ,$0 ,$0 ,"$3,000 ",,$0 ,$0 ,$0 ,$0 ,$0 ,"$15,811,560 ","$5,000 ",2015,south
San Bernardino,"$66,102 ",$0 ,$0 ,$0 ,,$200 ,$0 ,$2 ,"$65,000 ",$0 ,$0 ,$900 ,$0 ,2015,south
San Bernardino,"$15,885,662 ",$0 ,$0 ,$0 ,"$3,000 ",$200 ,$0 ,$2 ,"$65,000 ",$0 ,$0 ,"$15,812,460 ","$5,000 ",2015,south
San Diego,"$144,957 ",$0 ,$0 ,$0 ,"$11,407 ",,$0 ,$0 ,"$30,000 ",$0 ,$0 ,"$88,050 ","$15,500 ",2015,south
San Diego,"$144,957 ",$0 ,$0 ,$0 ,"$11,407 ",,$0 ,$0 ,"$30,000 ",$0 ,$0 ,"$88,050 ","$15,500 ",2015,south
San Luis Obispo,"$1,399,900 ",$0 ,$100 ,$0 ,"$15,100 ",,"$20,000 ","$440,400 ",$0 ,$0 ,$0 ,$0 ,"$924,300 ",2015,south
San Luis Obispo,"$1,399,900 ",$0 ,$100 ,$0 ,"$15,100 ",,"$20,000 ","$440,400 ",$0 ,$0 ,$0 ,$0 ,"$924,300 ",2015,south
Tulare,"$176,768 ",$45 ,$0 ,$0 ,$2 ,$500 ,"$1,000 ","$175,201 ",$0 ,$0 ,$0 ,$20 ,$0 ,2015,south
Tulare,"$176,768 ",$45 ,$0 ,$0 ,$2 ,$500 ,"$1,000 ","$175,201 ",$0 ,$0 ,$0 ,$20 ,$0 ,2015,south
Calaveras,"$139,494 ",$0 ,$0 ,"$19,600 ","$8,625 ","$13,000 ","$8,000 ","$10,110 ",$100 ,$0 ,$0 ,"$64,643 ","$15,416 ",2015,south
E. San Joaquin,"$3,175 ",$0 ,$0 ,$0 ,,"$2,025 ",$0 ,$400 ,$0 ,$0 ,$0 ,$150 ,$600 ,2015,south
E. Stanislaus,"$27,330 ","$2,800 ",$0 ,$0 ,"$9,380 ","$1,000 ",$0 ,"$1,800 ",$0 ,$0 ,$0 ,$350 ,"$12,000 ",2015,south
Tuolumne,"$61,927 ",$20 ,$0 ,$920 ,$336 ,"$22,247 ",$0 ,"$12,400 ",$0 ,$0 ,$0 ,$4 ,"$26,000 ",2015,south
Tuolumne-Calaveras,"$231,926 ","$2,820 ",$0 ,"$20,520 ","$18,341 ","$38,272 ","$8,000 ","$24,710 ",$100 ,$0 ,$0 ,"$65,147 ","$54,016 ",2015,south
