county,year ,val_sf
Siskiyou,2013,119.6045462
Amador,2013,133.8270826
Lassen,2013,96.25193763
Glenn,2013,119.2595431
Colusa,2013,100.104211
Plumas,2013,163.8900017
Inyo,2013,174.2493447
Mariposa,2013,152.7706652
Mono,2013,277.5143541
Trinity,2013,
Modoc,2013,87.475004
Los Angeles,2014,325.2275738
San Diego,2014,291.1743554
Orange,2014,354.3401442
Riverside,2014,168.1959028
San Bernardino,2014,157.7571853
Santa Clara,2014,448.6526409
Alameda,2014,368.8234979
Sacramento,2014,165.9216375
Contra Costa,2014,293.1066746
Fresno,2014,129.2744767
Kern,2014,122.626787
Ventura,2014,301.7245206
San Francisco,2014,765.0420672
San Mateo ,2014,585.18339
San Joaquin,2014,154.8444357
Stanislaus,2014,141.1279598
Sonoma,2014,313.0734
Tulare,2014,117.131315
Santa Barbara,2014,420.6579254
Monterey,2014,381.4069397
Solano,2014,191.6420448
Placer,2014,203.6451323
San Luis Obispo,2014,305.4502539
Santa Cruz,2014,415.1909371
Merced,2014,119.706441
Marin,2014,514.903438
Butte,2014,153.8578353
Yolo,2014,185.1744877
El Dorado,2014,206.9418281
Shasta,2014,151.8499891
Kings,2014,115.5397544
Madera,2014,132.5890364
Napa,2014,379.075522
Humboldt,2014,185.5083552
Nevada,2014,212.2651261
Sutter,2014,128.3590788
Yuba,2014,123.4475732
Lake,2014,135.9794973
Tehama,2014,130.2219183
Tuolumne,2014,152.644199
San Benito,2014,235.4291035
Calaveras,2014,162.0052357
Siskiyou,2014,122.9351607
Amador,2014,151.2189676
Lassen,2014,103.0619897
Glenn,2014,130.1081253
Colusa,2014,127.8848007
Plumas,2014,168.6501335
Inyo,2014,182.4689459
Mariposa,2014,159.8942995
Mono,2014,296.1844223
Trinity,2014,
Modoc,2014,89.04893207
Los Angeles,2015,350.1239694
San Diego,2015,308.4119249
Orange,2015,369.2662043
Riverside,2015,175.5056829
San Bernardino,2015,168.8587025
Santa Clara,2015,502.5888952
Alameda,2015,407.7234588
Sacramento,2015,177.3928044
Contra Costa,2015,311.2899006
Fresno,2015,136.4858595
Kern,2015,127.5087731
Ventura,2015,314.9512834
San Francisco,2015,844.172166
San Mateo ,2015,662.6851125
San Joaquin,2015,167.8685595
Stanislaus,2015,152.9854496
Sonoma,2015,341.2867667
Tulare,2015,123.824801
Santa Barbara,2015,444.0846127
Monterey,2015,382.9199893
Solano,2015,206.1184755
Placer,2015,212.031461
San Luis Obispo,2015,323.5634653
Santa Cruz,2015,443.0288208
Merced,2015,128.4431867
Marin,2015,550.6596329
Butte,2015,158.6460273
Yolo,2015,206.8298312
El Dorado,2015,215.2035318
Shasta,2015,154.9352309
Kings,2015,121.7987208
Madera,2015,134.7395153
Napa,2015,406.7416266
Humboldt,2015,184.8751617
Nevada,2015,229.8143367
Sutter,2015,135.6445203
Yuba,2015,130.5721862
Lake,2015,149.1684531
Tehama,2015,135.9853775
Tuolumne,2015,160.1649038
San Benito,2015,264.3521264
Calaveras,2015,168.3579383
Siskiyou,2015,128.6020999
Amador,2015,162.4837483
Lassen,2015,116.0110337
Glenn,2015,140.2018285
Colusa,2015,133.0521999
Plumas,2015,176.4340331
Inyo,2015,192.6635127
Mariposa,2015,154.2667552
Mono,2015,299.7697155
Trinity,2015,
Modoc,2015,97.33202453
Los Angeles,2016,380.7958199
San Diego,2016,328.281991
Orange,2016,389.4154688
Riverside,2016,184.457179
San Bernardino,2016,181.6806268
Santa Clara,2016,554.6073246
Alameda,2016,443.772311
Sacramento,2016,194.7227874
Contra Costa,2016,338.2050415
Fresno,2016,143.5356351
Kern,2016,131.6460277
Ventura,2016,330.5182377
San Francisco,2016,927.4428326
San Mateo ,2016,730.8087546
San Joaquin,2016,182.9359596
Stanislaus,2016,168.1400023
Sonoma,2016,368.8240489
Tulare,2016,132.1596912
Santa Barbara,2016,491.4488802
Monterey,2016,413.0395309
Solano,2016,223.7269423
Placer,2016,229.1561744
San Luis Obispo,2016,338.7421792
Santa Cruz,2016,476.2363868
