,county,arson_num_fire_cause,campfire_num_fire_cause,debris_burning_num_fire_cause,equip_use_num_fire_cause,ltng_num_fire_cause,misc_num_fire_cause,p-w-f_num_fire_cause,powerline_num_fire_cause,railroad_num_fire_cause,smoking_num_fire_cause,undet_num_fire_cause,vehicle_num_fire_cause,.25_acres_or_<_num_fire_size,.26-9.99_acres_num_fire_size,10-99_acres_num_fire_size,100-299_acres_num_fire_size,300-999_acres_num_fire_size,1000-4999_acres_num_fire_size,5000_acres_>_num_fire_size,arson_num_acres_cause,campfire_num_acres_cause,debris_burning_num_acres_cause,equip_use_num_acres_cause,ltng_num_acres_cause,misc_num_acres_cause,p-w-f_num_acres_cause,powerline_num_acres_cause,railroad_num_acres_cause,smoking_num_acres_cause,undet_num_acres_cause,vehicle_num_acres_cause,brush_num_acres_veg,grass_num_acres_veg,timber_num_acres_veg,woodland_num_acres_veg,other_num_acres_veg,arson_dollar_cause,campfire_dollar_cause,debris_burning_dollar_cause,equip_use_dollar_cause,ltng_dollar_cause,misc_dollar_cause,p-w-f_dollar_cause,powerline_dollar_cause,railroad_dollar_cause,smoking_dollar_cause,undet_dollar_cause,vehicle_dollar_cause,.25_acres_or_<_dollar_size,.26-9.99_acres_dollar_size,10-99_acres_dollar_size,100-299_acres_dollar_size,300-999_acres_dollar_size,1000-4999_acres_dollar_size,5000_acres_>_dollar_size,year,region,county_year,labor_force,employment,unemployment,unemployment_rate
13,Humboldt,4,3,5,6,0,26,0,8,0,3,26,0,56,24,0,1,0,0,0,3,1,3,3,0,215,0,4,0,0,21,0,1,231,6,0,12,0,1200,0,150,0,275020,0,700,0,0,1800,0,276270,2600,0,0,0,0,0,2010,1,Humboldt_2010,66058,59092,6967,0.105467922129038
14,Inyo,3,0,1,0,1,1,0,1,0,0,6,1,12,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7500,0,7500,0,0,0,7500,0,2010,0,Inyo_2010,9753,8807,948,0.097200861273454
15,Kings,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,0,Kings_2010,59442,49858,9583,0.161215975236365
16,Lake,4,1,2,10,0,9,0,3,3,12,1,1,20,24,0,0,1,0,0,0,1,1,10,0,17,0,13,0,0,462,0,456,38,1,0,11,0,0,0,0,0,0,0,0,0,0,1000,0,0,1000,0,0,0,0,0,2010,1,Lake_2010,29847,25344,4503,0.150869434113981
17,Lassen,2,0,4,2,5,15,0,0,0,2,4,0,22,9,2,1,0,0,0,10,0,0,76,3,240,0,0,0,1,1,0,249,71,2,9,1,24,0,2,60000,1201,1835,0,0,0,18,0,0,2863,217,60000,0,0,0,0,2010,1,Lassen_2010,12100,10402,1699,0.140413223140496
18,Madera,0,0,4,3,2,17,0,0,0,0,21,1,23,23,2,0,0,0,0,0,0,8,4,0,13,0,0,0,0,132,0,21,128,2,0,5,0,0,2000,0,0,500,0,0,0,0,2840,0,820,2900,1620,0,0,5340,820,2010,0,Madera_2010,61600,51358,10250,0.166396103896104
19,Mariposa,0,0,4,8,0,10,0,2,0,0,6,1,10,17,4,0,0,0,0,0,0,9,70,0,87,0,5,0,0,4,0,0,111,0,0,64,0,0,10200,5000,0,4996,0,0,0,0,100,0,100,15660,4536,0,0,20296,100,2010,0,Mariposa_2010,8708,7583,1127,0.129421221864952
20,Mendocino,8,1,11,15,0,23,0,4,0,1,23,1,45,36,6,0,0,0,0,4,0,9,68,0,15,0,3,0,0,134,0,4,162,9,0,60,1210,0,0,3700,0,0,0,500,0,0,6300,20000,21710,3200,6800,0,0,0,0,2010,1,Mendocino_2010,41602,36772,4830,0.116100187490986
21,Merced,1,0,1,4,0,3,0,3,0,1,14,1,6,11,5,4,1,1,0,2,0,2,300,0,465,0,164,0,57,2067,3,0,3040,0,0,19,0,0,0,2700,0,0,0,0,0,0,47000,0,0,0,2700,3000,0,49700,0,2010,0,Merced_2010,113575,93192,20375,0.179396874312129
22,Modoc,1,0,1,0,5,7,0,0,0,0,2,0,10,5,1,0,0,0,0,1,0,1,0,82,1,0,0,0,0,1,0,81,2,1,1,1,8,0,4,0,1250,52,0,0,0,0,50,0,204,512,648,0,0,0,0,2010,1,Modoc_2010,3818,3237,580,0.151911995809324
23,Monterey,3,0,5,10,0,19,0,3,0,1,10,2,16,26,11,0,0,0,0,4,0,77,105,0,181,0,13,0,2,19,2,23,370,1,0,9,0,0,2000,18200,0,7350,0,0,0,0,200,0,0,1250,26500,0,0,27750,0,2010,0,Monterey_2010,215792,188342,27458,0.12724290057092
24,Napa,3,1,6,6,0,6,0,2,1,20,3,3,14,29,5,0,0,0,0,53,0,6,48,0,5,0,1,0,1,55,2,6,129,2,0,34,0,0,0,200025,0,0,0,200,0,0,1500,0,0,1725,200000,0,0,0,0,2010,1,Napa_2010,70225,62983,7242,0.10312566749733
25,Nevada,3,2,19,5,0,18,0,2,0,1,22,0,37,35,0,0,0,0,0,1,0,17,8,0,12,0,3,0,0,14,0,8,24,3,7,13,0,0,0,9500,0,0,0,5000,0,0,"$1,,500",0,0,16000,0,0,0,0,0,2010,1,Nevada_2010,48915,43179,5737,0.117285086374323
26,Placer,8,0,7,17,0,30,0,3,0,1,44,0,48,57,5,0,0,0,0,5,0,15,28,0,130,0,0,0,0,111,0,3,209,2,6,69,200,0,10000,2050,0,13001,0,0,0,0,12309,0,1652,22908,13000,0,0,0,0,2010,1,Placer_2010,173342,153233,20108,0.116001892213082
27,Plumas,0,0,1,1,0,3,0,0,0,0,2,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010,9147,7479,1670,0.182573521373128
28,Riverside,6,0,7,33,7,47,0,10,0,6,64,3,45,113,17,4,3,1,0,15,0,74,1209,616,1809,0,13,0,4,798,10,1917,2487,8,0,135,0,0,0,1000,0,35450,0,5025,0,0,12000,0,25,53450,0,0,0,53475,25,2010,0,Riverside_2010,976442,841275,135150,0.138410678770475
29,Sacramento,4,0,1,3,0,5,0,6,0,0,4,0,5,15,2,1,0,0,0,15,0,1,9,0,9,0,177,0,0,2,0,0,192,0,0,21,0,0,1000,2800,0,0,0,0,0,0,0,0,0,3800,0,0,0,0,0,2010,1,Sacramento_2010,683125,596983,86133,0.126086733760293
30,San Benito,2,2,2,4,0,6,0,1,0,0,4,1,4,12,6,0,0,0,0,20,1,28,15,0,85,0,1,0,0,6,1,20,83,0,0,53,50000,0,0,0,0,12000,0,15,0,0,0,0,0,15,62000,0,0,62015,0,2010,0,San Benito_2010,27900,23708,4217,0.151146953405018
31,San Bernardino,8,0,16,8,6,28,0,4,0,0,46,0,52,60,4,0,0,0,0,16,0,1,9,3,41,0,81,0,0,169,0,88,205,0,0,28,400,0,0,400,0,0,0,1000,0,0,4000,0,0,800,5000,0,0,5800,0,2010,0,San Bernardino_2010,890267,769892,120392,0.135231340710146
32,San Diego,7,0,16,18,8,40,0,3,0,0,43,1,65,59,7,3,1,1,0,9,0,9,50,156,2037,0,1,0,0,1324,8,1234,2276,1,0,83,0,0,0,5700,0,9300,0,0,0,0,10550,10000,10350,15200,0,0,10000,35550,10350,2010,0,San Diego_2010,1515200,1352258,162933,0.107532338965153
33,San Joaquin,0,0,1,1,0,5,0,0,0,0,3,0,4,6,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,San Joaquin_2010,311442,259975,51442,0.165173611780042
34,San Luis Obispo,0,0,7,18,1,21,0,2,0,0,29,1,23,48,4,3,0,1,0,0,0,59,408,1,284,0,2,0,0,1259,4,29,1940,1,0,48,0,0,1566,40900,0,3501,0,0,0,0,801,7500,3568,10100,100,40500,0,54268,3568,2010,0,San Luis Obispo_2010,133650,120200,13442,0.100576131687243
35,San Mateo,0,0,0,1,0,5,0,2,0,1,6,0,8,7,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0,5,0,3,7,1,0,0,0,0,0,0,0,100,0,0,0,0,1500,0,0,1600,0,0,0,0,0,2010,1,San Mateo_2010,393008,360158,32833,0.08354282864471
36,Santa Clara,4,0,1,7,0,12,0,0,1,11,1,1,12,22,3,0,0,0,0,5,0,4,31,0,6,0,0,0,0,22,1,2,59,2,0,5,0,0,1000,2900,0,1500,0,0,0,0,0,0,1500,3400,500,0,0,0,0,2010,1,Santa Clara_2010,926517,830108,96417,0.104063929749805
37,Santa Cruz,5,0,3,4,0,16,0,4,0,0,13,1,25,21,0,0,0,0,0,3,0,1,1,0,10,0,1,0,0,5,1,3,13,5,0,2,1,0,700,0,0,198000,0,0,0,0,50,2200,751,200200,0,0,0,0,0,2010,1,Santa Cruz_2010,141708,122875,18842,0.13296355886753
38,Shasta,5,3,19,15,1,26,0,1,1,38,0,0,36,67,5,1,0,0,0,2,2,28,67,0,208,0,1,0,1,104,0,54,109,20,1,229,0,0,3500,64200,0,6700,0,0,0,0,27550,0,15000,41750,45200,0,0,0,0,2010,1,Shasta_2010,78508,65342,13175,0.167817292505222
39,Sierra,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,10000,0,0,10000,0,0,0,0,0,2010,1,Sierra_2010,1611,1365,248,0.153941651148355
40,Siskiyou,2,0,9,5,12,12,0,2,1,12,2,2,37,18,2,0,0,0,0,0,0,1,4,7,32,0,7,0,2,8,0,10,23,4,2,23,0,0,500,50,0,4000,0,0,0,0,0,2500,2700,4350,0,0,0,0,0,2010,1,Siskiyou_2010,19629,16325,3304,0.168322380151816
41,Solano,0,0,2,3,0,4,0,0,0,5,0,0,2,11,1,0,0,0,0,0,0,3,47,0,6,0,0,0,0,12,0,0,66,0,0,2,0,0,0,10250,0,400,0,0,0,0,500,0,250,900,10000,0,0,0,0,2010,1,Solano_2010,202400,176983,25442,0.125701581027668
42,Sonoma,1,0,7,9,0,31,0,7,1,15,4,4,36,36,3,0,0,0,0,0,0,5,27,0,95,0,97,0,1,10,0,3,219,3,0,9,0,0,40,100750,0,15000,0,224450,0,0,0,0,1500,108790,229950,0,0,0,0,2010,1,Sonoma_2010,244633,218092,26517,0.108395024383464
43,Tehama,0,0,5,13,0,17,0,3,2,16,3,3,25,31,3,0,0,0,0,0,0,0,50,0,24,0,2,0,0,126,0,0,108,126,0,5,0,0,5200,10200,0,2500,0,30100,0,1300,1100,0,10700,38700,1000,0,0,0,0,2010,1,Tehama_2010,25714,21754,3961,0.154040600451116
44,Tulare,20,0,3,15,1,10,0,2,0,0,24,1,28,31,11,4,2,0,0,313,0,2,1033,62,945,0,2,0,0,162,0,0,1590,0,0,929,6100,0,0,23090,620,28085,0,0,0,0,0,0,0,7605,22490,5370,22430,57895,0,2010,0,Tulare_2010,203008,168108,34908,0.171953814627995
45,Tuolumne,1,0,5,4,2,18,0,2,0,0,24,3,16,36,7,0,0,0,0,1,0,4,32,2,34,0,8,0,0,195,21,2,272,3,8,13,0,0,400,9450,0,16200,0,500,0,0,52752,44200,40800,25802,56900,0,0,123502,40800,2010,0,Tuolumne_2010,22617,19173,3445,0.152319052040501
46,W. San Joaquin,0,0,0,1,0,9,0,2,0,9,0,0,9,8,3,1,0,0,0,0,0,0,100,0,1,0,93,0,0,24,0,0,214,0,0,4,0,0,0,11000,0,6500,0,14500,0,0,100,0,6500,100,14500,11000,0,0,0,2010,1,W. San Joaquin_2010,,,,
47,W. Stanislaus,1,0,0,5,0,10,0,1,0,7,2,2,7,16,2,0,1,0,0,1,0,0,612,0,4,0,5,0,0,94,2,0,715,0,0,1,0,0,0,133500,0,200,0,0,0,0,8100,500,200,3500,8600,0,130000,0,0,2010,1,W. Stanislaus_2010,243275,202192,41092,0.168911725413627
48,W. Trinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,W. Trinity_2010,5422,4500,922,0.17004795278495
49,Yolo,0,0,1,3,0,1,0,0,0,4,0,0,1,7,1,0,0,0,0,0,0,0,7,0,1,0,0,0,0,31,0,0,39,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2010,1,Yolo_2010,102183,89842,12342,0.120783300549015
50,Yuba,4,0,6,2,0,9,0,3,0,2,16,0,16,24,1,0,0,1,0,2,0,12,16,0,1517,0,4,0,1,37,0,1512,51,0,0,25,0,0,0,0,0,10000,0,0,0,0,7500,0,0,17500,0,0,0,0,0,2010,1,Yuba_2010,29058,23900,5167,0.177816780232638
51,Alameda,1,0,0,9,0,16,0,5,0,0,14,4,15,24,7,1,2,0,0,545,0,0,730,0,116,0,24,0,0,15,77,4,1421,0,0,82,137000,0,0,339250,0,7900,0,2500,,0,500,600,60000,3900,14850,22000,387000,0,0,2011,1,Alameda_2011,786767,707383,79367,0.10087738809584
52,Amador,1,0,10,6,0,21,0,2,0,0,8,3,25,23,3,0,0,0,0,4,0,24,5,0,29,0,7,0,0,17,28,0,90,2,1,22,0,0,200,0,0,1000,0,0,0,0,3000,0,3000,1200,0,0,0,0,0,2011,1,Amador_2011,15095,13040,2056,0.136204041073203
53,Butte,24,1,29,16,2,48,0,9,0,2,27,6,94,62,8,0,0,0,0,20,0,45,29,0,33,0,13,0,1,103,32,2,163,51,5,55,0,0,32000,46400,0,2000,0,0,0,0,25200,20000,2200,123400,0,0,0,0,0,2011,1,Butte_2011,100650,86883,13758,0.136691505216095
54,Calaveras,5,1,37,11,3,45,1,2,0,2,25,2,63,62,8,0,1,0,0,0,0,28,189,6,865,0,5,0,12,39,1,153,216,761,1,15,100,0,59076,44300,2000,170975,0,20000,0,4800,21075,0,1926,104750,215650,0,0,0,0,2011,0,Calaveras_2011,20670,17769,2899,0.140251572327044
55,Colusa,3,1,0,2,0,2,0,0,0,0,3,0,6,3,2,0,0,0,0,2,0,0,4,0,1,0,0,0,0,70,0,0,77,0,0,0,0,0,0,13000,0,0,0,0,,0,0,0,0,13000,0,0,0,0,0,2011,1,Colusa_2011,11377,8961,2416,0.212358266678386
56,Contra Costa,3,0,3,5,1,32,0,1,0,0,21,2,27,32,8,1,0,0,0,18,0,1,57,7,259,0,12,0,0,118,3,2,404,0,13,55,2000,0,0,2000,0,660800,0,1200,,0,18450,200,650000,3450,31200,0,0,0,0,2011,1,Contra Costa_2011,529575,475000,54542,0.102992021904357
57,Del Norte,2,1,3,1,0,4,0,0,0,0,6,0,14,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1,Del Norte_2011,10895,9446,1448,0.132905002294631
58,E. San Joaquin,1,0,0,1,0,4,0,0,0,0,1,0,1,5,1,0,0,0,0,1,0,0,0,0,8,0,0,0,0,17,0,0,26,0,0,0,100,0,0,7000,0,6110,0,0,0,0,0,0,7000,6210,0,0,0,0,0,2011,0,E. San Joaquin_2011,,,,
59,E. Stanislaus,3,3,0,3,1,22,0,1,0,1,16,2,12,29,7,2,1,1,0,259,0,0,59,1122,431,0,3,0,1,276,6,1,2073,0,0,84,103200,35,0,8800,224400,17250,0,600,0,0,13310,9200,35,17950,29610,104800,0,224400,0,2011,0,E. Stanislaus_2011,242308,202367,39967,0.16494296515179
60,E. Trinity,3,1,1,2,0,10,0,3,0,1,5,2,6,20,2,0,0,0,0,13,1,1,1,0,8,0,32,0,1,10,2,31,26,8,1,3,0,0,0,100,0,0,0,10000,,1000,5000,0,100,6000,10000,0,0,0,0,2011,1,E. Trinity_2011,5386,4488,897,0.166542888971407
61,El Dorado,2,0,42,18,2,53,0,7,0,1,14,4,105,37,1,0,0,0,0,5,0,43,13,0,22,0,9,0,0,3,12,1,32,43,1,32,0,0,10000,3100,0,9700,0,2500,0,0,100,30000,10300,45100,0,0,0,0,0,2011,1,El Dorado_2011,89692,79192,10508,0.117156491102885
62,Fresno,5,1,13,24,2,38,0,11,0,0,14,2,14,74,18,4,0,0,0,20,7,35,307,30,367,0,226,0,0,309,18,11,734,3,16,554,2000,500,200,15650,0,62335,0,5200,0,0,3200,20000,40802,24833,14450,29000,0,0,0,2011,0,Fresno_2011,443508,370225,73283,0.165234899934161
63,Glenn,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2011,1,Glenn_2011,13168,11123,2044,0.155224787363305
64,Humboldt,5,1,14,3,0,17,0,3,0,1,32,4,43,33,3,0,1,0,0,2,0,150,3,0,504,0,2,0,0,24,11,3,532,122,1,37,0,0,400,30000,0,37,0,1000,0,1000,100001,1500,130037,3901,0,0,0,0,0,2011,1,Humboldt_2011,65100,58225,6875,0.105606758832565
65,Inyo,2,1,2,3,1,0,0,0,0,1,3,0,8,2,0,0,2,0,1,1,0,395,5305,0,0,0,0,0,0,850,0,6545,5,1,0,0,0,0,0,20000,0,0,0,0,0,0,7,0,0,0,0,0,7,0,20000,2011,0,Inyo_2011,9682,8742,941,0.097190663086139
66,Kings,0,0,0,2,0,2,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,11,0,36,0,0,0,0,1,0,0,0,0,0,48,0,0,0,1000,0,200,0,0,0,0,0,0,200,400,600,0,0,0,0,2011,0,Kings_2011,59117,49717,9400,0.159006715496389
67,Lake,2,2,11,2,0,16,0,2,0,2,20,0,22,32,3,0,0,0,0,1,0,14,2,0,15,0,3,0,2,45,0,0,32,1,2,48,100,0,40,1000,0,520600,0,0,,0,13100,0,1640,533200,0,0,0,0,0,2011,1,Lake_2011,29611,25310,4302,0.145283847218939
68,Lassen,3,0,10,3,8,4,1,1,0,0,5,1,23,11,2,0,0,0,0,4,0,9,0,0,3,0,13,0,0,27,1,12,14,4,4,25,100,0,9022,300,274,10,0,10,0,0,200,0,574,9332,10,0,0,0,0,2011,1,Lassen_2011,11787,10190,1596,0.135403410537032
69,Madera,2,1,14,7,1,16,1,3,0,0,27,1,35,27,10,1,0,0,0,2,2,10,113,0,106,1,31,0,0,436,1,26,667,3,4,2,200,0,100,2025,0,500,0,15000,0,0,8320,0,225,5820,17200,2900,0,0,0,2011,0,Madera_2011,62008,52000,10017,0.161543671784286
70,Mariposa,1,0,10,6,1,18,0,1,0,0,12,0,27,18,4,0,0,0,0,1,0,24,10,0,53,0,4,0,0,19,0,36,66,0,1,9,0,0,10001,100,0,2,0,3400,0,0,500,0,3,3500,10500,0,0,0,0,2011,0,Mariposa_2011,8662,7519,1141,0.131724774878781
71,Mendocino,13,2,21,10,0,36,1,2,0,2,38,3,46,81,0,0,1,0,0,22,2,20,19,0,659,1,1,0,1,38,3,12,75,37,1,641,800,0,0,0,0,4012,0,0,0,0,26200,50000,11000,67011,0,0,3001,0,0,2011,1,Mendocino_2011,40953,36284,4668,0.113984323492784
72,Merced,0,0,0,2,0,8,0,2,0,0,10,1,2,13,5,1,2,0,0,0,0,0,61,0,30,0,39,0,0,693,575,40,1351,0,0,6,0,0,0,60000,0,0,0,0,0,0,9780,11300,0,0,60000,0,21080,0,0,2011,0,Merced_2011,114725,94500,20233,0.176360862933101
73,Modoc,0,0,3,1,3,18,0,0,0,0,4,0,17,11,1,0,0,0,0,0,0,4,0,10,18,0,0,0,0,1,0,6,0,0,0,27,0,0,500,200,50,32,0,0,0,0,1100,0,250,1632,0,0,0,0,0,2011,1,Modoc_2011,3620,3041,578,0.159668508287293
74,Monterey,6,1,9,16,0,27,0,5,0,0,7,1,27,29,13,1,2,0,0,22,0,54,276,0,977,0,446,0,0,6,20,883,916,1,0,1,250,0,400,220,0,132586,0,30420,0,0,1100,100,601,1730,2745,0,160000,0,0,2011,0,Monterey_2011,216558,189133,27400,0.126524995613184
75,Napa,0,0,3,6,0,10,0,2,0,0,8,1,10,17,2,0,1,0,0,0,0,6,21,0,72,0,3,0,0,517,0,5,103,1,0,510,0,0,0,0,0,754050,0,300,,0,0,0,0,4350,750000,0,0,0,0,2011,1,Napa_2011,70750,63850,6925,0.097879858657244
76,Nevada,2,1,15,6,3,15,0,1,0,2,14,0,37,21,1,0,0,0,0,2,0,20,2,0,11,0,0,0,2,7,0,3,6,17,1,17,0,0,50,29700,0,500,0,0,0,0,100,0,29000,1350,0,0,0,0,0,2011,1,Nevada_2011,49021,43591,5432,0.110809653005855
77,Placer,1,1,13,9,1,22,0,7,0,3,20,1,39,39,0,0,0,0,0,3,0,14,11,0,14,0,4,0,1,10,2,2,38,6,0,12,0,0,5050,500,0,7300,0,41050,0,0,1650,0,1900,53650,0,0,0,0,0,2011,1,Placer_2011,173742,154917,18817,0.108304267246837
78,Plumas,2,0,2,0,1,2,0,0,0,0,2,0,5,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,750,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,2011,1,Plumas_2011,8889,7327,1564,0.175947800652492
79,Riverside,7,0,12,29,5,53,0,10,1,7,78,6,59,120,26,2,1,0,0,13,0,16,255,8,382,0,31,1,4,1597,11,217,1767,4,0,330,0,0,0,157600,0,51000,0,17000,0,0,51000,59000,0,254600,81000,0,0,0,0,2011,0,Riverside_2011,978508,849625,128875,0.131705617123212
80,Sacramento,2,0,0,2,0,7,0,1,0,0,3,0,4,9,2,0,0,0,0,0,0,0,1,0,38,0,16,0,0,3,0,0,53,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1,Sacramento_2011,680000,597692,82308,0.121041176470588
81,San Benito,2,0,1,5,0,8,0,3,0,0,4,0,4,16,3,0,0,0,0,4,0,1,54,0,12,0,7,0,0,41,0,1,114,0,0,4,0,0,0,3195,0,20,0,0,0,0,5000,0,30,185,8000,0,0,0,0,2011,0,San Benito_2011,28283,24167,4117,0.145564473358555
