,county,arson_num_fire_cause,campfire_num_fire_cause,debris_burning_num_fire_cause,equip_use_num_fire_cause,ltng_num_fire_cause,misc_num_fire_cause,p-w-f_num_fire_cause,powerline_num_fire_cause,railroad_num_fire_cause,smoking_num_fire_cause,undet_num_fire_cause,vehicle_num_fire_cause,.25_acres_or_<_num_fire_size,.26-9.99_acres_num_fire_size,10-99_acres_num_fire_size,100-299_acres_num_fire_size,300-999_acres_num_fire_size,1000-4999_acres_num_fire_size,5000_acres_>_num_fire_size,arson_num_acres_cause,campfire_num_acres_cause,debris_burning_num_acres_cause,equip_use_num_acres_cause,ltng_num_acres_cause,misc_num_acres_cause,p-w-f_num_acres_cause,powerline_num_acres_cause,railroad_num_acres_cause,smoking_num_acres_cause,undet_num_acres_cause,vehicle_num_acres_cause,brush_num_acres_veg,grass_num_acres_veg,timber_num_acres_veg,woodland_num_acres_veg,other_num_acres_veg,arson_dollar_cause,campfire_dollar_cause,debris_burning_dollar_cause,equip_use_dollar_cause,ltng_dollar_cause,misc_dollar_cause,p-w-f_dollar_cause,powerline_dollar_cause,railroad_dollar_cause,smoking_dollar_cause,undet_dollar_cause,vehicle_dollar_cause,.25_acres_or_<_dollar_size,.26-9.99_acres_dollar_size,10-99_acres_dollar_size,100-299_acres_dollar_size,300-999_acres_dollar_size,1000-4999_acres_dollar_size,5000_acres_>_dollar_size,year,region,county_year,labor_force,employment,unemployment,unemployment_rate
0,Alameda,0,0,1,8,0,12,0,1,0,21,2,2,12,26,4,2,1,0,0,0,0,0,21,0,206,0,100,0,0,516,7,0,693,0,0,157,0,0,0,100400,0,93300,0,20000,0,0,50750,0,2500,101250,100,110000,50600,0,0,2010,1,Alameda_2010,782542,697117,85417,0.109153246726693
1,Amador,0,0,15,4,0,19,0,2,0,0,1,0,25,15,1,0,0,0,0,0,0,6,7,0,28,0,1,0,0,0,0,1,31,0,7,3,0,0,5000,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,2010,1,Amador_2010,15508,13327,2182,0.140701573381481
2,Butte,8,1,13,14,0,24,0,3,0,2,18,1,38,40,6,1,0,0,0,33,0,8,25,0,74,0,0,0,1,48,2,4,98,14,2,72,1500,0,2,1350,0,155002,0,500,0,0,301500,0,106000,33852,320002,0,0,0,0,2010,1,Butte_2010,102550,88317,14242,0.138878595806923
3,Calaveras,7,2,10,12,2,24,0,8,0,2,18,0,45,38,1,1,0,0,0,5,2,8,66,2,124,0,6,0,1,16,0,2,149,7,2,69,3200,200,1552,42865,800,1175,0,5800,0,20,"$41,1$51",0,31772,53791,11200,0,0,96763,31772,2010,0,Calaveras_2010,21012,17977,3035,0.144441271654293
4,Colusa,1,0,1,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Colusa_2010,11519,9118,2401,0.208438232485459
5,Contra Costa,0,1,1,2,0,25,0,1,0,9,1,1,26,10,2,2,0,0,0,0,0,0,4,0,314,0,1,0,0,87,3,0,19,180,0,210,0,5000,0,5000,0,56000,0,0,0,0,8500,0,5000,5000,8500,56000,0,0,0,2010,1,Contra Costa_2010,525550,467908,57642,0.109679383502997
6,Del Norte,6,0,0,0,0,12,0,1,0,0,5,0,17,7,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,1,0,0,18,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Del Norte_2010,10932,9489,1442,0.131906330040249
7,E. San Joaquin,0,0,0,0,0,1,0,2,0,0,3,1,3,3,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,10,0,17,0,0,0,0,0,0,0,0,300,0,250,0,0,700,7000,50,1200,7000,0,0,8250,50,2010,0,E. San Joaquin_2010,,,,
8,E. Stanislaus,7,0,1,3,0,9,0,1,0,2,8,1,15,16,1,0,0,0,0,50,0,0,6,0,5,0,1,0,1,11,1,0,71,0,0,3,19800,0,0,1100,0,400,0,45700,0,100,1500,200,50,48950,19800,0,0,68800,50,2010,0,E. Stanislaus_2010,243275,202192,41092,0.168911725413627
9,E. Trinity,0,0,2,2,0,5,0,1,2,2,0,0,9,5,0,0,0,0,0,0,0,0,9,0,5,0,0,0,2,1,0,4,2,1,8,1,0,0,0,0,0,500,0,0,0,200,1000,0,500,1200,0,0,0,0,0,2010,1,E. Trinity_2010,5422,4500,922,0.17004795278495
10,El Dorado,5,0,36,7,0,37,0,3,0,3,17,1,69,38,2,0,0,0,0,6,0,17,4,0,15,0,71,0,10,10,1,5,102,1,1,24,0,0,2200,0,0,50,0,0,0,0,50400,0,250,52400,0,0,0,0,0,2010,1,El Dorado_2010,91125,80000,11133,0.122172839506173
11,Fresno,2,0,5,7,0,10,0,6,0,1,19,1,13,36,1,1,0,0,0,1,0,12,12,0,16,0,7,0,3,308,1,0,51,1,4,304,0,0,14000,6000,0,2222,0,500,0,0,278200,1700,0,24422,3200,275000,0,302622,0,2010,0,Fresno_2010,439617,366233,73375,0.166906648287032
12,Glenn,0,0,1,2,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,2010,1,Glenn_2010,13218,11181,2039,0.154259343319716
