county,Arson,Campfire,Debris Burning,Elec. Power,Equip. Use,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle,year,region
Alameda,1,0,1,7,8,0,1,0,0,1,15,12,2013,north
Amador,5,0,20,7,5,0,14,1,0,0,10,2,2013,north
Butte,13,6,39,15,9,15,50,8,0,2,42,11,2013,north
Calaveras,4,3,22,9,11,0,7,3,0,1,30,8,2013,south
Colusa,0,0,0,0,1,1,1,0,0,0,4,2,2013,north
Contra Costa,7,1,1,4,4,0,3,0,0,0,22,1,2013,north
Del Norte,1,4,1,0,0,1,1,0,0,0,3,1,2013,north
E. San Joaquin,0,0,0,0,4,0,0,0,0,0,3,0,2013,south
E. Stanislaus,2,1,0,2,1,0,0,0,0,0,15,2,2013,south
E. Trinity,4,2,7,6,2,13,1,0,0,2,1,2,2013,north
El Dorado,5,5,66,18,24,4,63,8,0,4,18,21,2013,north
Fresno,3,0,8,12,10,5,5,2,0,0,15,4,2013,south
Glenn,0,0,1,1,2,5,1,0,0,0,4,0,2013,north
Humboldt,33,10,17,3,6,1,13,3,0,2,57,4,2013,north
Inyo,1,0,1,1,0,7,2,0,0,1,8,1,2013,south
Kings,0,0,0,1,0,0,0,0,0,0,1,2,2013,south
Lake,3,3,7,13,6,5,9,1,0,2,26,7,2013,north
Lassen,1,3,7,0,1,45,2,2,0,1,9,0,2013,north
Madera,13,6,7,5,7,3,5,2,0,2,40,12,2013,south
Mariposa,0,1,7,2,3,0,5,0,0,4,13,3,2013,south
Mendocino,12,7,29,24,9,10,6,5,1,1,37,7,2013,north
Merced,1,0,1,4,1,0,0,0,0,3,10,0,2013,south
Modoc,0,0,1,0,0,15,0,1,1,0,3,3,2013,north
Monterey,2,5,14,9,3,0,7,0,0,5,9,16,2013,south
Napa,0,2,1,7,6,0,8,2,0,0,17,7,2013,north
Nevada,1,6,43,11,7,7,10,4,0,3,29,4,2013,north
Nevada-Yuba-Placer,7,10,80,32,35,10,26,5,1,5,92,19,2013,north
Placer,4,4,24,15,19,3,12,1,1,1,47,12,2013,north
Plumas,0,0,0,0,1,4,3,0,0,0,1,3,2013,north
Riverside,3,6,11,10,8,2,44,6,0,3,68,63,2013,south
Sacramento,1,0,1,3,4,0,0,0,0,0,6,2,2013,north
San Benito,1,1,2,0,1,0,7,0,0,0,3,4,2013,south
San Bernardino,8,5,21,2,5,6,17,5,2,4,21,8,2013,south
San Diego,11,7,7,10,27,1,27,3,0,2,86,16,2013,south
San Joaquin,1,0,1,0,2,0,0,0,0,0,3,1,2013,north
San Luis Obispo,0,5,5,13,12,0,30,2,0,2,37,16,2013,south
San Mateo,1,1,0,4,1,1,0,0,0,0,8,3,2013,north
San Mateo-Santa Cruz,12,12,9,11,5,1,10,4,1,4,29,10,2013,north
Santa Clara,0,1,1,4,4,0,5,2,0,0,17,4,2013,north
Santa Cruz,11,11,9,7,4,0,10,4,1,4,21,7,2013,north
Shasta,41,3,38,14,11,13,22,6,0,4,45,23,2013,north
Shasta-Trinity,45,5,45,20,13,26,23,6,0,6,46,25,2013,north
Sierra,0,0,1,0,0,0,0,0,0,0,1,0,2013,north
Siskiyou,2,3,18,4,7,56,38,2,0,2,7,2,2013,north
Solano,1,2,5,5,3,4,2,2,0,0,9,3,2013,north
Sonoma,11,5,25,37,22,18,26,4,0,4,36,8,2013,north
Sutter,0,0,0,1,0,0,0,0,0,0,0,0,2013,north
Tehama,9,0,7,9,10,8,11,1,0,1,17,3,2013,north
Tulare,12,2,3,6,13,4,5,0,0,0,8,7,2013,south
Tuolumne,2,2,17,8,8,1,18,1,0,2,18,6,2013,south
W. San Joaquin,0,0,0,0,0,0,0,0,0,1,4,0,2013,north
W. Stanislaus,0,0,0,1,3,0,1,2,0,0,2,4,2013,north
Yolo,0,0,3,3,5,0,2,0,0,0,6,1,2013,north
Yuba,2,0,12,5,9,0,4,0,0,1,15,3,2013,north
