county,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >,year,region
Amador,"$1,000 ","$6,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012,north
El Dorado,"$45,101 ","$57,051 ","$43,000 ","$12,000 ",$0 ,$0 ,$0 ,2012,north
Sacramento,$0 ,"$135,912 ","$125,000 ",$0 ,$0 ,$0 ,$0 ,2012,north
Butte,"$15,610 ","$346,150 ","$75,000 ",$0 ,$0 ,$0 ,$0 ,2012,north
Tehama,$0 ,"$5,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012,north
Del Norte,"$8,305 ",$0 ,"$100,000 ",$0 ,$0 ,$0 ,$0 ,2012,north
Humboldt,"$18,500 ","$24,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012,north
Lassen,$0 ,$132 ,$500 ,"$422,280 ",$0 ,$0 ,$0 ,2012,north
Modoc,$0 ,$50 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012,north
Plumas,$5 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012,north
Mendocino,"$17,301 ",$2 ,$0 ,"$1,250,000 ",$0 ,"$4,618 ",$0 ,2012,north
Nevada,"$24,030 ","$44,800 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012,north
Placer,"$104,854 ","$10,501 ",$0 ,$0 ,$0 ,"$110,000 ",$0 ,2012,north
Sierra,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012,north
Yuba,$0 ,"$37,200 ","$250,000 ",$0 ,$0 ,$0 ,$0 ,2012,north
San Mateo,$100 ,"$20,002 ","$5,000 ",$0 ,$0 ,$0 ,$0 ,2012,north
Santa Cruz,"$12,110 ","$57,560 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012,north
Alameda,$0 ,"$1,800 ","$15,300 ",$0 ,$0 ,$0 ,$0 ,2012,north
Contra Costa,"$2,100 ",$351 ,"$15,000 ",$0 ,$0 ,$0 ,$0 ,2012,north
Santa Clara,$200 ,"$4,102 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012,north
W. San Joaquin,$0 ,$600 ,"$20,000 ",$0 ,$0 ,$0 ,$0 ,2012,north
W. Stanislaus,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012,north
E. Trinity,"$1,900 ","$3,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012,north
Shasta,"$10,500 ","$43,500 ",$700 ,$0 ,$0 ,"$30,000 ",$0 ,2012,north
Shasta,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012,north
Siskiyou,"$3,100 ","$7,900 ",$315 ,$100 ,$0 ,$0 ,$0 ,2012,north
Colusa,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012,north
Lake,"$5,020 ","$69,720 ",$0 ,$0 ,"$2,000,000 ","$1,200,000 ",$0 ,2012,north
Napa,"$1,000 ","$81,603 ",$0 ,"$5,000 ",$0 ,$0 ,$0 ,2012,north
Solano,$900 ,"$1,202 ",$10 ,$400 ,$0 ,$0 ,$0 ,2012,north
Sonoma,$735 ,"$691,151 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012,north
Yolo,$0 ,$4 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012,north
Glenn,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012,north
Tehama,$520 ,"$72,800 ","$1,354,100 ","$50,000 ","$12,000 ",$0 ,"$15,000,000 ",2012,north
Fresno,"$1,500 ","$513,451 ","$226,340 ","$4,000 ",$0 ,$0 ,$0 ,2012,south
Kings,$0 ,$500 ,"$3,100 ",$0 ,$0 ,$0 ,$0 ,2012,south
Madera,"$1,250 ","$2,150 ","$5,660 ",$0 ,$0 ,$0 ,$0 ,2012,south
Mariposa,$2 ,"$5,200 ",$0 ,$0 ,$0 ,"$75,000 ",$0 ,2012,south
Merced,$0 ,"$4,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012,south
Riverside,"$120,751 ","$363,000 ",$500 ,"$100,200 ","$660,000 ","$250,000 ",$0 ,2012,south
Monterey,"$10,668 ","$380,052 ","$15,700 ",$0 ,$0 ,"$37,935 ",$0 ,2012,south
San Benito,$0 ,"$1,000 ",$480 ,$0 ,$0 ,$0 ,$0 ,2012,south
Inyo,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012,south
San Bernardino,"$26,400 ",$700 ,"$6,200 ",$0 ,$0 ,$0 ,$0 ,2012,south
San Diego,$201 ,$704 ,"$10,210 ",$0 ,"$200,000 ","$800,000 ",$0 ,2012,south
San Luis Obispo,"$11,100 ","$20,700 ","$12,000 ",$0 ,$0 ,$0 ,$0 ,2012,south
Tulare,$75 ,"$1,331 ","$7,500 ",$0 ,$0 ,$0 ,$0 ,2012,south
Calaveras,"$1,762 ","$106,113 ","$56,390 ","$2,000 ",$0 ,$0 ,$0 ,2012,south
E. San Joaquin,$0 ,"$5,000 ","$12,900 ",$0 ,$0 ,$0 ,$0 ,2012,south
E. Stanislaus,$25 ,"$1,400 ","$2,450 ",$0 ,$0 ,$0 ,$0 ,2012,south
Tuolumne,$221 ,"$15,372 ","$5,300 ","$23,000 ","$5,000 ",$0 ,$0 ,2012,south
