county,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >,year,region
Amador,$0 ,"$5,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north
El Dorado,$250 ,"$52,400 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north
Sacramento,$0 ,"$3,800 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north
San Joaquin,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north
Butte,"$106,000 ","$33,852 ","$320,002 ",$0 ,$0 ,$0 ,$0 ,2010,north
Plumas,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north
Tehama,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north
Del Norte,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north
Humboldt,"$276,270 ","$2,600 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north
Siskiyou,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north
W. Trinity,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north
Lassen,"$2,863 ",$217 ,"$60,000 ",$0 ,$0 ,$0 ,$0 ,2010,north
Modoc,$204 ,$512 ,$648 ,$0 ,$0 ,$0 ,$0 ,2010,north
Plumas,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north
Mendocino,"$21,710 ","$3,200 ","$6,800 ",$0 ,$0 ,$0 ,$0 ,2010,north
Nevada,$0 ,"$16,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north
Placer,"$1,652 ","$22,908 ","$13,000 ",$0 ,$0 ,$0 ,$0 ,2010,north
Sierra,$0 ,"$10,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north
Yuba,$0 ,"$17,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north
San Mateo,$0 ,"$1,600 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north
Santa Cruz,$751 ,"$200,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north
Alameda,"$2,500 ","$101,250 ",$100 ,"$110,000 ","$50,600 ",$0 ,$0 ,2010,north
Contra Costa,"$5,000 ","$5,000 ","$8,500 ","$56,000 ",$0 ,$0 ,$0 ,2010,north
Santa Clara,"$1,500 ","$3,400 ",$500 ,$0 ,$0 ,$0 ,$0 ,2010,north
W. San Joaquin,"$6,500 ",$100 ,"$14,500 ","$11,000 ",$0 ,$0 ,$0 ,2010,north
W. Stanislaus,$200 ,"$3,500 ","$8,600 ",$0 ,"$130,000 ",$0 ,$0 ,2010,north
E. Trinity,$500 ,"$1,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north
Shasta,"$15,000 ","$41,750 ","$45,200 ",$0 ,$0 ,$0 ,$0 ,2010,north
Shasta,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north
Siskiyou,"$2,700 ","$4,350 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north
Colusa,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north
Lake,$0 ,"$1,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north
Napa,$0 ,"$1,725 ","$200,000 ",$0 ,$0 ,$0 ,$0 ,2010,north
Solano,$250 ,$900 ,"$10,000 ",$0 ,$0 ,$0 ,$0 ,2010,north
Sonoma,"$1,500 ","$108,790 ","$229,950 ",$0 ,$0 ,$0 ,$0 ,2010,north
Yolo,$0 ,$2 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north
Glenn,$0 ,"$4,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north
Tehama,"$10,700 ","$38,700 ","$1,000 ",$0 ,$0 ,$0 ,$0 ,2010,north
Fresno,$0 ,"$24,422 ","$3,200 ","$275,000 ",$0 ,"$302,622 ",$0 ,2010,south
Kings,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,south
Madera,$820 ,"$2,900 ","$1,620 ",$0 ,$0 ,"$5,340 ",$820 ,2010,south
Mariposa,$100 ,"$15,660 ","$4,536 ",$0 ,$0 ,"$20,296 ",$100 ,2010,south
Merced,$0 ,$0 ,"$2,700 ","$3,000 ",$0 ,"$49,700 ",$0 ,2010,south
Riverside,$25 ,"$53,450 ",$0 ,$0 ,$0 ,"$53,475 ",$25 ,2010,south
