county,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >,year,region
Monterey,$0 ,"$1,250 ","$26,500 ",$0 ,$0 ,"$27,750 ",$0 ,2010,south
San Benito,$0 ,$15 ,"$62,000 ",$0 ,$0 ,"$62,015 ",$0 ,2010,south
Inyo,$0 ,"$7,500 ",$0 ,$0 ,$0 ,"$7,500 ",$0 ,2010,south
San Bernardino,$0 ,$800 ,"$5,000 ",$0 ,$0 ,"$5,800 ",$0 ,2010,south
San Diego,"$10,350 ","$15,200 ",$0 ,$0 ,"$10,000 ","$35,550 ","$10,350 ",2010,south
San Luis Obispo,"$3,568 ","$10,100 ",$100 ,"$40,500 ",$0 ,"$54,268 ","$3,568 ",2010,south
Tulare,$0 ,"$7,605 ","$22,490 ","$5,370 ","$22,430 ","$57,895 ",$0 ,2010,south
Calaveras,"$31,772 ","$53,791 ","$11,200 ",$0 ,$0 ,"$96,763 ","$31,772 ",2010,south
E. San Joaquin,$50 ,"$1,200 ","$7,000 ",$0 ,$0 ,"$8,250 ",$50 ,2010,south
E. Stanislaus,$50 ,"$48,950 ","$19,800 ",$0 ,$0 ,"$68,800 ",$50 ,2010,south
Tuolumne,"$40,800 ","$25,802 ","$56,900 ",$0 ,$0 ,"$123,502 ","$40,800 ",2010,south
