county,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >,year,region
Amador,$110 ,$600 ,$0 ,$0 ,$0 ,$0 ,"$999,999,999 ",2015,north
El Dorado,"$28,915 ","$8,212 ",$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Sacramento,$0 ,$100 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
San Joaquin,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Butte,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Tehama,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Del Norte,$0 ,$500 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Humboldt,"$111,013 ","$2,575,555 ","$5,040,000 ","$1,000,000 ","$21,900 ","$35,500 ",$0 ,2015,north
Lassen,"$1,510 ","$1,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Modoc,$4 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Plumas,$300 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Shasta,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Siskiyou,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Mendocino,"$45,081 ","$282,933 ",$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Nevada,"$11,402 ","$10,000 ","$21,000 ",$0 ,$0 ,$0 ,$0 ,2015,north
Placer,"$19,154 ","$255,200 ","$15,000 ",$0 ,$0 ,$0 ,$0 ,2015,north
Sierra,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Sutter,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Yuba,"$2,600 ","$250,000 ",$20 ,$0 ,$0 ,$0 ,$0 ,2015,north
San Mateo,$302 ,$300 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Santa Cruz,"$9,107 ",$900 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Alameda,$0 ,"$76,981 ","$169,000 ","$60,250 ",$0 ,"$1,520,000 ",$0 ,2015,north
Contra Costa,"$2,260 ","$5,970 ","$12,000 ","$39,000 ",$0 ,$0 ,$0 ,2015,north
Santa Clara,$400 ,"$3,374 ","$7,500 ",$0 ,$0 ,$0 ,$0 ,2015,north
W. San Joaquin,$40 ,"$1,150 ",$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
W. Stanislaus,$0 ,$0 ,$800 ,$0 ,$0 ,$0 ,$0 ,2015,north
E. Trinity,$400 ,"$10,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Shasta,"$31,080 ","$71,241 ","$415,000 ","$300,000 ",$0 ,$0 ,$0 ,2015,north
Shasta,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Siskiyou,"$59,721 ","$8,000 ",$0 ,$0 ,"$1,185 ",$0 ,$0 ,2015,north
Colusa,$50 ,"$6,501 ",$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Lake,$550 ,"$227,700 ","$36,000 ","$25,000 ",$0 ,$0 ,"$2,017,694,839 ",2015,north
Napa,$310 ,"$77,000 ",$0 ,$0 ,$0 ,$0 ,"$200,000 ",2015,north
Solano,$340 ,"$5,000 ",$0 ,"$15,000 ",$0 ,$0 ,$0 ,2015,north
Sonoma,"$116,600 ","$1,273,300 ","$2,100 ",$0 ,$0 ,$0 ,$0 ,2015,north
Yolo,"$67,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Glenn,$250 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Tehama,"$2,900 ","$519,150 ","$111,400 ","$200,000 ",$0 ,$0 ,$0 ,2015,north
Fresno,"$2,300 ","$7,775 ","$1,600 ",$0 ,$0 ,$0 ,$0 ,2015,south
Kings,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,south
Madera,"$6,820 ","$44,501 ",$0 ,$0 ,"$50,000 ",$0 ,$0 ,2015,south
Mariposa,"$1,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,south
Merced,$20 ,"$601,900 ",$0 ,$0 ,$0 ,"$100,000 ",$0 ,2015,south
Riverside,"$2,637 ","$32,511 ",$0 ,$0 ,$0 ,$0 ,$0 ,2015,south
Monterey,"$3,110 ","$2,600 ",$0 ,$0 ,$0 ,"$10,000,000 ",$0 ,2015,south
San Benito,$0 ,"$15,045 ",$575 ,$0 ,$0 ,$0 ,$0 ,2015,south
Inyo,"$5,000 ","$3,000 ",$0 ,$0 ,$0 ,$0 ,"$15,811,560 ",2015,south
San Bernardino,"$20,400 ","$45,702 ",$0 ,$0 ,$0 ,$0 ,$0 ,2015,south
San Diego,"$58,407 ",$550 ,"$86,000 ",$0 ,$0 ,$0 ,$0 ,2015,south
San Luis Obispo,"$440,800 ","$39,100 ",$0 ,$0 ,$0 ,"$920,000 ",$0 ,2015,south
Tulare,$2 ,"$175,266 ","$1,500 ",$0 ,$0 ,$0 ,$0 ,2015,south
Calaveras,"$10,880 ","$115,592 ","$13,022 ",$0 ,$0 ,$0 ,$0 ,2015,south
E. San Joaquin,$75 ,"$3,100 ",$0 ,$0 ,$0 ,$0 ,$0 ,2015,south
E. Stanislaus,$50 ,"$15,900 ","$11,380 ",$0 ,$0 ,$0 ,$0 ,2015,south
Tuolumne,"$5,816 ","$13,909 ","$20,200 ","$22,002 ",$0 ,$0 ,$0 ,2015,south
