county,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >,year,region
Amador,"$1,500 ",$550 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
El Dorado,"$19,150 ","$1,016,913 ","$480,500 ","$652,000 ",$0 ,$0 ,$0 ,2013,north
Sacramento,$0 ,$2 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
San Joaquin,$0 ,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Butte,"$25,152 ","$21,100 ","$119,000 ",$0 ,"$625,000 ","$53,524 ",$0 ,2013,north
Tehama,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Del Norte,$0 ,$20 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Humboldt,"$10,001 ","$11,004 ","$2,500 ","$25,000 ",$0 ,$0 ,$0 ,2013,north
Lassen,"$2,452 ",$925 ,"$2,000 ",$0 ,$0 ,$0 ,$0 ,2013,north
Modoc,$210 ,"$21,281 ","$8,560 ",$0 ,$0 ,$0 ,$0 ,2013,north
Plumas,"$1,024 ",$250 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Shasta,$0 ,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Siskiyou,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Mendocino,"$32,554 ","$277,358 ","$5,000 ",$0 ,$0 ,$0 ,$0 ,2013,north
Nevada,"$12,938 ","$17,630 ","$302,000 ",$0 ,$0 ,$0 ,$0 ,2013,north
Placer,"$8,600 ","$41,351 ","$20,000 ",$0 ,$0 ,$0 ,$0 ,2013,north
Sierra,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Sutter,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Yuba,"$5,000 ","$19,257 ","$10,000 ",$0 ,$0 ,$0 ,$0 ,2013,north
