county,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >,year,region
Amador,"$3,000 ","$1,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
El Dorado,"$10,300 ","$45,100 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Sacramento,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
San Joaquin,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Butte,"$2,200 ","$123,400 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Plumas,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Tehama,$0 ,"$2,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Del Norte,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Humboldt,"$130,037 ","$3,901 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Siskiyou,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
W. Trinity,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Lassen,$574 ,"$9,332 ",$10 ,$0 ,$0 ,$0 ,$0 ,2011,north
Modoc,$250 ,"$1,632 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Plumas,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Mendocino,"$11,000 ","$67,011 ",$0 ,$0 ,"$3,001 ",$0 ,$0 ,2011,north
Nevada,"$29,000 ","$1,350 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Placer,"$1,900 ","$53,650 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Sierra,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Sutter,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Yuba,$500 ,"$77,901 ","$175,000 ","$25,760 ","$40,000 ",$0 ,$0 ,2011,north
San Mateo,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Santa Cruz,"$11,425 ","$2,001 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Alameda,"$60,000 ","$3,900 ","$14,850 ","$22,000 ","$387,000 ",$0 ,$0 ,2011,north
Contra Costa,"$650,000 ","$3,450 ","$31,200 ",$0 ,$0 ,$0 ,$0 ,2011,north
Santa Clara,$200 ,"$7,200 ","$17,100 ",$0 ,$0 ,$0 ,$0 ,2011,north
W. San Joaquin,"$1,000 ",$250 ,"$14,200 ","$43,000 ",$0 ,$0 ,$0 ,2011,north
W. Stanislaus,$0 ,"$6,800 ","$3,300 ",$0 ,$0 ,$0 ,$0 ,2011,north
E. Trinity,$100 ,"$6,000 ","$10,000 ",$0 ,$0 ,$0 ,$0 ,2011,north
Shasta,"$3,500 ","$19,100 ","$11,000 ",$0 ,$0 ,$0 ,$0 ,2011,north
Shasta,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Siskiyou,"$41,200 ","$250,202 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Colusa,$0 ,"$13,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Lake,"$1,640 ","$533,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Napa,$0 ,"$4,350 ","$750,000 ",$0 ,$0 ,$0 ,$0 ,2011,north
Solano,$0 ,$520 ,"$2,500 ",$0 ,$0 ,$0 ,$0 ,2011,north
Sonoma,$201 ,"$276,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Yolo,$0 ,"$35,002 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Glenn,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Tehama,$20 ,"$84,300 ","$2,500 ",$0 ,$0 ,$0 ,$0 ,2011,north
Fresno,"$40,802 ","$24,833 ","$14,450 ","$29,000 ",$0 ,$0 ,$0 ,2011,south
Kings,$200 ,$400 ,$600 ,$0 ,$0 ,$0 ,$0 ,2011,south
Madera,$225 ,"$5,820 ","$17,200 ","$2,900 ",$0 ,$0 ,$0 ,2011,south
Mariposa,$3 ,"$3,500 ","$10,500 ",$0 ,$0 ,$0 ,$0 ,2011,south
Merced,$0 ,$0 ,"$60,000 ",$0 ,"$21,080 ",$0 ,$0 ,2011,south
Riverside,$0 ,"$254,600 ","$81,000 ",$0 ,$0 ,$0 ,$0 ,2011,south
Monterey,$601 ,"$1,730 ","$2,745 ",$0 ,"$160,000 ",$0 ,$0 ,2011,south
San Benito,$30 ,$185 ,"$8,000 ",$0 ,$0 ,$0 ,$0 ,2011,south
Inyo,$0 ,$0 ,$0 ,$0 ,$7 ,$0 ,"$20,000 ",2011,south
San Bernardino,"$2,000 ","$137,802 ",$8 ,$0 ,$0 ,"$280,000 ",$0 ,2011,south
San Diego,"$9,762 ","$94,200 ","$232,000 ",$0 ,$0 ,"$1,000 ","$5,000 ",2011,south
San Luis Obispo,"$25,000 ","$28,700 ","$56,000 ","$2,000 ",$0 ,"$11,500 ",$0 ,2011,south
Tulare,$500 ,"$28,075 ","$3,600 ",$0 ,"$20,250 ","$24,260 ",$0 ,2011,south
Calaveras,"$1,926 ","$104,750 ","$215,650 ",$0 ,$0 ,$0 ,$0 ,2011,south
E. San Joaquin,"$7,000 ","$6,210 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,south
E. Stanislaus,$35 ,"$17,950 ","$29,610 ","$104,800 ",$0 ,"$224,400 ",$0 ,2011,south
Tuolumne,"$9,605 ","$9,334 ","$578,443 ","$47,200 ",$0 ,$0 ,$0 ,2011,south
