county,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,P-W-F,Power- line,Rail-road,Smoking,Undet.,Vehicle,year ,region 
Madera,$0 ,$0 ,"$2,000 ",$0 ,$0 ,$500 ,$0 ,$0 ,$0 ,$0 ,"$2,840 ",$0 ,2010,south
Mariposa,$0 ,$0 ,"$10,200 ","$5,000 ",$0 ,"$4,996 ",$0 ,$0 ,$0 ,$0 ,$100 ,$0 ,2010,south
Merced,$0 ,$0 ,$0 ,"$2,700 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$47,000 ",$0 ,2010,south
Riverside,$0 ,$0 ,$0 ,"$1,000 ",$0 ,"$35,450 ",$0 ,"$5,025 ",$0 ,$0 ,"$12,000 ",$0 ,2010,south
Monterey,$0 ,$0 ,"$2,000 ","$18,200 ",$0 ,"$7,350 ",$0 ,$0 ,$0 ,$0 ,$200 ,$0 ,2010,south
San Benito,"$50,000 ",$0 ,$0 ,$0 ,$0 ,"$12,000 ",$0 ,$15 ,$0 ,$0 ,$0 ,$0 ,2010,south
Inyo,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$7,500 ",2010,south
San Bernardino,$400 ,$0 ,$0 ,$400 ,$0 ,$0 ,$0 ,"$1,000 ",$0 ,$0 ,"$4,000 ",$0 ,2010,south
San Diego,$0 ,$0 ,$0 ,"$5,700 ",$0 ,"$9,300 ",$0 ,$0 ,$0 ,$0 ,"$10,550 ","$10,000 ",2010,south
San Luis Obispo,$0 ,$0 ,"$1,566 ","$40,900 ",$0 ,"$3,501 ",$0 ,$0 ,$0 ,$0 ,$801 ,"$7,500 ",2010,south
Tulare,"$6,100 ",$0 ,$0 ,"$23,090 ",$620 ,"$28,085 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,south
Calaveras,"$3,200 ",$200 ,"$1,552 ","$42,865 ",$800 ,"$1,175 ",$0 ,"$5,800 ",$0 ,$20 ,"$41,1$51",$0 ,2010,south
E. San Joaquin,$0 ,$0 ,$0 ,$0 ,$0 ,$300 ,$0 ,$250 ,$0 ,$0 ,$700 ,"$7,000 ",2010,south
E. Stanislaus,"$19,800 ",$0 ,$0 ,"$1,100 ",$0 ,$400 ,$0 ,"$45,700 ",$0 ,$100 ,"$1,500 ",$200 ,2010,south
Tuolumne,$0 ,$0 ,$400 ,"$9,450 ",$0 ,"$16,200 ",$0 ,$500 ,$0 ,$0 ,"$52,752 ","$44,200 ",2010,south
