county,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,Power-line,P-W-F,Rail-road,Smoking,Undet.,Vehicle,year ,region 
Nevada,$0 ,$0 ,$50 ,"$29,700 ",$0 ,$500 ,$0 ,$0 ,$0 ,$0 ,$100 ,$0 ,2011,north
Placer,$0 ,$0 ,"$5,050 ",$500 ,$0 ,"$7,300 ","$41,050 ",$0 ,$0 ,$0 ,"$1,650 ",$0 ,2011,north
Sierra,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Sutter,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Yuba,$100 ,$0 ,$0 ,"$175,200 ",$0 ,"$41,261 ","$40,000 ",$0 ,$0 ,$0 ,$0 ,"$62,600 ",2011,north
San Mateo,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Santa Cruz,$0 ,$0 ,$1 ,"$2,000 ",$0 ,"$11,025 ",$400 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Alameda,"$137,000 ",$0 ,$0 ,"$339,250 ",$0 ,"$7,900 ","$2,500 ",$0 ,,$0 ,$500 ,$600 ,2011,north
Costa,"$2,000 ",$0 ,$0 ,"$2,000 ",$0 ,"$660,800 ","$1,200 ",$0 ,,$0 ,"$18,450 ",$200 ,2011,north
Santa Clara,$0 ,$0 ,$0 ,"$16,500 ",$0 ,"$8,000 ",$0 ,$0 ,,$0 ,$0 ,$0 ,2011,north
W. San Joaquin,$0 ,$0 ,$0 ,,$0 ,"$1,000 ",$0 ,$0 ,,$0 ,"$57,450 ",$0 ,2011,north
W. Stanislaus,$0 ,$0 ,$900 ,"$3,300 ",$0 ,$0 ,$400 ,$0 ,,$0 ,"$5,500 ",$0 ,2011,north
E. Trinity,$0 ,$0 ,$0 ,$100 ,$0 ,$0 ,"$10,000 ",$0 ,,"$1,000 ","$5,000 ",$0 ,2011,north
Shasta,$200 ,$0 ,"$14,800 ","$1,000 ",$0 ,$100 ,"$2,500 ",$0 ,,"$1,000 ","$14,000 ",$0 ,2011,north
Siskiyou,$0 ,$0 ,$0 ,"$1,000 ",$0 ,"$250,402 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$40,000 ",2011,north
Colusa,$0 ,$0 ,$0 ,"$13,000 ",$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,2011,north
Lake,$100 ,$0 ,$40 ,"$1,000 ",$0 ,"$520,600 ",$0 ,$0 ,,$0 ,"$13,100 ",$0 ,2011,north
Napa,$0 ,$0 ,$0 ,,$0 ,"$754,050 ",$300 ,$0 ,,$0 ,$0 ,$0 ,2011,north
Solano,$0 ,$0 ,$0 ,"$2,500 ",$0 ,$20 ,$0 ,$0 ,,$0 ,$500 ,$0 ,2011,north
Sonoma,$0 ,$0 ,$0 ,"$5,100 ",$0 ,"$271,100 ",$201 ,$0 ,,$0 ,$0 ,$0 ,2011,north
