county,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,Powerline,P-W-F,Rail-road,Smoking,Undet.,Vehicle,year ,region 
Amador,$500 ,$0 ,$0 ,$50 ,$0 ,$0 ,"$1,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
El Dorado,$0 ,"$20,000 ","$1,200 ","$533,150 ","$217,100 ","$3,200 ","$739,413 ",$0 ,$0 ,"$650,000 ",$0 ,"$4,500 ",2013,north
Sacramento,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$2 ,$0 ,2013,north
San Joaquin,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$1 ,$0 ,2013,north
Butte,"$100,000 ","$2,000 ","$36,100 ","$10,000 ","$55,524 ",$2 ,"$625,000 ",$0 ,$0 ,$0 ,"$15,150 ",$0 ,2013,north
Tehama,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Del Norte,$0 ,$0 ,$20 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Humboldt,$3 ,$0 ,"$4,000 ",$0 ,"$7,500 ",$0 ,"$7,000 ","$5,000 ",$0 ,$0 ,$2 ,"$25,000 ",2013,north
Lassen,$0 ,$0 ,$2 ,$0 ,$0 ,"$3,772 ",$200 ,$0 ,$0 ,$3 ,"$1,400 ",$0 ,2013,north
Modoc,$0 ,$0 ,$32 ,$0 ,$0 ,"$25,009 ",$0 ,"$1,000 ",$0 ,$0 ,"$3,250 ",$760 ,2013,north
Plumas,$0 ,$0 ,$0 ,$0 ,$1 ,$2 ,"$1,020 ",$0 ,$0 ,$0 ,$0 ,$251 ,2013,north
Siskiyou,$0 ,$0 ,$0 ,$0 ,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Lassen-Modoc,$0 ,$0 ,$34 ,$0 ,$1 ,"$28,984 ","$1,220 ","$1,000 ",$0 ,$3 ,"$4,650 ","$1,011 ",2013,north
Mendocino,$0 ,$0 ,"$10,200 ","$6,002 ",$550 ,$2 ,$0 ,$6 ,$0 ,$0 ,"$281,952 ","$16,200 ",2013,north
Nevada,$0 ,$0 ,"$2,606 ","$13,000 ","$2,530 ",$0 ,$0 ,$30 ,$0 ,"$2,000 ","$300,002 ","$12,400 ",2013,north
Placer,$0 ,$0 ,"$2,650 ","$1,000 ","$4,501 ",$0 ,"$1,000 ",$0 ,$0 ,$0 ,"$53,800 ","$7,000 ",2013,north
Sierra,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Sutter,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Yuba,$0 ,$0 ,"$1,000 ","$1,007 ","$5,250 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$10,000 ","$17,000 ",2013,north
San Mateo,$0 ,$0 ,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$15 ,"$1,000 ",2013,north
Santa Cruz,$0 ,$2 ,$1 ,$0 ,$400 ,$0 ,$800 ,$0 ,$0 ,$5 ,"$741,300 ","$7,010 ",2013,north
Alameda,$0 ,$0 ,$400 ,"$21,050 ","$25,300 ",$0 ,$0 ,$0 ,$0 ,"$10,000 ","$11,875 ","$73,500 ",2013,north
Contra Costa,$110 ,$0 ,$100 ,"$4,100 ","$3,400 ",$0 ,"$105,000 ",$0 ,$0 ,$0 ,$200 ,$0 ,2013,north
Santa Clara,$0 ,$0 ,"$10,000 ","$2,000 ",$0 ,$0 ,"$1,200 ",$0 ,$0 ,$0 ,$360 ,$0 ,2013,north
W. San Joaquin,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
W. Stanislaus,$0 ,$0 ,$0 ,$0 ,"$2,000 ",$0 ,"$90,000 ",$0 ,$0 ,$0 ,"$27,100 ",$0 ,2013,north
E. Trinity,$0 ,$0 ,$250 ,$0 ,"$2,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Shasta,"$23,501 ",$0 ,"$43,001 ","$15,600 ","$5,000 ",$0 ,"$1,200 ",$0 ,$0 ,$600 ,"$5,407,791 ","$5,200 ",2013,north
Siskiyou,$0 ,$0 ,$0 ,$0 ,"$2,400 ",$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Colusa,$0 ,$0 ,$0 ,$0 ,$20 ,$0 ,$0 ,$0 ,$0 ,$0 ,$900 ,$100 ,2013,north
Lake,$100 ,$0 ,$501 ,"$111,000 ",$600 ,$0 ,"$240,050 ",$0 ,$0 ,$0 ,"$9,050 ","$43,020 ",2013,north
Napa,$0 ,$100 ,$0 ,"$34,000 ",$0 ,$0 ,"$2,600 ",$0 ,$0 ,$0 ,"$54,040 ","$12,022 ",2013,north
Solano,$0 ,$0 ,$2 ,"$86,400 ","$220,002 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$6,000 ","$15,300 ",2013,north
Sonoma,$0 ,$0 ,$0 ,"$9,265,420 ","$21,576 ",$100 ,"$75,500 ",$0 ,$0 ,$0 ,"$4,300 ",$0 ,2013,north
Yolo,$0 ,$0 ,$0 ,$0 ,"$15,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Glenn,$0 ,$0 ,"$2,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,north
Tehama,$0 ,$0 ,$0 ,"$61,500 ","$6,900 ",$300 ,"$15,000 ",$600 ,$0 ,"$5,000 ","$254,100 ","$3,000 ",2013,north
Fresno,"$7,000 ",$0 ,$0 ,"$17,000 ","$11,300 ",$500 ,"$10,000 ",$0 ,$0 ,$0 ,"$12,200 ",$0 ,2013,south
Kings,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,south
Madera,$400 ,$100 ,$0 ,$0 ,"$7,250 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$4,800 ",$100 ,2013,south
Mariposa,$0 ,$0 ,$0 ,$0 ,$300 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$100 ,2013,south
Merced,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013,south
Riverside,$0 ,$0 ,"$2,000 ","$1,138,100 ","$11,200 ",$0 ,"$404,448 ",$0 ,$0 ,$0 ,"$3,188,148 ","$3,234,450 ",2013,south
Monterey,$0 ,$2 ,$50 ,"$2,000 ",$40 ,$0 ,"$1,001 ",$0 ,$0 ,$1 ,$0 ,$781 ,2013,south
San Benito,$0 ,$0 ,"$5,000 ",$0 ,"$8,000 ",$0 ,"$1,000 ",$0 ,$0 ,$0 ,$0 ,"$8,600 ",2013,south
Inyo,$0 ,$0 ,$0 ,"$10,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$350 ,"$50,000 ",2013,south
San Bernardino,$0 ,$0 ,$0 ,$0 ,"$5,000 ",$300 ,"$2,000 ",$0 ,$25 ,$0 ,$1 ,$0 ,2013,south
San Diego,$0 ,"$1,300 ",$0 ,"$1,500 ","$70,200 ",$0 ,$2 ,$1 ,$0 ,$0 ,"$202,154 ","$2,800 ",2013,south
San Luis Obispo,$0 ,$0 ,$0 ,"$11,300 ","$1,550 ",$0 ,"$1,100 ",$0 ,$0 ,$0 ,"$7,600 ","$19,500 ",2013,south
Tulare,"$15,000 ",$0 ,$0 ,$500 ,"$15,400 ",$0 ,$0 ,$0 ,$0 ,$0 ,$20 ,$0 ,2013,south
