NORTHERN REGION,Total,Brush,Grass,Timber,Woodland,Other,year,region
Amador,102,5,41,1,15,40,2012,north
El Dorado,297,5,169,3,17,103,2012,north
Sacramento,89,0,82,0,0,7,2012,north
Butte,311,110,107,10,63,21,2012,north
Tehama,1647,0,0,3,0,1644,2012,north
Del Norte,122,0,5,116,0,1,2012,north
Humboldt,216,2,163,42,0,9,2012,north
Lassen,298,34,3,255,0,6,2012,north
Modoc,13,6,7,0,0,0,2012,north
Plumas,101,100,0,0,1,0,2012,north
Mendocino,5333,13,4812,83,0,425,2012,north
Nevada,72,11,19,14,5,23,2012,north
Placer,2724,2661,21,6,0,36,2012,north
Sierra,2,0,0,0,0,2,2012,north
Yuba,117,21,68,2,0,26,2012,north
San Mateo,20,0,17,1,0,2,2012,north
Santa Cruz,122,1,3,15,0,103,2012,north
Alameda,115,0,114,0,0,1,2012,north
Contra Costa,145,0,144,1,0,0,2012,north
Santa Clara,26,1,17,1,1,6,2012,north
W. San Joaquin,204,0,204,0,0,0,2012,north
W. Stanislaus,44,0,44,0,0,0,2012,north
E. Trinity,20,3,5,1,6,5,2012,north
Shasta,2134,1215,573,23,47,276,2012,north
Siskiyou,592,0,145,232,110,105,2012,north
Colusa,4285,3740,545,0,0,0,2012,north
Lake,8355,17,8299,19,0,20,2012,north
Napa,236,205,19,2,7,3,2012,north
Solano,235,0,222,0,0,13,2012,north
Sonoma,123,3,73,7,1,39,2012,north
Yolo,20182,19005,526,0,0,651,2012,north
Glenn,5,0,5,0,0,0,2012,north
Tehama,28638,2,828,0,0,27808,2012,north
Fresno,574,4,373,3,0,194,2012,south
Kings,52,0,50,0,0,2,2012,south
Madera,188,45,118,1,5,19,2012,south
Mariposa,1750,0,1741,4,5,0,2012,south
Merced,456,0,453,0,0,3,2012,south
Riverside,6256,3645,2162,4,0,445,2012,south
Monterey,2817,51,2739,16,2,9,2012,south
San Benito,55,5,49,0,0,1,2012,south
Inyo,21,2,15,1,0,3,2012,south
San Bernardino,1466,152,1301,1,0,12,2012,south
San Diego,35213,3238,162,7,0,31806,2012,south
San Luis Obispo,1121,723,386,3,0,9,2012,south
Tulare,187,0,187,0,0,0,2012,south
Calaveras,569,142,310,28,28,61,2012,south
E. San Joaquin,87,0,87,0,0,0,2012,south
E. Stanislaus,45,0,32,0,0,13,2012,south
Tuolumne,1174,69,1052,3,1,49,2012,south
