county,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,Powerline,P-W-F,Railroad,Smoking,Undet.,Vehicle,year,region
Fresno,10,1,6,14,3,13,18,0,0,1,19,10,2012,south
Kings,0,0,0,0,1,1,1,0,0,0,3,0,2012,south
Madera,6,3,13,1,0,11,4,1,0,1,25,7,2012,south
Mariposa,2,1,18,5,0,5,4,1,0,1,6,5,2012,south
Merced,0,0,0,0,1,2,1,0,0,0,9,2,2012,south
Riverside,9,3,15,11,8,27,8,6,0,8,69,8,2012,south
Monterey,5,5,8,8,2,11,18,2,0,1,6,9,2012,south
San Benito,1,0,4,2,2,4,3,0,0,0,1,4,2012,south
Inyo,1,3,2,0,1,2,0,0,0,1,8,1,2012,south
San Bernardino,3,9,19,3,12,24,10,5,0,4,28,6,2012,south
San Diego,7,3,15,16,12,27,9,1,0,0,65,7,2012,south
San Luis Obispo,0,4,8,9,2,51,14,2,1,1,32,12,2012,south
Tulare,7,1,2,3,1,3,6,0,0,0,11,4,2012,south
Calaveras,16,1,38,11,31,20,6,5,0,0,30,3,2012,south
E. San Joaquin,2,0,1,4,0,0,0,0,0,0,2,0,2012,south
E. Stanislaus,3,1,1,2,0,5,0,0,0,0,9,1,2012,south
Tuolumne,1,2,15,10,5,13,7,3,0,2,24,3,2012,south
