county,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >,year,region
Amador,28,17,0,0,0,0,1,2015,north
El Dorado,138,61,4,2,0,0,0,2015,north
Sacramento,5,8,0,2,1,0,0,2015,north
San Joaquin,2,3,1,0,0,0,0,2015,north
Butte,8,2,1,0,0,0,0,2015,north
Tehama,2,1,0,0,0,0,0,2015,north
Del Norte,16,6,0,0,0,0,0,2015,north
Humboldt,179,69,9,2,2,1,0,2015,north
Lassen,54,10,3,0,0,0,0,2015,north
Modoc,10,4,1,1,0,0,0,2015,north
Plumas,11,2,0,0,0,0,0,2015,north
Shasta,0,0,0,0,0,0,0,2015,north
Siskiyou,1,1,0,0,0,0,0,2015,north
Mendocino,91,45,2,1,0,0,0,2015,north
Nevada,87,28,2,1,0,1,0,2015,north
Placer,78,45,2,0,0,0,0,2015,north
Sierra,0,1,0,0,0,0,0,2015,north
Sutter,0,0,0,0,0,0,0,2015,north
Yuba,30,14,2,0,0,0,0,2015,north
San Mateo,9,7,1,0,0,0,0,2015,north
Santa Cruz,40,6,0,0,0,0,0,2015,north
Alameda,14,26,8,1,0,1,0,2015,north
Contra Costa,23,14,5,1,0,0,0,2015,north
Santa Clara,30,25,3,0,0,0,0,2015,north
W. San Joaquin,2,5,1,0,0,0,0,2015,north
W. Stanislaus,1,4,3,0,0,0,0,2015,north
E. Trinity,19,10,2,1,0,1,0,2015,north
Shasta (Shasta-Trinity),106,53,9,2,0,0,0,2015,north
Shasta (Siskiyou),1,0,0,0,0,0,0,2015,north
Siskiyou,151,25,4,0,1,0,0,2015,north
Colusa,5,3,1,0,0,0,0,2015,north
Lake,42,26,2,1,1,0,3,2015,north
Napa,32,14,4,0,0,0,1,2015,north
Solano,8,7,2,1,0,0,0,2015,north
Sonoma,116,35,5,0,0,0,0,2015,north
Yolo,11,6,0,1,0,0,0,2015,north
Glenn,3,3,0,0,0,0,0,2015,north
Tehama,30,34,9,1,0,0,0,2015,north
