county,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >,year,region
Fresno,52,55,7,1,0,0,0,2015,south
Kings,0,2,0,0,0,0,0,2015,south
Madera,50,21,1,1,1,0,0,2015,south
Mariposa,24,18,2,0,0,0,0,2015,south
Merced,1,14,1,0,1,2,0,2015,south
Riverside,85,30,4,0,0,1,0,2015,south
Monterey,30,22,1,0,0,1,0,2015,south
San Benito,10,12,1,0,1,0,0,2015,south
Inyo,9,2,0,0,0,0,1,2015,south
San Bernardino,66,20,1,0,0,0,0,2015,south
San Diego,76,30,3,1,0,0,0,2015,south
San Luis Obispo,85,43,4,0,0,2,0,2015,south
Tulare,21,42,6,0,1,0,0,2015,south
Calaveras,72,45,4,1,0,0,0,2015,south
E. San Joaquin,3,7,0,0,0,0,0,2015,south
E. Stanislaus,9,17,4,0,0,0,0,2015,south
Tuolumne,51,25,4,3,0,0,0,2015,south
