county,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >,year,region
Fresno,14,74,18,4,0,0,0,2011,south
Kings,1,2,2,0,0,0,0,2011,south
Madera,35,27,10,1,0,0,0,2011,south
Mariposa,27,18,4,0,0,0,0,2011,south
Merced,2,13,5,1,2,0,0,2011,south
Riverside,59,120,26,2,1,0,0,2011,south
Monterey,27,29,13,1,2,0,0,2011,south
San Benito,4,16,3,0,0,0,0,2011,south
Inyo,8,2,0,0,2,0,1,2011,south
San Bernardino,46,44,8,3,0,1,0,2011,south
San Diego,87,86,18,3,0,1,1,2011,south
San Luis Obispo,59,57,7,1,1,1,0,2011,south
Tulare,20,27,4,1,4,1,0,2011,south
Calaveras,63,62,8,0,1,0,0,2011,south
E. San Joaquin,1,5,1,0,0,0,0,2011,south
E. Stanislaus,12,29,7,2,1,1,0,2011,south
Tuolumne,76,41,2,2,0,0,0,2011,south
