,county,arson_x,campfire_x,debris burning_x,elec. power_x,equip. use_x,ltng._x,misc._x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25 acres or <_x,.26-9.99 acres_x,10-99 acres_x,100-299 acres_x,300-999 acres_x,1000-4999 acres_x,5000 acres >_x,year_y,region_y,arson_y,campfire_y,debris burning_y,elec. power_y,equip. use_y,ltng._y,misc._y,p-w-f_y,railroad_y,smoking_y,undet._y,vehicle_y,year ,region ,.25 acres or <_y,.26-9.99 acres_y,10-99 acres_y,100-299 acres_y,300-999 acres_y,1000-4999 acres_y,5000 acres >_y,year_x,region_x,total_x,arson,campfire,debris burning,elec. power,equip. use,ltng.,misc.,p-w-f,railroad,smoking,undet.,vehicle,year_y,year.1,region_y,total_y,brush,grass,timber,woodland,other,year,region,county_year
11,Humboldt,12,6,11,10,4,0,20,2,0,0,31,9,2016,north,72,28,4,0,1,0,0,2016,north,"$347,901 ",$0 ,$0 ,"$270,617 ","$705,000 ",$0 ,"$61,000 ",$0 ,$0 ,$0 ,"$210,550 ",$0 ,2016,unspecified,"$13,550 ","$318,617 ","$915,000 ",$0 ,"$347,901 ",$0 ,$0 ,2016,north,768,601,3,6,7,22.0,0,13,0,0,0,100,16,2016,2016,Northern,768.0,1.0,19.0,681.0,0.0,67.0,2016.0,north,Humboldt_2016
12,Imperial,0,0,0,0,0,0,0,0,0,0,0,0,2016,0,0,0,0,0,0,0,0,2016,0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,unspecified,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2016,2016,Northern,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,south,Imperial_2016
13,Inyo,0,2,1,0,1,0,1,1,0,0,9,0,2016,south,9,5,0,1,0,0,0,2016,south,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$350 ,$0 ,2016,unspecified,$0 ,$350 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,110,0,0,0,0,1.0,0,0,0,0,0,109,0,2016,2016,Southern,110.0,107.0,3.0,0.0,0.0,0.0,2016.0,south,Inyo_2016
14,Kings,0,0,0,0,0,0,0,0,0,1,1,0,2016,south,2,0,0,0,0,0,0,2016,south,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,unspecified,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,south,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2016,2016,Southern,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,south,Kings_2016
15,Lake,16,1,5,13,6,0,6,0,0,2,20,5,2016,north,53,14,6,0,0,1,0,2016,north,"$105,260,000 ",$0 ,$0 ,"$3,300 ","$150,000 ",$0 ,"$142,728 ",$0 ,$0 ,$0 ,"$23,000 ",$0 ,2016,unspecified,"$168,728 ",$300 ,"$410,000 ",$0 ,$0 ,"$105,000,000 ",$0 ,2016,north,"4,041","3,979",0,2,18,29.0,0,2,0,0,0,3,8,2016,2016,Northern,4041.0,15.0,4002.0,2.0,0.0,22.0,2016.0,north,Lake_2016
16,Lassen,2,2,8,0,1,4,3,0,0,0,6,5,2016,north,18,11,1,0,0,1,0,2016,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$110,100 ",$0 ,$0 ,$0 ,"$400,000 ","$205,200 ",2016,unspecified,"$200,300 ","$110,000 ","$5,000 ",$0 ,$0 ,"$400,000 ",$0 ,2016,north,"2,631",1,1,4,0,5.0,5,1,0,0,0,"2,577",37,2016,2016,Northern,2631.0,11.0,2.0,2608.0,3.0,7.0,2016.0,north,Lassen_2016
17,Madera,5,0,11,4,11,1,27,0,0,1,6,15,2016,south,39,36,5,1,0,0,0,2016,south,"$10,600 ",$0 ,"$268,350 ","$1,525 ","$15,000 ",$0 ,$100 ,$0 ,$0 ,$0 ,"$1,450 ","$2,900 ",2016,unspecified,"$10,850 ","$4,775 ","$284,300 ",$0 ,$0 ,$0 ,$0 ,2016,south,499,2,0,41,8,189.0,0,105,0,0,2,82,70,2016,2016,Southern,499.0,0.0,302.0,1.0,188.0,8.0,2016.0,south,Madera_2016
18,Mariposa,2,0,15,3,7,0,5,1,0,0,13,14,2016,south,25,33,2,0,0,0,0,2016,south,$0 ,$0 ,$310 ,$0 ,"$1,000 ",$0 ,"$1,000 ",$0 ,$0 ,$0 ,"$44,100 ","$2,000 ",2016,unspecified,"$1,310 ","$43,200 ","$3,900 ",$0 ,$0 ,$0 ,$0 ,2016,south,125,1,0,12,4,33.0,0,1,0,0,0,52,22,2016,2016,Southern,125.0,1.0,100.0,2.0,0.0,22.0,2016.0,south,Mariposa_2016
19,Mendocino,7,5,24,14,9,0,15,1,1,0,29,13,2016,north,84,29,5,0,0,0,0,2016,north,$0 ,$0 ,$500 ,"$153,502 ","$101,002 ",$0 ,"$5,620 ",$0 ,$0 ,$0 ,"$152,788 ","$280,022 ",2016,unspecified,"$180,746 ","$252,688 ","$260,000 ",$0 ,$0 ,$0 ,$0 ,2016,north,206,1,18,6,7,50.0,0,9,0,1,0,12,102,2016,2016,Northern,206.0,2.0,166.0,4.0,1.0,33.0,2016.0,north,Mendocino_2016
20,Merced,0,1,3,2,1,0,2,0,0,0,20,6,2016,south,12,15,7,0,0,1,0,2016,south,$0 ,$0 ,"$1,000 ","$150,000 ","$10,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,900 ","$14,600 ",2016,unspecified,"$1,200 ","$10,200 ","$161,100 ",$0 ,$0 ,"$5,000 ",$0 ,2016,south,"1,497",0,33,12,37,5.0,0,5,0,0,0,52,"1,353",2016,2016,Southern,1497.0,0.0,1496.0,0.0,0.0,1.0,2016.0,south,Merced_2016
