,county,arson_x,campfire_x,debris burning_x,equip. use_x,ltng._x,misc._x,powerline_x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25 acres or <_x,.26-9.99 acres_x,10-99 acres_x,100-299 acres_x,300-999 acres_x,1000-4999 acres_x,5000 acres >_x,year_y,region_y,arson_y,campfire_y,debris_burning,equip_use,ltng,misc,powerline_y,pwf,railroad_y,smoking_y,undet,vehicle_y,year_x,region_x,total,brush,grass,timber,woodland,other,year_y,region_y,arson,campfire,debris burning_y,equip. use_y,ltng._y,misc._y,power-line,p-w-f_y,rail-road,smoking,undet._y,vehicle,year ,region ,.25 acres or <_y,.26-9.99 acres_y,10-99 acres_y,100-299 acres_y,300-999 acres_y,1000-4999 acres_y,5000 acres >_y,year,region,county_year
40,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
41,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
42,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
43,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
44,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
45,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
46,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
47,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
48,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
49,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
50,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
51,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
52,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
53,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
54,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
55,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
56,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
57,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
58,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
59,Plumas,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
60,Plumas,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
61,Plumas,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
62,Plumas,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
63,Plumas,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
64,Plumas,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
65,Plumas,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
66,Plumas,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
67,Plumas,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
68,Plumas,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
69,Plumas,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
70,Plumas,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
71,Plumas,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
72,Plumas,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
73,Plumas,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
74,Plumas,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
75,Plumas,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2011.0,north,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
76,Plumas,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2011.0,north,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
77,Plumas,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2011.0,north,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
78,Plumas,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2011.0,north,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
79,Plumas,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2011.0,north,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
80,Plumas,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2011.0,north,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
81,Plumas,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2011.0,north,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
82,Plumas,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2011.0,north,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
83,Plumas,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2011.0,north,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2011.0,north,2.0,1.0,0.0,1.0,0.0,0.0,2011.0,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
84,Plumas,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2011.0,north,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
85,Plumas,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2011.0,north,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,2.0,0.0,0.0,0.0,0.0,2.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Plumas_2012
