,county,arson_x,campfire_x,debris burning_x,equip. use_x,ltng._x,misc._x,powerline_x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25 acres or <_x,.26-9.99 acres_x,10-99 acres_x,100-299 acres_x,300-999 acres_x,1000-4999 acres_x,5000 acres >_x,year_y,region_y,arson_y,campfire_y,debris_burning,equip_use,ltng,misc,powerline_y,pwf,railroad_y,smoking_y,undet,vehicle_y,year_x,region_x,total,brush,grass,timber,woodland,other,year_y,region_y,arson,campfire,debris burning_y,equip. use_y,ltng._y,misc._y,power-line,p-w-f_y,rail-road,smoking,undet._y,vehicle,year ,region ,.25 acres or <_y,.26-9.99 acres_y,10-99 acres_y,100-299 acres_y,300-999 acres_y,1000-4999 acres_y,5000 acres >_y,year,region,county_year
10,El Dorado,2.0,0.0,42.0,18.0,2.0,53.0,7.0,0.0,0.0,1.0,14.0,4.0,2011.0,north,105.0,37.0,1.0,0.0,0.0,0.0,0.0,2011.0,north,5,0.0,43.0,13,0,22.0,9.0,0.0,0.0,0.0,3,12.0,2011.0,north,109.0,1.0,32.0,43.0,1.0,32.0,2011.0,north,$0 ,$0 ,"$10,000 ","$3,100 ",$0 ,"$9,700 ","$2,500 ",$0 ,$0 ,$0 ,$100 ,"$30,000 ",2011.0,north,"$10,300 ","$45,100 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,El Dorado_2012
11,Fresno,5.0,1.0,13.0,24.0,2.0,38.0,11.0,0.0,0.0,0.0,14.0,2.0,2011.0,south,14.0,74.0,18.0,4.0,0.0,0.0,0.0,2011.0,south,20,7.0,35.0,307,30,367.0,226.0,0.0,0.0,0.0,309,18.0,2011.0,south,1318.0,11.0,734.0,3.0,16.0,554.0,2011.0,south,"$2,000 ",$500 ,$200 ,"$15,650 ",$0 ,"$62,335 ","$5,200 ",$0 ,$0 ,$0 ,"$3,200 ","$20,000 ",2011.0,south ,"$40,802 ","$24,833 ","$14,450 ","$29,000 ",$0 ,$0 ,$0 ,2011.0,south,Fresno_2012
12,Glenn,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2011.0,north,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,north,2.0,0.0,2.0,0.0,0.0,0.0,2011.0,north,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Glenn_2012
13,Humboldt,5.0,1.0,14.0,3.0,0.0,17.0,3.0,0.0,0.0,1.0,32.0,4.0,2011.0,north,43.0,33.0,3.0,0.0,1.0,0.0,0.0,2011.0,north,2,0.0,150.0,3,0,504.0,2.0,0.0,0.0,0.0,24,11.0,2011.0,north,695.0,3.0,532.0,122.0,1.0,37.0,2011.0,north,$0 ,$0 ,$400 ,"$30,000 ",$0 ,$37 ,"$1,000 ",$0 ,$0 ,"$1,000 ","$100,001 ","$1,500 ",2011.0,north,"$130,037 ","$3,901 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Humboldt_2012
14,Inyo,2.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2011.0,south,8.0,2.0,0.0,0.0,2.0,0.0,1.0,2011.0,south,1,0.0,395.0,"5,305",0,0.0,0.0,0.0,0.0,0.0,850,0.0,2011.0,south,6551.0,6545.0,5.0,1.0,0.0,0.0,2011.0,south,$0 ,$0 ,$0 ,"$20,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$7 ,$0 ,2011.0,south ,$0 ,$0 ,$0 ,$0 ,$7 ,$0 ,"$20,000 ",2011.0,south,Inyo_2012
15,Kings,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2011.0,south,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2011.0,south,0,0.0,0.0,11,0,36.0,0.0,0.0,0.0,0.0,1,0.0,2011.0,south,48.0,0.0,0.0,0.0,0.0,48.0,2011.0,south,$0 ,$0 ,$0 ,"$1,000 ",$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,south ,$200 ,$400 ,$600 ,$0 ,$0 ,$0 ,$0 ,2011.0,south,Kings_2012
16,Lake,2.0,2.0,11.0,2.0,0.0,16.0,2.0,0.0,0.0,2.0,20.0,0.0,2011.0,north,22.0,32.0,3.0,0.0,0.0,0.0,0.0,2011.0,north,1,0.0,14.0,2,0,15.0,3.0,0.0,0.0,2.0,45,0.0,2011.0,north,83.0,0.0,32.0,1.0,2.0,48.0,2011.0,north,$100 ,$0 ,$40 ,"$1,000 ",$0 ,"$520,600 ",$0 ,$0 ,,$0 ,"$13,100 ",$0 ,2011.0,north,"$1,640 ","$533,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Lake_2012
17,Lassen,3.0,0.0,10.0,3.0,8.0,4.0,1.0,1.0,0.0,0.0,5.0,1.0,2011.0,north,23.0,11.0,2.0,0.0,0.0,0.0,0.0,2011.0,north,4,0.0,9.0,0,0,3.0,13.0,0.0,0.0,0.0,27,1.0,2011.0,north,59.0,12.0,14.0,4.0,4.0,25.0,2011.0,north,$100 ,$0 ,"$9,022 ",$300 ,$274 ,$10 ,$10 ,$0 ,$0 ,$0 ,$200 ,$0 ,2011.0,north,$574 ,"$9,332 ",$10 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Lassen_2012
18,Lassen,3.0,0.0,10.0,3.0,8.0,4.0,1.0,1.0,0.0,0.0,5.0,1.0,2011.0,north,23.0,11.0,2.0,0.0,0.0,0.0,0.0,2011.0,north,4,0.0,9.0,0,0,3.0,13.0,0.0,0.0,0.0,27,1.0,2011.0,north,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,$100 ,$0 ,"$9,022 ",$300 ,$274 ,$10 ,$10 ,$0 ,$0 ,$0 ,$200 ,$0 ,2011.0,north,$574 ,"$9,332 ",$10 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Lassen_2012
19,Madera,2.0,1.0,14.0,7.0,1.0,16.0,3.0,1.0,0.0,0.0,27.0,1.0,2011.0,south,35.0,27.0,10.0,1.0,0.0,0.0,0.0,2011.0,south,2,2.0,10.0,113,0,106.0,31.0,1.0,0.0,0.0,436,1.0,2011.0,south,702.0,26.0,667.0,3.0,4.0,2.0,2011.0,south,$200 ,$0 ,$100 ,"$2,025 ",$0 ,$500 ,"$15,000 ",$0 ,$0 ,$0 ,"$8,320 ",$0 ,2011.0,south ,$225 ,"$5,820 ","$17,200 ","$2,900 ",$0 ,$0 ,$0 ,2011.0,south,Madera_2012
