county,arson_x,campfire_x,debris_burning_x,elec._power_x,equip._use_x,ltng._x,misc._x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25_acres_or_<_x,.26-9.99_acres_x,10-99_acres_x,100-299_acres_x,300-999_acres_x,1000-4999_acres_x,5000_acres_>_x,year_y,region_y,arson_y,campfire_y,debris_burning_y,elec._power_y,equip._use_y,ltng._y,misc._y,p-w-f_y,railroad_y,smoking_y,undet._y,vehicle_y,year_x.1,region_x.1,brush,grass,timber,woodland,other,year_y.1,region_y.1,arson,campfire,debris_burning,equip._use,ltng.,misc.,powerline,p-w-f,rail-road,smoking,undet.,vehicle,year_,region_,.25_acres_or_<_y,.26-9.99_acres_y,10-99_acres_y,100-299_acres_y,300-999_acres_y,1000-4999_acres_y,5000_acres_>_y,year,region,county_year
Shasta,41.0,3.0,38.0,14.0,11.0,13.0,22.0,6.0,0.0,4.0,45.0,23.0,2013.0,north,80.0,130.0,8.0,1.0,0.0,0.0,1.0,2013.0,north,0.0,0.0,0.0,0,0,1.0,0,0.0,0.0,0.0,0,0.0,2013.0,Northern,30.0,8363.0,30.0,7.0,263.0,2013.0,north,"$23,501 ",$0 ,"$43,001 ","$15,600 ","$5,000 ",$0 ,"$1,200 ",$0 ,$0 ,$600 ,"$5,407,791 ","$5,200 ",2013.0,north,$0 ,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Shasta_2013
Shasta,41.0,3.0,38.0,14.0,11.0,13.0,22.0,6.0,0.0,4.0,45.0,23.0,2013.0,north,80.0,130.0,8.0,1.0,0.0,0.0,1.0,2013.0,north,0.0,0.0,0.0,0,0,1.0,0,0.0,0.0,0.0,0,0.0,2013.0,Northern,30.0,8363.0,30.0,7.0,263.0,2013.0,north,"$23,501 ",$0 ,"$43,001 ","$15,600 ","$5,000 ",$0 ,"$1,200 ",$0 ,$0 ,$600 ,"$5,407,791 ","$5,200 ",2013.0,north,"$47,600 ","$55,102 ","$95,000 ",$0 ,$0 ,$0 ,"$5,304,191 ",2013.0,north,Shasta_2013
Shasta,41.0,3.0,38.0,14.0,11.0,13.0,22.0,6.0,0.0,4.0,45.0,23.0,2013.0,north,80.0,130.0,8.0,1.0,0.0,0.0,1.0,2013.0,north,0.0,0.0,0.0,0,0,1.0,0,0.0,0.0,0.0,0,0.0,2013.0,Northern,30.0,8363.0,30.0,7.0,263.0,2013.0,north,"$23,501 ",$0 ,"$43,001 ","$15,600 ","$5,000 ",$0 ,"$1,200 ",$0 ,$0 ,$600 ,"$5,407,791 ","$5,200 ",2013.0,north,$0 ,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Shasta_2013
Shasta,41.0,3.0,38.0,14.0,11.0,13.0,22.0,6.0,0.0,4.0,45.0,23.0,2013.0,north,80.0,130.0,8.0,1.0,0.0,0.0,1.0,2013.0,north,32.0,12.0,99.0,12,27,194.0,66,10.0,0.0,6.0,"8,217",18.0,2013.0,Northern,0.0,0.0,1.0,0.0,0.0,2013.0,north,"$23,501 ",$0 ,"$43,001 ","$15,600 ","$5,000 ",$0 ,"$1,200 ",$0 ,$0 ,$600 ,"$5,407,791 ","$5,200 ",2013.0,north,$0 ,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Shasta_2013
Shasta,41.0,3.0,38.0,14.0,11.0,13.0,22.0,6.0,0.0,4.0,45.0,23.0,2013.0,north,80.0,130.0,8.0,1.0,0.0,0.0,1.0,2013.0,north,32.0,12.0,99.0,12,27,194.0,66,10.0,0.0,6.0,"8,217",18.0,2013.0,Northern,0.0,0.0,1.0,0.0,0.0,2013.0,north,"$23,501 ",$0 ,"$43,001 ","$15,600 ","$5,000 ",$0 ,"$1,200 ",$0 ,$0 ,$600 ,"$5,407,791 ","$5,200 ",2013.0,north,"$47,600 ","$55,102 ","$95,000 ",$0 ,$0 ,$0 ,"$5,304,191 ",2013.0,north,Shasta_2013
Shasta,41.0,3.0,38.0,14.0,11.0,13.0,22.0,6.0,0.0,4.0,45.0,23.0,2013.0,north,80.0,130.0,8.0,1.0,0.0,0.0,1.0,2013.0,north,32.0,12.0,99.0,12,27,194.0,66,10.0,0.0,6.0,"8,217",18.0,2013.0,Northern,0.0,0.0,1.0,0.0,0.0,2013.0,north,"$23,501 ",$0 ,"$43,001 ","$15,600 ","$5,000 ",$0 ,"$1,200 ",$0 ,$0 ,$600 ,"$5,407,791 ","$5,200 ",2013.0,north,$0 ,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Shasta_2013
Shasta,41.0,3.0,38.0,14.0,11.0,13.0,22.0,6.0,0.0,4.0,45.0,23.0,2013.0,north,80.0,130.0,8.0,1.0,0.0,0.0,1.0,2013.0,north,32.0,12.0,99.0,12,27,194.0,66,10.0,0.0,6.0,"8,217",18.0,2013.0,Northern,30.0,8363.0,30.0,7.0,263.0,2013.0,north,"$23,501 ",$0 ,"$43,001 ","$15,600 ","$5,000 ",$0 ,"$1,200 ",$0 ,$0 ,$600 ,"$5,407,791 ","$5,200 ",2013.0,north,$0 ,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Shasta_2013
Shasta,41.0,3.0,38.0,14.0,11.0,13.0,22.0,6.0,0.0,4.0,45.0,23.0,2013.0,north,80.0,130.0,8.0,1.0,0.0,0.0,1.0,2013.0,north,32.0,12.0,99.0,12,27,194.0,66,10.0,0.0,6.0,"8,217",18.0,2013.0,Northern,30.0,8363.0,30.0,7.0,263.0,2013.0,north,"$23,501 ",$0 ,"$43,001 ","$15,600 ","$5,000 ",$0 ,"$1,200 ",$0 ,$0 ,$600 ,"$5,407,791 ","$5,200 ",2013.0,north,"$47,600 ","$55,102 ","$95,000 ",$0 ,$0 ,$0 ,"$5,304,191 ",2013.0,north,Shasta_2013
Shasta,41.0,3.0,38.0,14.0,11.0,13.0,22.0,6.0,0.0,4.0,45.0,23.0,2013.0,north,80.0,130.0,8.0,1.0,0.0,0.0,1.0,2013.0,north,32.0,12.0,99.0,12,27,194.0,66,10.0,0.0,6.0,"8,217",18.0,2013.0,Northern,30.0,8363.0,30.0,7.0,263.0,2013.0,north,"$23,501 ",$0 ,"$43,001 ","$15,600 ","$5,000 ",$0 ,"$1,200 ",$0 ,$0 ,$600 ,"$5,407,791 ","$5,200 ",2013.0,north,$0 ,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Shasta_2013
Shasta,41.0,3.0,38.0,14.0,11.0,13.0,22.0,6.0,0.0,4.0,45.0,23.0,2013.0,north,80.0,130.0,8.0,1.0,0.0,0.0,1.0,2013.0,north,0.0,0.0,0.0,0,0,2.0,0,0.0,0.0,0.0,0,0.0,2013.0,Northern,0.0,0.0,1.0,0.0,0.0,2013.0,north,"$23,501 ",$0 ,"$43,001 ","$15,600 ","$5,000 ",$0 ,"$1,200 ",$0 ,$0 ,$600 ,"$5,407,791 ","$5,200 ",2013.0,north,$0 ,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Shasta_2013
Shasta,41.0,3.0,38.0,14.0,11.0,13.0,22.0,6.0,0.0,4.0,45.0,23.0,2013.0,north,80.0,130.0,8.0,1.0,0.0,0.0,1.0,2013.0,north,0.0,0.0,0.0,0,0,2.0,0,0.0,0.0,0.0,0,0.0,2013.0,Northern,0.0,0.0,1.0,0.0,0.0,2013.0,north,"$23,501 ",$0 ,"$43,001 ","$15,600 ","$5,000 ",$0 ,"$1,200 ",$0 ,$0 ,$600 ,"$5,407,791 ","$5,200 ",2013.0,north,"$47,600 ","$55,102 ","$95,000 ",$0 ,$0 ,$0 ,"$5,304,191 ",2013.0,north,Shasta_2013
Shasta,41.0,3.0,38.0,14.0,11.0,13.0,22.0,6.0,0.0,4.0,45.0,23.0,2013.0,north,80.0,130.0,8.0,1.0,0.0,0.0,1.0,2013.0,north,0.0,0.0,0.0,0,0,2.0,0,0.0,0.0,0.0,0,0.0,2013.0,Northern,0.0,0.0,1.0,0.0,0.0,2013.0,north,"$23,501 ",$0 ,"$43,001 ","$15,600 ","$5,000 ",$0 ,"$1,200 ",$0 ,$0 ,$600 ,"$5,407,791 ","$5,200 ",2013.0,north,$0 ,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Shasta_2013
Shasta,41.0,3.0,38.0,14.0,11.0,13.0,22.0,6.0,0.0,4.0,45.0,23.0,2013.0,north,80.0,130.0,8.0,1.0,0.0,0.0,1.0,2013.0,north,0.0,0.0,0.0,0,0,2.0,0,0.0,0.0,0.0,0,0.0,2013.0,Northern,30.0,8363.0,30.0,7.0,263.0,2013.0,north,"$23,501 ",$0 ,"$43,001 ","$15,600 ","$5,000 ",$0 ,"$1,200 ",$0 ,$0 ,$600 ,"$5,407,791 ","$5,200 ",2013.0,north,$0 ,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Shasta_2013
Shasta,41.0,3.0,38.0,14.0,11.0,13.0,22.0,6.0,0.0,4.0,45.0,23.0,2013.0,north,80.0,130.0,8.0,1.0,0.0,0.0,1.0,2013.0,north,0.0,0.0,0.0,0,0,2.0,0,0.0,0.0,0.0,0,0.0,2013.0,Northern,30.0,8363.0,30.0,7.0,263.0,2013.0,north,"$23,501 ",$0 ,"$43,001 ","$15,600 ","$5,000 ",$0 ,"$1,200 ",$0 ,$0 ,$600 ,"$5,407,791 ","$5,200 ",2013.0,north,"$47,600 ","$55,102 ","$95,000 ",$0 ,$0 ,$0 ,"$5,304,191 ",2013.0,north,Shasta_2013
Shasta,41.0,3.0,38.0,14.0,11.0,13.0,22.0,6.0,0.0,4.0,45.0,23.0,2013.0,north,80.0,130.0,8.0,1.0,0.0,0.0,1.0,2013.0,north,0.0,0.0,0.0,0,0,2.0,0,0.0,0.0,0.0,0,0.0,2013.0,Northern,30.0,8363.0,30.0,7.0,263.0,2013.0,north,"$23,501 ",$0 ,"$43,001 ","$15,600 ","$5,000 ",$0 ,"$1,200 ",$0 ,$0 ,$600 ,"$5,407,791 ","$5,200 ",2013.0,north,$0 ,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Shasta_2013
Shasta-Trinity,45.0,5.0,45.0,20.0,13.0,26.0,23.0,6.0,0.0,6.0,46.0,25.0,2013.0,north,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shasta-Trinity_2013
Sierra,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2013.0,north,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2013.0,north,0.0,0.0,1.0,0,0,0.0,0,0.0,0.0,0.0,3,0.0,2013.0,Northern,0.0,0.0,0.0,3.0,1.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Sierra_2013
Siskiyou,2.0,3.0,18.0,4.0,7.0,56.0,38.0,2.0,0.0,2.0,7.0,2.0,2013.0,north,119.0,20.0,2.0,0.0,0.0,0.0,0.0,2013.0,north,0.0,0.0,0.0,0,0,1.0,0,0.0,0.0,0.0,0,0.0,2013.0,Northern,0.0,0.0,0.0,0.0,1.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Siskiyou_2013
Siskiyou,2.0,3.0,18.0,4.0,7.0,56.0,38.0,2.0,0.0,2.0,7.0,2.0,2013.0,north,119.0,20.0,2.0,0.0,0.0,0.0,0.0,2013.0,north,0.0,0.0,0.0,0,0,1.0,0,0.0,0.0,0.0,0,0.0,2013.0,Northern,0.0,0.0,0.0,0.0,1.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,$0 ,$400 ,"$2,000 ",$0 ,$0 ,$0 ,$0 ,2013.0,north,Siskiyou_2013
Siskiyou,2.0,3.0,18.0,4.0,7.0,56.0,38.0,2.0,0.0,2.0,7.0,2.0,2013.0,north,119.0,20.0,2.0,0.0,0.0,0.0,0.0,2013.0,north,0.0,0.0,0.0,0,0,1.0,0,0.0,0.0,0.0,0,0.0,2013.0,Northern,0.0,0.0,0.0,0.0,1.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,"$2,400 ",$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Siskiyou_2013
Siskiyou,2.0,3.0,18.0,4.0,7.0,56.0,38.0,2.0,0.0,2.0,7.0,2.0,2013.0,north,119.0,20.0,2.0,0.0,0.0,0.0,0.0,2013.0,north,0.0,0.0,0.0,0,0,1.0,0,0.0,0.0,0.0,0,0.0,2013.0,Northern,0.0,0.0,0.0,0.0,1.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,"$2,400 ",$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,$0 ,$400 ,"$2,000 ",$0 ,$0 ,$0 ,$0 ,2013.0,north,Siskiyou_2013
Siskiyou,2.0,3.0,18.0,4.0,7.0,56.0,38.0,2.0,0.0,2.0,7.0,2.0,2013.0,north,119.0,20.0,2.0,0.0,0.0,0.0,0.0,2013.0,north,0.0,0.0,0.0,0,0,1.0,0,0.0,0.0,0.0,0,0.0,2013.0,Northern,1.0,104.0,13.0,13.0,3.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Siskiyou_2013
Siskiyou,2.0,3.0,18.0,4.0,7.0,56.0,38.0,2.0,0.0,2.0,7.0,2.0,2013.0,north,119.0,20.0,2.0,0.0,0.0,0.0,0.0,2013.0,north,0.0,0.0,0.0,0,0,1.0,0,0.0,0.0,0.0,0,0.0,2013.0,Northern,1.0,104.0,13.0,13.0,3.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,$0 ,$400 ,"$2,000 ",$0 ,$0 ,$0 ,$0 ,2013.0,north,Siskiyou_2013
Siskiyou,2.0,3.0,18.0,4.0,7.0,56.0,38.0,2.0,0.0,2.0,7.0,2.0,2013.0,north,119.0,20.0,2.0,0.0,0.0,0.0,0.0,2013.0,north,0.0,0.0,0.0,0,0,1.0,0,0.0,0.0,0.0,0,0.0,2013.0,Northern,1.0,104.0,13.0,13.0,3.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,"$2,400 ",$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Siskiyou_2013
Siskiyou,2.0,3.0,18.0,4.0,7.0,56.0,38.0,2.0,0.0,2.0,7.0,2.0,2013.0,north,119.0,20.0,2.0,0.0,0.0,0.0,0.0,2013.0,north,0.0,0.0,0.0,0,0,1.0,0,0.0,0.0,0.0,0,0.0,2013.0,Northern,1.0,104.0,13.0,13.0,3.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,"$2,400 ",$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,$0 ,$400 ,"$2,000 ",$0 ,$0 ,$0 ,$0 ,2013.0,north,Siskiyou_2013
Siskiyou,2.0,3.0,18.0,4.0,7.0,56.0,38.0,2.0,0.0,2.0,7.0,2.0,2013.0,north,119.0,20.0,2.0,0.0,0.0,0.0,0.0,2013.0,north,0.0,0.0,7.0,0,63,61.0,1,0.0,0.0,0.0,2,0.0,2013.0,Northern,0.0,0.0,0.0,0.0,1.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Siskiyou_2013
Siskiyou,2.0,3.0,18.0,4.0,7.0,56.0,38.0,2.0,0.0,2.0,7.0,2.0,2013.0,north,119.0,20.0,2.0,0.0,0.0,0.0,0.0,2013.0,north,0.0,0.0,7.0,0,63,61.0,1,0.0,0.0,0.0,2,0.0,2013.0,Northern,0.0,0.0,0.0,0.0,1.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,$0 ,$400 ,"$2,000 ",$0 ,$0 ,$0 ,$0 ,2013.0,north,Siskiyou_2013
Siskiyou,2.0,3.0,18.0,4.0,7.0,56.0,38.0,2.0,0.0,2.0,7.0,2.0,2013.0,north,119.0,20.0,2.0,0.0,0.0,0.0,0.0,2013.0,north,0.0,0.0,7.0,0,63,61.0,1,0.0,0.0,0.0,2,0.0,2013.0,Northern,0.0,0.0,0.0,0.0,1.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,"$2,400 ",$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Siskiyou_2013
Siskiyou,2.0,3.0,18.0,4.0,7.0,56.0,38.0,2.0,0.0,2.0,7.0,2.0,2013.0,north,119.0,20.0,2.0,0.0,0.0,0.0,0.0,2013.0,north,0.0,0.0,7.0,0,63,61.0,1,0.0,0.0,0.0,2,0.0,2013.0,Northern,0.0,0.0,0.0,0.0,1.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,"$2,400 ",$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,$0 ,$400 ,"$2,000 ",$0 ,$0 ,$0 ,$0 ,2013.0,north,Siskiyou_2013
Siskiyou,2.0,3.0,18.0,4.0,7.0,56.0,38.0,2.0,0.0,2.0,7.0,2.0,2013.0,north,119.0,20.0,2.0,0.0,0.0,0.0,0.0,2013.0,north,0.0,0.0,7.0,0,63,61.0,1,0.0,0.0,0.0,2,0.0,2013.0,Northern,1.0,104.0,13.0,13.0,3.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Siskiyou_2013
Siskiyou,2.0,3.0,18.0,4.0,7.0,56.0,38.0,2.0,0.0,2.0,7.0,2.0,2013.0,north,119.0,20.0,2.0,0.0,0.0,0.0,0.0,2013.0,north,0.0,0.0,7.0,0,63,61.0,1,0.0,0.0,0.0,2,0.0,2013.0,Northern,1.0,104.0,13.0,13.0,3.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,$0 ,$400 ,"$2,000 ",$0 ,$0 ,$0 ,$0 ,2013.0,north,Siskiyou_2013
Siskiyou,2.0,3.0,18.0,4.0,7.0,56.0,38.0,2.0,0.0,2.0,7.0,2.0,2013.0,north,119.0,20.0,2.0,0.0,0.0,0.0,0.0,2013.0,north,0.0,0.0,7.0,0,63,61.0,1,0.0,0.0,0.0,2,0.0,2013.0,Northern,1.0,104.0,13.0,13.0,3.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,"$2,400 ",$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Siskiyou_2013
Siskiyou,2.0,3.0,18.0,4.0,7.0,56.0,38.0,2.0,0.0,2.0,7.0,2.0,2013.0,north,119.0,20.0,2.0,0.0,0.0,0.0,0.0,2013.0,north,0.0,0.0,7.0,0,63,61.0,1,0.0,0.0,0.0,2,0.0,2013.0,Northern,1.0,104.0,13.0,13.0,3.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,"$2,400 ",$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,$0 ,$400 ,"$2,000 ",$0 ,$0 ,$0 ,$0 ,2013.0,north,Siskiyou_2013
Solano,1.0,2.0,5.0,5.0,3.0,4.0,2.0,2.0,0.0,0.0,9.0,3.0,2013.0,north,9.0,21.0,6.0,0.0,0.0,0.0,0.0,2013.0,north,0.0,0.0,28.0,15,20,8.0,1,7.0,0.0,0.0,73,14.0,2013.0,Northern,0.0,116.0,0.0,0.0,50.0,2013.0,north,$0 ,$0 ,$2 ,"$86,400 ","$220,002 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$6,000 ","$15,300 ",2013.0,north,$2 ,"$172,700 ","$155,002 ",$0 ,$0 ,$0 ,$0 ,2013.0,north,Solano_2013
Sonoma,11.0,5.0,25.0,37.0,22.0,18.0,26.0,4.0,0.0,4.0,36.0,8.0,2013.0,north,109.0,76.0,8.0,2.0,0.0,1.0,0.0,2013.0,north,26.0,6.0,24.0,"3,668",210,7.0,9,2.0,0.0,163.0,47,27.0,2013.0,Northern,37.0,3931.0,14.0,86.0,121.0,2013.0,north,$0 ,$0 ,$0 ,"$9,265,420 ","$21,576 ",$100 ,"$75,500 ",$0 ,$0 ,$0 ,"$4,300 ",$0 ,2013.0,north,"$81,520 ","$284,376 ",$500 ,$500 ,$0 ,"$9,000,000 ",$0 ,2013.0,north,Sonoma_2013
Sutter,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.0,north,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2013.0,north,0.0,0.0,0.0,1,0,0.0,0,0.0,0.0,0.0,0,0.0,2013.0,Northern,0.0,1.0,0.0,0.0,0.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Sutter_2013
Tehama,9.0,0.0,7.0,9.0,10.0,8.0,11.0,1.0,0.0,1.0,17.0,3.0,2013.0,north,27.0,39.0,6.0,3.0,0.0,0.0,1.0,2013.0,north,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,"6,896",0.0,2013.0,Northern,0.0,0.0,6896.0,0.0,0.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Tehama_2013
Tehama,9.0,0.0,7.0,9.0,10.0,8.0,11.0,1.0,0.0,1.0,17.0,3.0,2013.0,north,27.0,39.0,6.0,3.0,0.0,0.0,1.0,2013.0,north,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,"6,896",0.0,2013.0,Northern,0.0,0.0,6896.0,0.0,0.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,"$3,500 ","$276,900 ","$5,000 ","$11,000 ",$0 ,$0 ,"$50,000 ",2013.0,north,Tehama_2013
Tehama,9.0,0.0,7.0,9.0,10.0,8.0,11.0,1.0,0.0,1.0,17.0,3.0,2013.0,north,27.0,39.0,6.0,3.0,0.0,0.0,1.0,2013.0,north,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,"6,896",0.0,2013.0,Northern,0.0,0.0,6896.0,0.0,0.0,2013.0,north,$0 ,$0 ,$0 ,"$61,500 ","$6,900 ",$300 ,"$15,000 ",$600 ,$0 ,"$5,000 ","$254,100 ","$3,000 ",2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Tehama_2013
Tehama,9.0,0.0,7.0,9.0,10.0,8.0,11.0,1.0,0.0,1.0,17.0,3.0,2013.0,north,27.0,39.0,6.0,3.0,0.0,0.0,1.0,2013.0,north,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,"6,896",0.0,2013.0,Northern,0.0,0.0,6896.0,0.0,0.0,2013.0,north,$0 ,$0 ,$0 ,"$61,500 ","$6,900 ",$300 ,"$15,000 ",$600 ,$0 ,"$5,000 ","$254,100 ","$3,000 ",2013.0,north,"$3,500 ","$276,900 ","$5,000 ","$11,000 ",$0 ,$0 ,"$50,000 ",2013.0,north,Tehama_2013
Tehama,9.0,0.0,7.0,9.0,10.0,8.0,11.0,1.0,0.0,1.0,17.0,3.0,2013.0,north,27.0,39.0,6.0,3.0,0.0,0.0,1.0,2013.0,north,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,"6,896",0.0,2013.0,Northern,9.0,12117.0,2.0,5.0,35.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Tehama_2013
Tehama,9.0,0.0,7.0,9.0,10.0,8.0,11.0,1.0,0.0,1.0,17.0,3.0,2013.0,north,27.0,39.0,6.0,3.0,0.0,0.0,1.0,2013.0,north,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,"6,896",0.0,2013.0,Northern,9.0,12117.0,2.0,5.0,35.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,"$3,500 ","$276,900 ","$5,000 ","$11,000 ",$0 ,$0 ,"$50,000 ",2013.0,north,Tehama_2013
Tehama,9.0,0.0,7.0,9.0,10.0,8.0,11.0,1.0,0.0,1.0,17.0,3.0,2013.0,north,27.0,39.0,6.0,3.0,0.0,0.0,1.0,2013.0,north,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,"6,896",0.0,2013.0,Northern,9.0,12117.0,2.0,5.0,35.0,2013.0,north,$0 ,$0 ,$0 ,"$61,500 ","$6,900 ",$300 ,"$15,000 ",$600 ,$0 ,"$5,000 ","$254,100 ","$3,000 ",2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Tehama_2013
Tehama,9.0,0.0,7.0,9.0,10.0,8.0,11.0,1.0,0.0,1.0,17.0,3.0,2013.0,north,27.0,39.0,6.0,3.0,0.0,0.0,1.0,2013.0,north,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,"6,896",0.0,2013.0,Northern,9.0,12117.0,2.0,5.0,35.0,2013.0,north,$0 ,$0 ,$0 ,"$61,500 ","$6,900 ",$300 ,"$15,000 ",$600 ,$0 ,"$5,000 ","$254,100 ","$3,000 ",2013.0,north,"$3,500 ","$276,900 ","$5,000 ","$11,000 ",$0 ,$0 ,"$50,000 ",2013.0,north,Tehama_2013
Tehama,9.0,0.0,7.0,9.0,10.0,8.0,11.0,1.0,0.0,1.0,17.0,3.0,2013.0,north,27.0,39.0,6.0,3.0,0.0,0.0,1.0,2013.0,north,7.0,0.0,107.0,"11,647",51,209.0,8,1.0,0.0,22.0,115,1.0,2013.0,Northern,0.0,0.0,6896.0,0.0,0.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Tehama_2013
