county,arson_x,campfire_x,debris_burning_x,equip._use_x,ltng._x,misc._x,powerline_x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25_acres_or_<_x,.26-9.99_acres_x,10-99_acres_x,100-299_acres_x,300-999_acres_x,1000-4999_acres_x,5000_acres_>_x,year_y,region_y,arson_y,campfire_y,debris_burning,equip_use,ltng,misc,powerline_y,pwf,railroad_y,smoking_y,undet,vehicle_y,year_x.1,region_x.1,brush,grass,timber,woodland,other,year_y.1,region_y.1,arson,campfire,debris_burning_y,equip._use_y,ltng._y,misc._y,power-line,p-w-f_y,rail-road,smoking,undet._y,vehicle,year_,region_,.25_acres_or_<_y,.26-9.99_acres_y,10-99_acres_y,100-299_acres_y,300-999_acres_y,1000-4999_acres_y,5000_acres_>_y,year,region,county_year
Glenn,0,0,0,0,0,1,0,0,0,0,1,0,2011,north,0,2,0,0,0,0,0,2011,north,0,0,0,0,0,1,0,0,0,0,1,0,2011,north,0,2,0,0,0,2011,north,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Glenn_2012
Humboldt,5,1,14,3,0,17,3,0,0,1,32,4,2011,north,43,33,3,0,1,0,0,2011,north,2,0,150,3,0,504,2,0,0,0,24,11,2011,north,3,532,122,1,37,2011,north,$0 ,$0 ,$400 ,"$30,000 ",$0 ,$37 ,"$1,000 ",$0 ,$0 ,"$1,000 ","$100,001 ","$1,500 ",2011,north,"$130,037 ","$3,901 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Humboldt_2012
Inyo,2,1,2,3,1,0,0,0,0,1,3,0,2011,south,8,2,0,0,2,0,1,2011,south,1,0,395,"5,305",0,0,0,0,0,0,850,0,2011,south,6545,5,1,0,0,2011,south,$0 ,$0 ,$0 ,"$20,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$7 ,$0 ,2011,south ,$0 ,$0 ,$0 ,$0 ,$7 ,$0 ,"$20,000 ",2011,south,Inyo_2012
Kings,0,0,0,2,0,2,0,0,0,0,1,0,2011,south,1,2,2,0,0,0,0,2011,south,0,0,0,11,0,36,0,0,0,0,1,0,2011,south,0,0,0,0,48,2011,south,$0 ,$0 ,$0 ,"$1,000 ",$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,south ,$200 ,$400 ,$600 ,$0 ,$0 ,$0 ,$0 ,2011,south,Kings_2012
Lake,2,2,11,2,0,16,2,0,0,2,20,0,2011,north,22,32,3,0,0,0,0,2011,north,1,0,14,2,0,15,3,0,0,2,45,0,2011,north,0,32,1,2,48,2011,north,$100 ,$0 ,$40 ,"$1,000 ",$0 ,"$520,600 ",$0 ,$0 ,,$0 ,"$13,100 ",$0 ,2011,north,"$1,640 ","$533,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Lake_2012
Lassen,3,0,10,3,8,4,1,1,0,0,5,1,2011,north,23,11,2,0,0,0,0,2011,north,4,0,9,0,0,3,13,0,0,0,27,1,2011,north,12,14,4,4,25,2011,north,$100 ,$0 ,"$9,022 ",$300 ,$274 ,$10 ,$10 ,$0 ,$0 ,$0 ,$200 ,$0 ,2011,north,$574 ,"$9,332 ",$10 ,$0 ,$0 ,$0 ,$0 ,2011,north,Lassen_2012
Lassen,3,0,10,3,8,4,1,1,0,0,5,1,2011,north,23,11,2,0,0,0,0,2011,north,4,0,9,0,0,3,13,0,0,0,27,1,2011,north,0,0,0,0,0,2011,north,$100 ,$0 ,"$9,022 ",$300 ,$274 ,$10 ,$10 ,$0 ,$0 ,$0 ,$200 ,$0 ,2011,north,$574 ,"$9,332 ",$10 ,$0 ,$0 ,$0 ,$0 ,2011,north,Lassen_2012
Madera,2,1,14,7,1,16,3,1,0,0,27,1,2011,south,35,27,10,1,0,0,0,2011,south,2,2,10,113,0,106,31,1,0,0,436,1,2011,south,26,667,3,4,2,2011,south,$200 ,$0 ,$100 ,"$2,025 ",$0 ,$500 ,"$15,000 ",$0 ,$0 ,$0 ,"$8,320 ",$0 ,2011,south ,$225 ,"$5,820 ","$17,200 ","$2,900 ",$0 ,$0 ,$0 ,2011,south,Madera_2012
Mariposa,1,0,10,6,1,18,1,0,0,0,12,0,2011,south,27,18,4,0,0,0,0,2011,south,1,0,24,10,0,53,4,0,0,0,19,0,2011,south,36,66,0,1,9,2011,south,$0 ,$0 ,"$10,001 ",$100 ,$0 ,$2 ,"$3,400 ",$0 ,$0 ,$0 ,$500 ,$0 ,2011,south ,$3 ,"$3,500 ","$10,500 ",$0 ,$0 ,$0 ,$0 ,2011,south,Mariposa_2012
Mendocino,13,2,21,10,0,36,2,1,0,2,38,3,2011,north,46,81,0,0,1,0,0,2011,north,22,2,20,19,0,659,1,1,0,1,38,3,2011,north,12,75,37,1,641,2011,north,$800 ,$0 ,$0 ,$0 ,$0 ,"$4,012 ",$0 ,$0 ,$0 ,$0 ,"$26,200 ","$50,000 ",2011,north,"$11,000 ","$67,011 ",$0 ,$0 ,"$3,001 ",$0 ,$0 ,2011,north,Mendocino_2012
Merced,0,0,0,2,0,8,2,0,0,0,10,1,2011,south,2,13,5,1,2,0,0,2011,south,0,0,0,61,0,30,39,0,0,0,693,575,2011,south,40,1351,0,0,6,2011,south,$0 ,$0 ,$0 ,"$60,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$9,780 ","$11,300 ",2011,south ,$0 ,$0 ,"$60,000 ",$0 ,"$21,080 ",$0 ,$0 ,2011,south,Merced_2012
Modoc,0,0,3,1,3,18,0,0,0,0,4,0,2011,north,17,11,1,0,0,0,0,2011,north,0,0,4,0,10,18,0,0,0,0,1,0,2011,north,6,0,0,0,27,2011,north,$0 ,$0 ,$500 ,$200 ,$50 ,$32 ,$0 ,$0 ,$0 ,$0 ,"$1,100 ",$0 ,2011,north,$250 ,"$1,632 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Modoc_2012
Monterey,6,1,9,16,0,27,5,0,0,0,7,1,2011,south,27,29,13,1,2,0,0,2011,south,22,0,54,276,0,977,446,0,0,0,6,20,2011,south,883,916,1,0,1,2011,south,$250 ,$0 ,$400 ,$220 ,$0 ,"$132,586 ","$30,420 ",$0 ,$0 ,$0 ,"$1,100 ",$100 ,2011,south ,$601 ,"$1,730 ","$2,745 ",$0 ,"$160,000 ",$0 ,$0 ,2011,south,Monterey_2012
Napa,0,0,3,6,0,10,2,0,0,0,8,1,2011,north,10,17,2,0,1,0,0,2011,north,0,0,6,21,0,72,3,0,0,0,517,0,2011,north,5,103,1,0,510,2011,north,$0 ,$0 ,$0 ,,$0 ,"$754,050 ",$300 ,$0 ,,$0 ,$0 ,$0 ,2011,north,$0 ,"$4,350 ","$750,000 ",$0 ,$0 ,$0 ,$0 ,2011,north,Napa_2012
Nevada,2,1,15,6,3,15,1,0,0,2,14,0,2011,north,37,21,1,0,0,0,0,2011,north,2,0,20,2,0,11,0,0,0,2,7,0,2011,north,3,6,17,1,17,2011,north,$0 ,$0 ,$50 ,"$29,700 ",$0 ,$500 ,$0 ,$0 ,$0 ,$0 ,$100 ,$0 ,2011,north,"$29,000 ","$1,350 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Nevada_2012
Placer,1,1,13,9,1,22,7,0,0,3,20,1,2011,north,39,39,0,0,0,0,0,2011,north,3,0,14,11,0,14,4,0,0,1,10,2,2011,north,2,38,6,0,12,2011,north,$0 ,$0 ,"$5,050 ",$500 ,$0 ,"$7,300 ","$41,050 ",$0 ,$0 ,$0 ,"$1,650 ",$0 ,2011,north,"$1,900 ","$53,650 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Placer_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,1,2,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,1,2,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,1,2,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,1,2,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,1,2,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,1,2,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,1,2,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,1,2,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,1,2,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,1,2,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,1,2,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,1,2,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,1,2,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,1,2,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
