county,arson_x,campfire_x,debris_burning_x,equip._use_x,ltng._x,misc._x,powerline_x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25_acres_or_<_x,.26-9.99_acres_x,10-99_acres_x,100-299_acres_x,300-999_acres_x,1000-4999_acres_x,5000_acres_>_x,year_y,region_y,arson_y,campfire_y,debris_burning,equip_use,ltng,misc,powerline_y,pwf,railroad_y,smoking_y,undet,vehicle_y,year_x.1,region_x.1,brush,grass,timber,woodland,other,year_y.1,region_y.1,arson,campfire,debris_burning_y,equip._use_y,ltng._y,misc._y,power-line,p-w-f_y,rail-road,smoking,undet._y,vehicle,year_,region_,.25_acres_or_<_y,.26-9.99_acres_y,10-99_acres_y,100-299_acres_y,300-999_acres_y,1000-4999_acres_y,5000_acres_>_y,year,region,county_year
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,5,1,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,5,1,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,5,1,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,5,1,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,2,0,0,0,1,0,0,0,0,0,0,0,2011,north,5,1,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,1,2,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,1,2,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,1,2,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,1,2,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,1,2,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,1,2,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,1,2,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,1,2,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,1,2,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,1,2,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,1,2,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,1,2,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,1,2,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,1,2,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,1,2,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,1,2,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,5,1,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,5,1,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,5,1,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,5,1,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,5,1,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,5,1,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,5,1,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,5,1,0,0,0,0,0,2011,north,2,0,0,0,0,0,0,0,0,0,0,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,5,1,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,5,1,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,5,1,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,5,1,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,0,0,0,0,2,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,5,1,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,5,1,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,5,1,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Plumas,0,0,2,0,0,2,0,0,0,0,2,0,2011,north,5,1,0,0,0,0,0,2011,north,0,0,1,0,0,0,0,0,0,0,1,0,2011,north,1,0,1,0,0,2011,north,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Plumas_2012
Riverside,7,0,12,29,5,53,10,0,1,7,78,6,2011,south,59,120,26,2,1,0,0,2011,south,13,0,16,255,8,382,31,0,1,4,"1,597",11,2011,south,217,1767,4,0,330,2011,south,$0 ,$0 ,$0 ,"$157,600 ",$0 ,"$51,000 ","$17,000 ",$0 ,$0 ,$0 ,"$51,000 ","$59,000 ",2011,south ,$0 ,"$254,600 ","$81,000 ",$0 ,$0 ,$0 ,$0 ,2011,south,Riverside_2012
Riverside,7,0,12,29,5,53,10,0,1,7,78,6,2011,south,59,120,26,2,1,0,0,2011,south,13,0,16,255,8,382,31,0,1,4,"1,597",11,2011,south,217,1767,4,0,330,2011,south,$0 ,$0 ,$0 ,"$157,600 ",$0 ,"$51,000 ","$17,000 ",$0 ,$0 ,$0 ,"$51,000 ","$59,000 ",2011,south ,$0 ,"$254,600 ","$81,000 ",$0 ,$0 ,$0 ,$0 ,2011,south,Riverside_2012
Sacramento,2,0,0,2,0,7,1,0,0,0,3,0,2011,north,4,9,2,0,0,0,0,2011,north,0,0,0,1,0,38,16,0,0,0,3,0,2011,north,0,53,0,0,7,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Sacramento_2012
San Benito,2,0,1,5,0,8,3,0,0,0,4,0,2011,south,4,16,3,0,0,0,0,2011,south,4,0,1,54,0,12,7,0,0,0,41,0,2011,south,1,114,0,0,4,2011,south,$0 ,$0 ,$0 ,"$3,195 ",$0 ,$20 ,$0 ,$0 ,$0 ,$0 ,"$5,000 ",$0 ,2011,south ,$30 ,$185 ,"$8,000 ",$0 ,$0 ,$0 ,$0 ,2011,south,San Benito_2012
San Bernardino,5,0,5,19,3,40,5,1,0,3,21,0,2011,south,46,44,8,3,0,1,0,2011,south,0,0,2,20,2,296,15,1,0,2,"1,653",0,2011,south,63,503,0,0,1426,2011,south,$0 ,$0 ,$0 ,"$39,002 ",$0 ,$108 ,$0 ,$0 ,$0 ,$0 ,"$380,700 ",$0 ,2011,south ,"$2,000 ","$137,802 ",$8 ,$0 ,$0 ,"$280,000 ",$0 ,2011,south,San Bernardino_2012
San Diego,6,0,8,28,8,57,9,0,0,2,77,1,2011,south,87,86,18,3,0,1,1,2011,south,"14,138",0,23,136,220,374,239,0,0,1,"2,306",2,2011,south,16883,461,2,0,93,2011,south,"$5,000 ",$0 ,$0 ,"$99,800 ",$0 ,"$232,162 ",$500 ,$0 ,$0 ,$0 ,"$3,500 ","$1,000 ",2011,south ,"$9,762 ","$94,200 ","$232,000 ",$0 ,$0 ,"$1,000 ","$5,000 ",2011,south,San Diego_2012
San Joaquin,0,0,0,1,0,4,0,0,0,0,2,0,2011,north,2,5,0,0,0,0,0,2011,north,0,0,0,5,0,15,0,0,0,0,2,0,2011,north,0,18,0,0,5,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,San Joaquin_2012
San Luis Obispo,2,0,9,24,1,54,6,0,0,0,27,3,2011,south,59,57,7,1,1,1,0,2011,south,1,0,17,"1,957",1,62,67,0,0,0,243,44,2011,south,6,2366,2,0,17,2011,south,$0 ,$0 ,$0 ,"$89,300 ",$0 ,"$28,900 ","$3,000 ",$0 ,$0 ,$0 ,"$2,000 ",$0 ,2011,south ,"$25,000 ","$28,700 ","$56,000 ","$2,000 ",$0 ,"$11,500 ",$0 ,2011,south,San Luis Obispo_2012
San Mateo,0,0,0,2,0,5,0,0,0,0,3,0,2011,north,4,6,0,0,0,0,0,2011,north,0,0,0,2,0,2,0,0,0,0,2,0,2011,north,1,3,2,0,0,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,San Mateo_2012
Santa Clara,2,2,2,6,0,13,5,0,0,0,8,0,2011,north,20,14,4,0,0,0,0,2011,north,,,,,,,,,,,,,,,5,78,1,0,29,2011,north,$0 ,$0 ,$0 ,"$16,500 ",$0 ,"$8,000 ",$0 ,$0 ,,$0 ,$0 ,$0 ,2011,north,$200 ,"$7,200 ","$17,100 ",$0 ,$0 ,$0 ,$0 ,2011,north,Santa Clara_2012
Santa Cruz,0,2,6,5,0,27,9,0,0,0,11,0,2011,north,41,19,0,0,0,0,0,2011,north,0,0,4,3,0,8,1,0,0,0,4,0,2011,north,0,4,11,0,5,2011,north,$0 ,$0 ,$1 ,"$2,000 ",$0 ,"$11,025 ",$400 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,"$11,425 ","$2,001 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Santa Cruz_2012
Shasta,12,1,27,11,18,51,4,1,0,3,29,1,2011,north,76,74,8,0,0,0,0,2011,north,6,0,69,15,5,101,19,1,0,3,127,1,2011,north,34,188,36,49,40,2011,north,$200 ,$0 ,"$14,800 ","$1,000 ",$0 ,$100 ,"$2,500 ",$0 ,,"$1,000 ","$14,000 ",$0 ,2011,north,"$3,500 ","$19,100 ","$11,000 ",$0 ,$0 ,$0 ,$0 ,2011,north,Shasta_2012
Shasta,12,1,27,11,18,51,4,1,0,3,29,1,2011,north,76,74,8,0,0,0,0,2011,north,6,0,69,15,5,101,19,1,0,3,127,1,2011,north,34,188,36,49,40,2011,north,$200 ,$0 ,"$14,800 ","$1,000 ",$0 ,$100 ,"$2,500 ",$0 ,,"$1,000 ","$14,000 ",$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Shasta_2012
Sierra,0,0,0,0,0,0,0,0,0,0,5,0,2011,north,0,4,1,0,0,0,0,2011,north,0,0,0,0,0,0,0,0,0,0,14,0,2011,north,0,0,11,1,2,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Sierra_2012
Siskiyou,1,0,13,4,8,20,1,1,0,0,5,4,2011,north,34,18,4,0,0,0,0,2011,north,1,0,22,18,24,21,0,1,0,0,13,0,2011,north,0,0,5,0,0,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Siskiyou_2012
Siskiyou,1,0,13,4,8,20,1,1,0,0,5,4,2011,north,34,18,4,0,0,0,0,2011,north,1,0,22,18,24,21,0,1,0,0,13,0,2011,north,0,0,5,0,0,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,"$41,200 ","$250,202 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Siskiyou_2012
Siskiyou,1,0,13,4,8,20,1,1,0,0,5,4,2011,north,34,18,4,0,0,0,0,2011,north,1,0,22,18,24,21,0,1,0,0,13,0,2011,north,0,0,5,0,0,2011,north,$0 ,$0 ,$0 ,"$1,000 ",$0 ,"$250,402 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$40,000 ",2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Siskiyou_2012
Siskiyou,1,0,13,4,8,20,1,1,0,0,5,4,2011,north,34,18,4,0,0,0,0,2011,north,1,0,22,18,24,21,0,1,0,0,13,0,2011,north,0,0,5,0,0,2011,north,$0 ,$0 ,$0 ,"$1,000 ",$0 ,"$250,402 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$40,000 ",2011,north,"$41,200 ","$250,202 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Siskiyou_2012
Siskiyou,1,0,13,4,8,20,1,1,0,0,5,4,2011,north,34,18,4,0,0,0,0,2011,north,1,0,22,18,24,21,0,1,0,0,13,0,2011,north,3,62,1,9,24,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Siskiyou_2012
Siskiyou,1,0,13,4,8,20,1,1,0,0,5,4,2011,north,34,18,4,0,0,0,0,2011,north,1,0,22,18,24,21,0,1,0,0,13,0,2011,north,3,62,1,9,24,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,"$41,200 ","$250,202 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Siskiyou_2012
Siskiyou,1,0,13,4,8,20,1,1,0,0,5,4,2011,north,34,18,4,0,0,0,0,2011,north,1,0,22,18,24,21,0,1,0,0,13,0,2011,north,3,62,1,9,24,2011,north,$0 ,$0 ,$0 ,"$1,000 ",$0 ,"$250,402 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$40,000 ",2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Siskiyou_2012
Siskiyou,1,0,13,4,8,20,1,1,0,0,5,4,2011,north,34,18,4,0,0,0,0,2011,north,1,0,22,18,24,21,0,1,0,0,13,0,2011,north,3,62,1,9,24,2011,north,$0 ,$0 ,$0 ,"$1,000 ",$0 ,"$250,402 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$40,000 ",2011,north,"$41,200 ","$250,202 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Siskiyou_2012
Solano,1,0,4,2,0,2,0,0,0,0,6,1,2011,north,2,12,1,0,1,0,0,2011,north,715,0,3,16,0,2,0,0,0,0,15,0,2011,north,0,749,0,0,0,2011,north,$0 ,$0 ,$0 ,"$2,500 ",$0 ,$20 ,$0 ,$0 ,,$0 ,$500 ,$0 ,2011,north,$0 ,$520 ,"$2,500 ",$0 ,$0 ,$0 ,$0 ,2011,north,Solano_2012
Sonoma,0,1,9,9,0,29,6,0,0,0,17,3,2011,north,43,30,1,0,0,0,0,2011,north,0,1,6,35,0,9,5,0,0,0,14,1,2011,north,0,53,5,1,10,2011,north,$0 ,$0 ,$0 ,"$5,100 ",$0 ,"$271,100 ",$201 ,$0 ,,$0 ,$0 ,$0 ,2011,north,$201 ,"$276,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Sonoma_2012
Sutter,0,0,0,0,0,1,0,0,0,0,3,0,2011,north,0,1,1,2,0,0,0,2011,north,0,0,0,0,0,112,0,0,0,0,245,0,2011,north,0,117,0,0,240,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Sutter_2012
Tehama,2,0,8,11,0,45,2,0,0,2,13,0,2011,north,37,37,8,1,0,0,0,2011,north,20,0,105,41,0,125,1,0,0,2,29,0,2011,north,0,0,1,0,0,2011,north,$0 ,$0 ,$0 ,"$2,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,"$2,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Tehama_2012
