county,arson_x,campfire_x,debris_burning_x,elec._power_x,equip._use_x,ltng._x,misc._x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25_acres_or_<_x,.26-9.99_acres_x,10-99_acres_x,100-299_acres_x,300-999_acres_x,1000-4999_acres_x,5000_acres_>_x,year_y,region_y,arson_y,campfire_y,debris_burning_y,elec._power_y,equip._use_y,ltng._y,misc._y,p-w-f_y,railroad_y,smoking_y,undet._y,vehicle_y,year_x.1,region_x.1,brush,grass,timber,woodland,other,year_y.1,region_y.1,arson,campfire,debris_burning,elec._power,equip._use,ltng.,misc.,p-w-f,railroad,smoking,undet.,vehicle,year_x.2,region_x.2,.25_acres_or_<_y,.26-9.99_acres_y,10-99_acres_y,100-299_acres_y,300-999_acres_y,1000-4999_acres_y,5000_acres_>_y,year_y.2,region_y.2,county_year
El Dorado,3.0,3.0,41.0,11.0,18.0,9.0,32.0,5.0,0.0,4.0,26.0,22.0,2014.0,north,119.0,49.0,4.0,0.0,0.0,1.0,1.0,2014.0,north,"97,718",0.0,25.0,2.0,29,2,31,1.0,0.0,5.0,18.0,"4,254",2014.0,Northern,97719.0,4318.0,18.0,0.0,30.0,2014.0,north,$0 ,$0 ,"$15,150 ","$3,000 ","$14,601 ",$0 ,"$5,900 ",$0 ,$0 ,"$135,000 ",$300 ,"$44,500 ",2014.0,north,"$159,150 ","$53,901 ","$5,400 ",$0 ,$0 ,$0 ,$0 ,2014.0,north,El Dorado_2014
Fresno,5.0,2.0,12.0,5.0,4.0,1.0,9.0,0.0,0.0,1.0,13.0,5.0,2014.0,south,25.0,27.0,4.0,1.0,0.0,0.0,0.0,2014.0,south,37,2.0,5.0,14.0,43,1,8,0.0,0.0,0.0,129.0,3,2014.0,Southern,6.0,209.0,2.0,10.0,15.0,2014.0,south,"$12,260 ",$0 ,$140 ,"$5,100 ","$1,000,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$200 ,2014.0,south ,$140 ,"$5,560 ","$1,012,000 ",$0 ,$0 ,$0 ,$0 ,2014.0,south,Fresno_2014
Glenn,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2014.0,north,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0,2014.0,Northern,0.0,1.0,0.0,0.0,0.0,2014.0,north,$0 ,$0 ,$0 ,$0 ,,$0 ,$100 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north  ,$0 ,$100 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Glenn_2014
Humboldt,40.0,17.0,8.0,8.0,4.0,0.0,15.0,0.0,0.0,2.0,30.0,3.0,2014.0,north,74.0,47.0,4.0,1.0,1.0,0.0,0.0,2014.0,north,39,10.0,340.0,25.0,100,0,2,0.0,0.0,0.0,75.0,5,2014.0,Northern,4.0,153.0,420.0,12.0,7.0,2014.0,north,$0 ,$0 ,"$220,100 ","$2,500 ","$13,501 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,000 ",$0 ,2014.0,north,"$16,000 ","$21,100 ","$10,000 ",$1 ,"$200,000 ",$0 ,$0 ,2014.0,north,Humboldt_2014
Inyo,0.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,7.0,2.0,2014.0,south,13.0,4.0,1.0,1.0,0.0,0.0,0.0,2014.0,south,0,0.0,1.0,0.0,5,0,0,0.0,0.0,0.0,131.0,0,2014.0,Southern,136.0,0.0,1.0,0.0,0.0,2014.0,south,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$100,000 ",2014.0,south ,"$100,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,south,Inyo_2014
Kings,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2014.0,south,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2014.0,south,0,0.0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,1,2014.0,Southern,0.0,1.0,0.0,0.0,5.0,2014.0,south,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,south ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,south,Kings_2014
Lake,0.0,4.0,9.0,4.0,2.0,0.0,11.0,6.0,0.0,0.0,15.0,11.0,2014.0,north,38.0,20.0,3.0,1.0,0.0,0.0,0.0,2014.0,north,0,15.0,34.0,4.0,4,0,6,6.0,0.0,0.0,183.0,91,2014.0,Northern,43.0,24.0,1.0,179.0,96.0,2014.0,north,$0 ,$0 ,$5 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,"$55,250 ","$14,000 ",2014.0,north  ,"$69,005 ",$250 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Lake_2014
Lassen,1.0,2.0,12.0,0.0,2.0,40.0,1.0,0.0,0.0,0.0,7.0,2.0,2014.0,north,46.0,19.0,1.0,0.0,0.0,0.0,1.0,2014.0,north,0,0.0,12.0,0.0,0,"13,204",0,0.0,0.0,0.0,4.0,0,2014.0,Northern,20.0,2.0,13195.0,1.0,2.0,2014.0,north,$0 ,$200 ,"$200,000 ",,,"$556,221 ",$0 ,$0 ,$0 ,$0 ,$102 ,$0 ,2014.0,north,"$2,249 ","$204,250 ",$24 ,$0 ,$0 ,$0 ,"$550,000 ",2014.0,north,Lassen_2014
Madera,12.0,4.0,9.0,2.0,3.0,2.0,12.0,1.0,0.0,1.0,19.0,7.0,2014.0,south,47.0,22.0,1.0,0.0,2.0,0.0,0.0,2014.0,south,2,0.0,4.0,1.0,28,0,321,0.0,0.0,1.0,633.0,8,2014.0,Southern,617.0,54.0,1.0,4.0,322.0,2014.0,south,"$1,000 ",$0 ,$0 ,$0 ,$500 ,$0 ,"$2,901,332 ",$0 ,$2 ,$0 ,"$2,900,450 ","$4,400 ",2014.0,south ,$452 ,"$5,400 ",$500 ,$0 ,"$5,801,332 ",$0 ,$0 ,2014.0,south,Madera_2014
Mariposa,1.0,2.0,12.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,12.0,2.0,2014.0,south,20.0,15.0,1.0,2.0,0.0,0.0,0.0,2014.0,south,0,131.0,4.0,2.0,0,0,68,0.0,0.0,1.0,30.0,291,2014.0,Southern,0.0,96.0,1.0,292.0,138.0,2014.0,south,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,"$10,000 ","$20,000 ",2014.0,south ,$0 ,"$10,000 ",$0 ,"$20,000 ",$0 ,$0 ,$0 ,2014.0,south,Mariposa_2014
