county,arson_x,campfire_x,debris_burning_x,elec._power_x,equip._use_x,ltng._x,misc._x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25_acres_or_<_x,.26-9.99_acres_x,10-99_acres_x,100-299_acres_x,300-999_acres_x,1000-4999_acres_x,5000_acres_>_x,year_y,region_y,arson_y,campfire_y,debris_burning_y,elec._power_y,equip._use_y,ltng._y,misc._y,p-w-f_y,railroad_y,smoking_y,undet._y,vehicle_y,year_x.1,region_x.1,brush,grass,timber,woodland,other,year_y.1,region_y.1,arson,campfire,debris_burning,elec._power,equip._use,ltng.,misc.,p-w-f,railroad,smoking,undet.,vehicle,year_x.2,region_x.2,.25_acres_or_<_y,.26-9.99_acres_y,10-99_acres_y,100-299_acres_y,300-999_acres_y,1000-4999_acres_y,5000_acres_>_y,year_y.2,region_y.2,county_year
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,0.0,0.0,0.0,0.0,0.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,"$38,110 ","$371,100 ","$328,000 ",$0 ,$0 ,$0 ,"$1,540,000 ",2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,0.0,0.0,0.0,0.0,0.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,0.0,0.0,0.0,0.0,0.0,2014.0,north,"$1,010 ",$0 ,"$200,100 ",$0 ,"$504,500 ",$0 ,"$25,000 ",$0 ,$0 ,$0 ,"$5,600 ","$1,541,000 ",2014.0,north  ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,0.0,0.0,0.0,0.0,0.0,2014.0,north,"$1,010 ",$0 ,"$200,100 ",$0 ,"$504,500 ",$0 ,"$25,000 ",$0 ,$0 ,$0 ,"$5,600 ","$1,541,000 ",2014.0,north  ,"$38,110 ","$371,100 ","$328,000 ",$0 ,$0 ,$0 ,"$1,540,000 ",2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,0.0,0.0,0.0,0.0,0.0,2014.0,north,"$1,010 ",$0 ,"$200,100 ",$0 ,"$504,500 ",$0 ,"$25,000 ",$0 ,$0 ,$0 ,"$5,600 ","$1,541,000 ",2014.0,north  ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,5.0,12817.0,8.0,8.0,80.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,5.0,12817.0,8.0,8.0,80.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,"$38,110 ","$371,100 ","$328,000 ",$0 ,$0 ,$0 ,"$1,540,000 ",2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,5.0,12817.0,8.0,8.0,80.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,5.0,12817.0,8.0,8.0,80.0,2014.0,north,"$1,010 ",$0 ,"$200,100 ",$0 ,"$504,500 ",$0 ,"$25,000 ",$0 ,$0 ,$0 ,"$5,600 ","$1,541,000 ",2014.0,north  ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,5.0,12817.0,8.0,8.0,80.0,2014.0,north,"$1,010 ",$0 ,"$200,100 ",$0 ,"$504,500 ",$0 ,"$25,000 ",$0 ,$0 ,$0 ,"$5,600 ","$1,541,000 ",2014.0,north  ,"$38,110 ","$371,100 ","$328,000 ",$0 ,$0 ,$0 ,"$1,540,000 ",2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,5.0,12817.0,8.0,8.0,80.0,2014.0,north,"$1,010 ",$0 ,"$200,100 ",$0 ,"$504,500 ",$0 ,"$25,000 ",$0 ,$0 ,$0 ,"$5,600 ","$1,541,000 ",2014.0,north  ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,9,2.0,56.0,5.0,74,5,3,2.0,0.0,4.0,82.0,"12,676",2014.0,Northern,0.0,0.0,0.0,0.0,0.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,9,2.0,56.0,5.0,74,5,3,2.0,0.0,4.0,82.0,"12,676",2014.0,Northern,0.0,0.0,0.0,0.0,0.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,"$38,110 ","$371,100 ","$328,000 ",$0 ,$0 ,$0 ,"$1,540,000 ",2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,9,2.0,56.0,5.0,74,5,3,2.0,0.0,4.0,82.0,"12,676",2014.0,Northern,0.0,0.0,0.0,0.0,0.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,9,2.0,56.0,5.0,74,5,3,2.0,0.0,4.0,82.0,"12,676",2014.0,Northern,0.0,0.0,0.0,0.0,0.0,2014.0,north,"$1,010 ",$0 ,"$200,100 ",$0 ,"$504,500 ",$0 ,"$25,000 ",$0 ,$0 ,$0 ,"$5,600 ","$1,541,000 ",2014.0,north  ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,9,2.0,56.0,5.0,74,5,3,2.0,0.0,4.0,82.0,"12,676",2014.0,Northern,0.0,0.0,0.0,0.0,0.0,2014.0,north,"$1,010 ",$0 ,"$200,100 ",$0 ,"$504,500 ",$0 ,"$25,000 ",$0 ,$0 ,$0 ,"$5,600 ","$1,541,000 ",2014.0,north  ,"$38,110 ","$371,100 ","$328,000 ",$0 ,$0 ,$0 ,"$1,540,000 ",2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,9,2.0,56.0,5.0,74,5,3,2.0,0.0,4.0,82.0,"12,676",2014.0,Northern,0.0,0.0,0.0,0.0,0.0,2014.0,north,"$1,010 ",$0 ,"$200,100 ",$0 ,"$504,500 ",$0 ,"$25,000 ",$0 ,$0 ,$0 ,"$5,600 ","$1,541,000 ",2014.0,north  ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,9,2.0,56.0,5.0,74,5,3,2.0,0.0,4.0,82.0,"12,676",2014.0,Northern,5.0,12817.0,8.0,8.0,80.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,9,2.0,56.0,5.0,74,5,3,2.0,0.0,4.0,82.0,"12,676",2014.0,Northern,5.0,12817.0,8.0,8.0,80.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,"$38,110 ","$371,100 ","$328,000 ",$0 ,$0 ,$0 ,"$1,540,000 ",2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,9,2.0,56.0,5.0,74,5,3,2.0,0.0,4.0,82.0,"12,676",2014.0,Northern,5.0,12817.0,8.0,8.0,80.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,9,2.0,56.0,5.0,74,5,3,2.0,0.0,4.0,82.0,"12,676",2014.0,Northern,5.0,12817.0,8.0,8.0,80.0,2014.0,north,"$1,010 ",$0 ,"$200,100 ",$0 ,"$504,500 ",$0 ,"$25,000 ",$0 ,$0 ,$0 ,"$5,600 ","$1,541,000 ",2014.0,north  ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,9,2.0,56.0,5.0,74,5,3,2.0,0.0,4.0,82.0,"12,676",2014.0,Northern,5.0,12817.0,8.0,8.0,80.0,2014.0,north,"$1,010 ",$0 ,"$200,100 ",$0 ,"$504,500 ",$0 ,"$25,000 ",$0 ,$0 ,$0 ,"$5,600 ","$1,541,000 ",2014.0,north  ,"$38,110 ","$371,100 ","$328,000 ",$0 ,$0 ,$0 ,"$1,540,000 ",2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,9,2.0,56.0,5.0,74,5,3,2.0,0.0,4.0,82.0,"12,676",2014.0,Northern,5.0,12817.0,8.0,8.0,80.0,2014.0,north,"$1,010 ",$0 ,"$200,100 ",$0 ,"$504,500 ",$0 ,"$25,000 ",$0 ,$0 ,$0 ,"$5,600 ","$1,541,000 ",2014.0,north  ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,0.0,0.0,0.0,0.0,0.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,0.0,0.0,0.0,0.0,0.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,"$38,110 ","$371,100 ","$328,000 ",$0 ,$0 ,$0 ,"$1,540,000 ",2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,0.0,0.0,0.0,0.0,0.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,0.0,0.0,0.0,0.0,0.0,2014.0,north,"$1,010 ",$0 ,"$200,100 ",$0 ,"$504,500 ",$0 ,"$25,000 ",$0 ,$0 ,$0 ,"$5,600 ","$1,541,000 ",2014.0,north  ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,0.0,0.0,0.0,0.0,0.0,2014.0,north,"$1,010 ",$0 ,"$200,100 ",$0 ,"$504,500 ",$0 ,"$25,000 ",$0 ,$0 ,$0 ,"$5,600 ","$1,541,000 ",2014.0,north  ,"$38,110 ","$371,100 ","$328,000 ",$0 ,$0 ,$0 ,"$1,540,000 ",2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,0.0,0.0,0.0,0.0,0.0,2014.0,north,"$1,010 ",$0 ,"$200,100 ",$0 ,"$504,500 ",$0 ,"$25,000 ",$0 ,$0 ,$0 ,"$5,600 ","$1,541,000 ",2014.0,north  ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,5.0,12817.0,8.0,8.0,80.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,5.0,12817.0,8.0,8.0,80.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,"$38,110 ","$371,100 ","$328,000 ",$0 ,$0 ,$0 ,"$1,540,000 ",2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,5.0,12817.0,8.0,8.0,80.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,5.0,12817.0,8.0,8.0,80.0,2014.0,north,"$1,010 ",$0 ,"$200,100 ",$0 ,"$504,500 ",$0 ,"$25,000 ",$0 ,$0 ,$0 ,"$5,600 ","$1,541,000 ",2014.0,north  ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,5.0,12817.0,8.0,8.0,80.0,2014.0,north,"$1,010 ",$0 ,"$200,100 ",$0 ,"$504,500 ",$0 ,"$25,000 ",$0 ,$0 ,$0 ,"$5,600 ","$1,541,000 ",2014.0,north  ,"$38,110 ","$371,100 ","$328,000 ",$0 ,$0 ,$0 ,"$1,540,000 ",2014.0,north,Shasta_2014
Shasta,15.0,6.0,38.0,4.0,15.0,17.0,15.0,4.0,0.0,6.0,24.0,20.0,2014.0,north,86.0,73.0,4.0,0.0,0.0,0.0,1.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,5.0,12817.0,8.0,8.0,80.0,2014.0,north,"$1,010 ",$0 ,"$200,100 ",$0 ,"$504,500 ",$0 ,"$25,000 ",$0 ,$0 ,$0 ,"$5,600 ","$1,541,000 ",2014.0,north  ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Shasta_2014
Sierra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0,north,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,0.0,0.0,0.0,0.0,0.0,2014.0,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Sierra_2014
Siskiyou,5.0,5.0,8.0,5.0,2.0,47.0,62.0,0.0,1.0,2.0,18.0,5.0,2014.0,north,144.0,14.0,1.0,1.0,0.0,0.0,0.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,0.0,0.0,0.0,0.0,0.0,2014.0,north,"$10,300 ",$0 ,$200 ,$0 ,,$0 ,"$61,600 ",$0 ,$0 ,$0 ,"$175,300 ","$150,000 ",2014.0,north  ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Siskiyou_2014
Siskiyou,5.0,5.0,8.0,5.0,2.0,47.0,62.0,0.0,1.0,2.0,18.0,5.0,2014.0,north,144.0,14.0,1.0,1.0,0.0,0.0,0.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,0.0,0.0,0.0,0.0,0.0,2014.0,north,"$10,300 ",$0 ,$200 ,$0 ,,$0 ,"$61,600 ",$0 ,$0 ,$0 ,"$175,300 ","$150,000 ",2014.0,north  ,"$386,100 ","$1,300 ",$0 ,"$10,000 ",$0 ,$0 ,$0 ,2014.0,north,Siskiyou_2014
Siskiyou,5.0,5.0,8.0,5.0,2.0,47.0,62.0,0.0,1.0,2.0,18.0,5.0,2014.0,north,144.0,14.0,1.0,1.0,0.0,0.0,0.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,2.0,244.0,26.0,2.0,18.0,2014.0,north,"$10,300 ",$0 ,$200 ,$0 ,,$0 ,"$61,600 ",$0 ,$0 ,$0 ,"$175,300 ","$150,000 ",2014.0,north  ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Siskiyou_2014
Siskiyou,5.0,5.0,8.0,5.0,2.0,47.0,62.0,0.0,1.0,2.0,18.0,5.0,2014.0,north,144.0,14.0,1.0,1.0,0.0,0.0,0.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2014.0,Northern,2.0,244.0,26.0,2.0,18.0,2014.0,north,"$10,300 ",$0 ,$200 ,$0 ,,$0 ,"$61,600 ",$0 ,$0 ,$0 ,"$175,300 ","$150,000 ",2014.0,north  ,"$386,100 ","$1,300 ",$0 ,"$10,000 ",$0 ,$0 ,$0 ,2014.0,north,Siskiyou_2014
Siskiyou,5.0,5.0,8.0,5.0,2.0,47.0,62.0,0.0,1.0,2.0,18.0,5.0,2014.0,north,144.0,14.0,1.0,1.0,0.0,0.0,0.0,2014.0,north,229,1.0,1.0,1.0,0,35,2,0.0,0.0,0.0,22.0,1,2014.0,Northern,0.0,0.0,0.0,0.0,0.0,2014.0,north,"$10,300 ",$0 ,$200 ,$0 ,,$0 ,"$61,600 ",$0 ,$0 ,$0 ,"$175,300 ","$150,000 ",2014.0,north  ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Siskiyou_2014
Siskiyou,5.0,5.0,8.0,5.0,2.0,47.0,62.0,0.0,1.0,2.0,18.0,5.0,2014.0,north,144.0,14.0,1.0,1.0,0.0,0.0,0.0,2014.0,north,229,1.0,1.0,1.0,0,35,2,0.0,0.0,0.0,22.0,1,2014.0,Northern,0.0,0.0,0.0,0.0,0.0,2014.0,north,"$10,300 ",$0 ,$200 ,$0 ,,$0 ,"$61,600 ",$0 ,$0 ,$0 ,"$175,300 ","$150,000 ",2014.0,north  ,"$386,100 ","$1,300 ",$0 ,"$10,000 ",$0 ,$0 ,$0 ,2014.0,north,Siskiyou_2014
Siskiyou,5.0,5.0,8.0,5.0,2.0,47.0,62.0,0.0,1.0,2.0,18.0,5.0,2014.0,north,144.0,14.0,1.0,1.0,0.0,0.0,0.0,2014.0,north,229,1.0,1.0,1.0,0,35,2,0.0,0.0,0.0,22.0,1,2014.0,Northern,2.0,244.0,26.0,2.0,18.0,2014.0,north,"$10,300 ",$0 ,$200 ,$0 ,,$0 ,"$61,600 ",$0 ,$0 ,$0 ,"$175,300 ","$150,000 ",2014.0,north  ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Siskiyou_2014
Siskiyou,5.0,5.0,8.0,5.0,2.0,47.0,62.0,0.0,1.0,2.0,18.0,5.0,2014.0,north,144.0,14.0,1.0,1.0,0.0,0.0,0.0,2014.0,north,229,1.0,1.0,1.0,0,35,2,0.0,0.0,0.0,22.0,1,2014.0,Northern,2.0,244.0,26.0,2.0,18.0,2014.0,north,"$10,300 ",$0 ,$200 ,$0 ,,$0 ,"$61,600 ",$0 ,$0 ,$0 ,"$175,300 ","$150,000 ",2014.0,north  ,"$386,100 ","$1,300 ",$0 ,"$10,000 ",$0 ,$0 ,$0 ,2014.0,north,Siskiyou_2014
Solano,0.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,2014.0,north,8.0,2.0,2.0,0.0,0.0,0.0,0.0,2014.0,north,0,0.0,1.0,0.0,92,0,0,0.0,0.0,0.0,1.0,0,2014.0,Northern,1.0,93.0,0.0,0.0,0.0,2014.0,north,$0 ,$0 ,"$1,500 ",$0 ,"$1,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$8,000 ",2014.0,north  ,"$8,000 ","$1,500 ","$1,000 ",$0 ,$0 ,$0 ,$0 ,2014.0,north,Solano_2014
