county,arson_x,campfire_x,debris_burning_x,equip._use_x,ltng._x,misc._x,p-w-f_x,powerline_x,railroad_x,smoking_x,undet._x,vehicle_x,.25_acres_or_<_x,.26-9.99_acres_x,10-99_acres_x,100-299_acres_x,300-999_acres_x,1000-4999_acres_x,5000_acres_>_x,arson_y,campfire_y,debris_burning_y,equip_use_y,ltng_y,misc._y,p-w-f_y,powerline_y,railroad_y,smoking_y,undet._y,vehicle_y,brush,grass,timber,woodland,other,arson,campfire,debris_burning,equip._use,ltng.,misc.,p-w-f,power-_line,rail-road,smoking,undet.,vehicle,.25_acres_or_<_y,.26-9.99_acres_y,10-99_acres_y,100-299_acres_y,300-999_acres_y,1000-4999_acres_y,5000_acres_>_y,year,region,county_year
Mendocino,8,1,11,15,0,23,0,4,0,1,23,1,45,36,6,0,0,0,0,4,0,9,68,0,15,0,3,0,0,134,0,4,162,9,0,60,1210,0,0,3700,0,0,0,500,0,0,6300,20000,21710,3200,6800,0,0,0,0,2010,1,Mendocino_2010
Mendocino,8,1,11,15,0,23,0,4,0,1,23,1,45,36,6,0,0,0,0,4,0,9,68,0,15,0,3,0,0,134,0,4,162,9,0,60,1210,0,0,3700,0,0,0,500,0,0,6300,20000,21710,3200,6800,0,0,0,0,2010,1,Mendocino_2010
Merced,1,0,1,4,0,3,0,3,0,1,14,1,6,11,5,4,1,1,0,2,0,2,300,0,465,0,164,0,57,"2,067",3,0,3040,0,0,19,0,0,0,2700,0,0,0,0,0,0,47000,0,0,0,2700,3000,0,49700,0,2010,0,Merced_2010
Modoc,1,0,1,0,5,7,0,0,0,0,2,0,10,5,1,0,0,0,0,1,0,1,0,82,1,0,0,0,0,1,0,81,2,1,1,1,8,0,4,0,1250,52,0,0,0,0,50,0,204,512,648,0,0,0,0,2010,1,Modoc_2010
Monterey,3,0,5,10,0,19,0,3,0,1,10,2,16,26,11,0,0,0,0,4,0,77,105,0,181,0,13,0,2,19,2,23,370,1,0,9,0,0,2000,18200,0,7350,0,0,0,0,200,0,0,1250,26500,0,0,27750,0,2010,0,Monterey_2010
Napa,3,1,6,6,0,6,0,2,1,20,3,3,14,29,5,0,0,0,0,53,0,6,48,0,5,0,1,0,1,55,2,6,129,2,0,34,0,0,0,200025,0,0,0,200,0,0,1500,0,0,1725,200000,0,0,0,0,2010,1,Napa_2010
Nevada,3,2,19,5,0,18,0,2,0,1,22,0,37,35,0,0,0,0,0,1,0,17,8,0,12,0,3,0,0,14,0,8,24,3,7,13,0,0,0,9500,0,0,0,5000,0,0,"$1,,500",0,0,16000,0,0,0,0,0,2010,1,Nevada_2010
Placer,8,0,7,17,0,30,0,3,0,1,44,0,48,57,5,0,0,0,0,5,0,15,28,0,130,0,0,0,0,111,0,3,209,2,6,69,200,0,10000,2050,0,13001,0,0,0,0,12309,0,1652,22908,13000,0,0,0,0,2010,1,Placer_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Plumas_2010
Plumas,0,0,1,1,0,3,0,0,0,0,2,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,2010,1,Plumas_2010
Riverside,6,0,7,33,7,47,0,10,0,6,64,3,45,113,17,4,3,1,0,15,0,74,"1,209",616,"1,809",0,13,0,4,798,10,1917,2487,8,0,135,0,0,0,1000,0,35450,0,5025,0,0,12000,0,25,53450,0,0,0,53475,25,2010,0,Riverside_2010
Sacramento,4,0,1,3,0,5,0,6,0,0,4,0,5,15,2,1,0,0,0,15,0,1,9,0,9,0,177,0,0,2,0,0,192,0,0,21,0,0,1000,2800,0,0,0,0,0,0,0,0,0,3800,0,0,0,0,0,2010,1,Sacramento_2010
San Benito,2,2,2,4,0,6,0,1,0,0,4,1,4,12,6,0,0,0,0,20,1,28,15,0,85,0,1,0,0,6,1,20,83,0,0,53,50000,0,0,0,0,12000,0,15,0,0,0,0,0,15,62000,0,0,62015,0,2010,0,San Benito_2010
San Bernardino,8,0,16,8,6,28,0,4,0,0,46,0,52,60,4,0,0,0,0,16,0,1,9,3,41,0,81,0,0,169,0,88,205,0,0,28,400,0,0,400,0,0,0,1000,0,0,4000,0,0,800,5000,0,0,5800,0,2010,0,San Bernardino_2010
San Diego,7,0,16,18,8,40,0,3,0,0,43,1,65,59,7,3,1,1,0,9,0,9,50,156,"2,037",0,1,0,0,"1,324",8,1234,2276,1,0,83,0,0,0,5700,0,9300,0,0,0,0,10550,10000,10350,15200,0,0,10000,35550,10350,2010,0,San Diego_2010
