county_year,county,Arson_x,Campfire_x,Debris Burning_x,Elec. Power_x,Equip. Use_x,Ltng._x,Misc._x,P-W-F_x,Railroad_x,Smoking_x,Undet._x,Vehicle_x,year_x,region_x,.25 acres or <_x,.26-9.99 acres_x,10-99 acres_x,100-299 acres_x,300-999 acres_x,1000-4999 acres_x,5000 acres >_x,year_y,region_y,Arson_y,Campfire_y,Debris Burning_y,Elec. Power_y,Equip. Use_y,Ltng._y,Misc._y,P-W-F_y,Railroad_y,Smoking_y,Undet._y,Vehicle_y,Year,Region,Brush,Grass,Timber,Woodland,Other,year_x,region_x,Arson,Campfire,Debris Burning,Elec. Power,Equip.Use,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle,year ,region ,.25 acres or <_y,.26-9.99 acres_y,10-99 acres_y,100-299 acres_y,300-999 acres_y,1000-4999 acres_y,5000 acres >_y,year,region
Glenn_2015,Glenn,0,0,0,0,0,0,2,0,0,0,1,3,2015,north,3,3,0,0,0,0,0,2015,north,0,0,0,0,0,0,0,0,0,0,1,2,2015,northern,0,2,0,1,0,2015,north,$0 ,$0 ,$0 ,,,$0 ,$250 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north ,$250 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Humboldt_2015,Humboldt,57,12,16,25,3,55,27,3,0,1,53,10,2015,north,179,69,9,2,2,1,0,2015,north,363,4,4,6,18,"3,206",4,0,0,2,42,6,2015,northern,311,30,667,2647,0,2015,north,"$8,000,060 ",$0 ,$2 ,$2 ,"$55,000 ","$57,400 ","$571,002 ",$0 ,$0 ,$0 ,"$100,500 ",$2 ,2015,north ,"$111,013 ","$2,575,555 ","$5,040,000 ","$1,000,000 ","$21,900 ","$35,500 ",$0 ,2015,north
Inyo_2015,Inyo,0,1,1,1,0,1,0,0,0,1,5,2,2015,south,9,2,0,0,0,0,1,2015,south,0,0,0,1,0,0,0,0,0,0,"7,001",0,2015,southern,1,1,0,7000,0,2015,south,$0 ,$0 ,$0 ,"$3,000 ",,$0 ,$0 ,$0 ,$0 ,$0 ,"$15,811,560 ","$5,000 ",2015,south,"$5,000 ","$3,000 ",$0 ,$0 ,$0 ,$0 ,"$15,811,560 ",2015,south
Kings_2015,Kings,0,0,0,0,0,0,0,0,0,0,2,0,2015,south,0,2,0,0,0,0,0,2015,south,0,0,0,0,0,0,0,0,0,0,2,0,2015,southern,0,2,0,0,0,2015,south,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,south,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,south
Lake_2015,Lake,9,0,10,8,8,0,7,2,0,2,24,5,2015,north,42,26,2,1,1,0,3,2015,north,1,0,4,"76,069","70,611",0,11,0,0,0,"25,151",2,2015,northern,977,43,145709,25120,0,2015,north,"$1,000 ",$0 ,$520 ,"$2,000,000,198 ","$7,755,841 ",$0 ,"$225,000 ",$0 ,$0 ,$500 ,"$10,001,030 ",$0 ,2015,north ,$550 ,"$227,700 ","$36,000 ","$25,000 ",$0 ,$0 ,"$2,017,694,839 ",2015,north
Lassen_2015,Lassen,3,2,3,0,2,43,6,0,0,0,6,2,2015,north,54,10,3,0,0,0,0,2015,north,0,0,0,0,0,98,77,0,0,0,40,0,2015,northern,48,90,4,72,1,2015,north,$0 ,$0 ,$0 ,,$400 ,"$1,010 ",$0 ,$0 ,$0 ,$0 ,"$1,000 ",$100 ,2015,north ,"$1,510 ","$1,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Madera_2015,Madera,7,2,17,7,7,1,4,4,0,0,16,9,2015,south,50,21,1,1,1,0,0,2015,south,8,0,142,921,54,0,0,3,0,0,4,19,2015,southern,1,1143,3,0,4,2015,south,$400 ,$600 ,"$35,000 ","$56,020 ",,$0 ,$0 ,$0 ,$0 ,$0 ,$100 ,"$9,201 ",2015,south,"$6,820 ","$44,501 ",$0 ,$0 ,"$50,000 ",$0 ,$0 ,2015,south
Mariposa_2015,Mariposa,4,2,20,0,5,1,5,0,0,1,4,2,2015,south,24,18,2,0,0,0,0,2015,south,4,1,7,0,32,1,5,0,0,0,1,62,2015,southern,0,44,3,63,3,2015,south,$500 ,$200 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$300 ,$0 ,2015,south,"$1,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,south
Mendocino_2015,Mendocino,6,11,42,12,5,5,14,1,2,2,25,14,2015,north,91,45,2,1,0,0,0,2015,north,9,1,262,16,7,20,7,1,2,0,36,3,2015,northern,3,56,273,23,9,2015,north,"$3,000 ",$0 ,"$3,870 ","$11,101 ","$12,500 ",$0 ,"$272,381 ",$0 ,$0 ,$40 ,$910 ,"$24,212 ",2015,north ,"$45,081 ","$282,933 ",$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Merced_2015,Merced,4,0,0,1,0,1,2,0,0,0,5,6,2015,south,1,14,1,0,1,2,0,2015,south,23,0,0,3,0,"1,600",11,0,0,0,8,"2,144",2015,southern,2,3782,0,5,0,2015,south,$600 ,$0 ,$0 ,,,"$100,000 ","$600,000 ",$0 ,$0 ,$0 ,"$1,300 ",$20 ,2015,south,$20 ,"$601,900 ",$0 ,$0 ,$0 ,"$100,000 ",$0 ,2015,south
