county,arson_x,campfire_x,debris_burning_x,equip._use_x,ltng._x,misc._x,powerline_x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25_acres_or_<_x,.26-9.99_acres_x,10-99_acres_x,100-299_acres_x,300-999_acres_x,1000-4999_acres_x,5000_acres_>_x,year_y,region_y,arson_y,campfire_y,debris,equip.,ltng._y,misc._y,powerline_y,p-w-f_y,railroad_y,smoking_y,undet._y,vehicle_y,year_x.1,region_x.1,brush,grass,timber,woodland,other,year_y.1,region_y.1,arson,campfire,debris_burning_y,equip._use_y,ltng.,misc.,powerline,p-w-f,rail-road,smoking,undet.,vehicle,year_,region_,.25_acres_or_<_y,.26-9.99_acres_y,10-99_acres_y,100-299_acres_y,300-999_acres_y,1000-4999_acres_y,5000_acres_>_y,year,region,county_year
Siskiyou,3.0,3.0,32.0,4.0,4.0,22.0,1.0,1.0,0.0,2.0,23.0,3.0,2012.0,north,63.0,29.0,3.0,3.0,0.0,0.0,0.0,2012.0,north,2,4,458.0,1,6,4,0,100.0,0.0,0.0,16,1.0,2012.0,north,0.0,145.0,232.0,110.0,105.0,2012.0,north,$0 ,"$1,000 ","$4,815 ",$0 ,$0 ,$0 ,$0 ,$100 ,$0 ,$0 ,"$5,500 ",$0 ,2012.0,north ,"$3,100 ","$7,900 ",$315 ,$100 ,$0 ,$0 ,$0 ,2012.0,north,Siskiyou_2012
Solano,2.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,7.0,0.0,2012.0,north,6.0,9.0,3.0,1.0,0.0,0.0,0.0,2012.0,north,115,1,1.0,4,0,17,7,0.0,0.0,1.0,89,0.0,2012.0,north,0.0,222.0,0.0,0.0,13.0,2012.0,north,$400 ,"$1,000 ",$0 ,$0 ,$0 ,$0 ,$200 ,$0 ,$0 ,$900 ,$12 ,$0 ,2012.0,north ,$900 ,"$1,202 ",$10 ,$400 ,$0 ,$0 ,$0 ,2012.0,north,Solano_2012
Sonoma,3.0,7.0,17.0,11.0,0.0,25.0,19.0,1.0,0.0,1.0,33.0,11.0,2012.0,north,74.0,50.0,4.0,0.0,0.0,0.0,0.0,2012.0,north,2,2,8.0,6,0,3,40,0.0,0.0,1.0,47,14.0,2012.0,north,3.0,73.0,7.0,1.0,39.0,2012.0,north,"$3,000 ",$0 ,$0 ,$51 ,$0 ,$300 ,"$1,900 ",$0 ,$0 ,$0 ,"$101,535 ","$585,100 ",2012.0,north ,$735 ,"$691,151 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,north,Sonoma_2012
Tehama,2.0,1.0,9.0,14.0,2.0,16.0,5.0,1.0,0.0,0.0,23.0,3.0,2012.0,north,30.0,34.0,8.0,2.0,1.0,0.0,1.0,2012.0,north,,,,,,,,,,,,,,,0.0,0.0,3.0,0.0,1644.0,2012.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$5,000 ",$0 ,2012.0,north ,$0 ,"$5,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,north,Tehama_2012
Tehama,2.0,1.0,9.0,14.0,2.0,16.0,5.0,1.0,0.0,0.0,23.0,3.0,2012.0,north,30.0,34.0,8.0,2.0,1.0,0.0,1.0,2012.0,north,,,,,,,,,,,,,,,0.0,0.0,3.0,0.0,1644.0,2012.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$5,000 ",$0 ,2012.0,north ,$520 ,"$72,800 ","$1,354,100 ","$50,000 ","$12,000 ",$0 ,"$15,000,000 ",2012.0,north,Tehama_2012
Tehama,2.0,1.0,9.0,14.0,2.0,16.0,5.0,1.0,0.0,0.0,23.0,3.0,2012.0,north,30.0,34.0,8.0,2.0,1.0,0.0,1.0,2012.0,north,,,,,,,,,,,,,,,0.0,0.0,3.0,0.0,1644.0,2012.0,north,$200 ,$20 ,"$20,400 ","$859,300 ","$15,000,000 ","$540,000 ","$15,000 ",$0 ,$0 ,$0 ,"$42,500 ","$12,000 ",2012.0,north ,$0 ,"$5,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,north,Tehama_2012
Tehama,2.0,1.0,9.0,14.0,2.0,16.0,5.0,1.0,0.0,0.0,23.0,3.0,2012.0,north,30.0,34.0,8.0,2.0,1.0,0.0,1.0,2012.0,north,,,,,,,,,,,,,,,0.0,0.0,3.0,0.0,1644.0,2012.0,north,$200 ,$20 ,"$20,400 ","$859,300 ","$15,000,000 ","$540,000 ","$15,000 ",$0 ,$0 ,$0 ,"$42,500 ","$12,000 ",2012.0,north ,$520 ,"$72,800 ","$1,354,100 ","$50,000 ","$12,000 ",$0 ,"$15,000,000 ",2012.0,north,Tehama_2012
Tehama,2.0,1.0,9.0,14.0,2.0,16.0,5.0,1.0,0.0,0.0,23.0,3.0,2012.0,north,30.0,34.0,8.0,2.0,1.0,0.0,1.0,2012.0,north,,,,,,,,,,,,,,,2.0,828.0,0.0,0.0,27808.0,2012.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$5,000 ",$0 ,2012.0,north ,$0 ,"$5,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,north,Tehama_2012
Tehama,2.0,1.0,9.0,14.0,2.0,16.0,5.0,1.0,0.0,0.0,23.0,3.0,2012.0,north,30.0,34.0,8.0,2.0,1.0,0.0,1.0,2012.0,north,,,,,,,,,,,,,,,2.0,828.0,0.0,0.0,27808.0,2012.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$5,000 ",$0 ,2012.0,north ,$520 ,"$72,800 ","$1,354,100 ","$50,000 ","$12,000 ",$0 ,"$15,000,000 ",2012.0,north,Tehama_2012
Tehama,2.0,1.0,9.0,14.0,2.0,16.0,5.0,1.0,0.0,0.0,23.0,3.0,2012.0,north,30.0,34.0,8.0,2.0,1.0,0.0,1.0,2012.0,north,,,,,,,,,,,,,,,2.0,828.0,0.0,0.0,27808.0,2012.0,north,$200 ,$20 ,"$20,400 ","$859,300 ","$15,000,000 ","$540,000 ","$15,000 ",$0 ,$0 ,$0 ,"$42,500 ","$12,000 ",2012.0,north ,$0 ,"$5,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,north,Tehama_2012
Tehama,2.0,1.0,9.0,14.0,2.0,16.0,5.0,1.0,0.0,0.0,23.0,3.0,2012.0,north,30.0,34.0,8.0,2.0,1.0,0.0,1.0,2012.0,north,,,,,,,,,,,,,,,2.0,828.0,0.0,0.0,27808.0,2012.0,north,$200 ,$20 ,"$20,400 ","$859,300 ","$15,000,000 ","$540,000 ","$15,000 ",$0 ,$0 ,$0 ,"$42,500 ","$12,000 ",2012.0,north ,$520 ,"$72,800 ","$1,354,100 ","$50,000 ","$12,000 ",$0 ,"$15,000,000 ",2012.0,north,Tehama_2012
Tulare,7.0,1.0,2.0,3.0,1.0,3.0,6.0,0.0,0.0,0.0,11.0,4.0,2012.0,south,17.0,15.0,6.0,0.0,0.0,0.0,0.0,2012.0,south,27,0,0.0,25,0,6,6,0.0,0.0,0.0,122,1.0,2012.0,south,0.0,187.0,0.0,0.0,0.0,2012.0,south,$251 ,$0 ,$0 ,$275 ,$5 ,$100 ,"$1,050 ",$0 ,$0 ,$0 ,"$7,225 ",$0 ,2012.0,south,$75 ,"$1,331 ","$7,500 ",$0 ,$0 ,$0 ,$0 ,2012.0,south,Tulare_2012
Tuolumne,1.0,2.0,15.0,10.0,5.0,13.0,7.0,3.0,0.0,2.0,24.0,3.0,2012.0,south,40.0,39.0,4.0,1.0,1.0,0.0,0.0,2012.0,south,1,1,11.0,126,10,0,11,26.0,0.0,1.0,985,2.0,2012.0,south,69.0,1052.0,3.0,1.0,49.0,2012.0,south,$0 ,$0 ,$900 ,$802 ,"$3,100 ",$0 ,"$1,701 ","$4,820 ",$0 ,$0 ,"$37,370 ",$200 ,2012.0,south,$221 ,"$15,372 ","$5,300 ","$23,000 ","$5,000 ",$0 ,$0 ,2012.0,south,Tuolumne_2012
W. San Joaquin,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2012.0,north,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2012.0,north,0,0,0.0,0,0,6,0,0.0,0.0,0.0,0,198.0,2012.0,north,0.0,204.0,0.0,0.0,0.0,2012.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$600 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$20,000 ",2012.0,north ,$0 ,$600 ,"$20,000 ",$0 ,$0 ,$0 ,$0 ,2012.0,north,W. San Joaquin_2012
W. Stanislaus,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,2012.0,north,5.0,4.0,1.0,0.0,0.0,0.0,0.0,2012.0,north,0,0,0.0,0,0,0,3,0.0,0.0,0.0,38,3.0,2012.0,north,0.0,44.0,0.0,0.0,0.0,2012.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,north,W. Stanislaus_2012
Yolo,2.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,2012.0,north,6.0,4.0,0.0,3.0,1.0,0.0,1.0,2012.0,north,251,0,0.0,529,0,0,0,0.0,0.0,0.0,"19,265",137.0,2012.0,north,19005.0,526.0,0.0,0.0,651.0,2012.0,north,$0 ,$0 ,$0 ,$4 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,north ,$0 ,$4 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,north,Yolo_2012
Yuba,1.0,0.0,6.0,6.0,0.0,10.0,4.0,1.0,1.0,0.0,15.0,3.0,2012.0,north,10.0,34.0,3.0,0.0,0.0,0.0,0.0,2012.0,north,0,0,10.0,4,0,51,13,1.0,1.0,0.0,13,24.0,2012.0,north,21.0,68.0,2.0,0.0,26.0,2012.0,north,$0 ,$0 ,$0 ,"$2,100 ",$0 ,$0 ,"$35,000 ",$0 ,$0 ,$0 ,$0 ,"$250,100 ",2012.0,north ,$0 ,"$37,200 ","$250,000 ",$0 ,$0 ,$0 ,$0 ,2012.0,north,Yuba_2012
Tehama_Amador_El_Dorado,,,,,,,,,,,,,,,,,,,,,,,,"1,641",0,0.0,3,0,0,0,0.0,0.0,0.0,3,0.0,2012.0,north,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tehama_Amador_El_Dorado_2012
Tehama_Sonoma_Lake_Napa,,,,,,,,,,,,,,,,,,,,,,,,7,0,7.0,261,"27,678",158,99,5.0,0.0,0.0,81,342.0,2012.0,north,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tehama_Sonoma_Lake_Napa_2012
