county,arson_x,campfire_x,debris_burning_x,elec._power_x,equip._use_x,ltng._x,misc._x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,.25_acres_or_<_x,.26-9.99_acres_x,10-99_acres_x,100-299_acres_x,300-999_acres_x,1000-4999_acres_x,5000_acres_>_x,arson_y,campfire_y,debris_burning_y,elec._power_y,equip._use_y,ltng._y,misc._y,p-w-f_y,railroad_y,smoking_y,undet._y,vehicle_y,brush,grass,timber,woodland,other,arson,campfire,debris_burning,elec._power,equip._use,ltng.,misc.,p-w-f,railroad,smoking,undet.,vehicle,.25_acres_or_<_y,.26-9.99_acres_y,10-99_acres_y,100-299_acres_y,300-999_acres_y,1000-4999_acres_y,5000_acres_>_y,year,region,county_year
Kings,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,south,Kings_2016
Lake,16,1,5,13,6,0,6,0,0,2,20,5,53,14,6,0,0,1,0,"3,979",0,2,18,29,0,2,0,0,0,3,8,15,4002,2,0,22,"$105,260,000 ",$0 ,$0 ,"$3,300 ","$150,000 ",$0 ,"$142,728 ",$0 ,$0 ,$0 ,"$23,000 ",$0 ,"$168,728 ",$300 ,"$410,000 ",$0 ,$0 ,"$105,000,000 ",$0 ,2016,north,Lake_2016
Lassen,2,2,8,0,1,4,3,0,0,0,6,5,18,11,1,0,0,1,0,1,1,4,0,5,5,1,0,0,0,"2,577",37,11,2,2608,3,7,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$110,100 ",$0 ,$0 ,$0 ,"$400,000 ","$205,200 ","$200,300 ","$110,000 ","$5,000 ",$0 ,$0 ,"$400,000 ",$0 ,2016,north,Lassen_2016
Madera,5,0,11,4,11,1,27,0,0,1,6,15,39,36,5,1,0,0,0,2,0,41,8,189,0,105,0,0,2,82,70,0,302,1,188,8,"$10,600 ",$0 ,"$268,350 ","$1,525 ","$15,000 ",$0 ,$100 ,$0 ,$0 ,$0 ,"$1,450 ","$2,900 ","$10,850 ","$4,775 ","$284,300 ",$0 ,$0 ,$0 ,$0 ,2016,south,Madera_2016
Mariposa,2,0,15,3,7,0,5,1,0,0,13,14,25,33,2,0,0,0,0,1,0,12,4,33,0,1,0,0,0,52,22,1,100,2,0,22,$0 ,$0 ,$310 ,$0 ,"$1,000 ",$0 ,"$1,000 ",$0 ,$0 ,$0 ,"$44,100 ","$2,000 ","$1,310 ","$43,200 ","$3,900 ",$0 ,$0 ,$0 ,$0 ,2016,south,Mariposa_2016
Mendocino,7,5,24,14,9,0,15,1,1,0,29,13,84,29,5,0,0,0,0,1,18,6,7,50,0,9,0,1,0,12,102,2,166,4,1,33,$0 ,$0 ,$500 ,"$153,502 ","$101,002 ",$0 ,"$5,620 ",$0 ,$0 ,$0 ,"$152,788 ","$280,022 ","$180,746 ","$252,688 ","$260,000 ",$0 ,$0 ,$0 ,$0 ,2016,north,Mendocino_2016
Merced,0,1,3,2,1,0,2,0,0,0,20,6,12,15,7,0,0,1,0,0,33,12,37,5,0,5,0,0,0,52,"1,353",0,1496,0,0,1,$0 ,$0 ,"$1,000 ","$150,000 ","$10,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,900 ","$14,600 ","$1,200 ","$10,200 ","$161,100 ",$0 ,$0 ,"$5,000 ",$0 ,2016,south,Merced_2016
Modoc,0,0,0,0,1,1,2,0,1,0,2,1,4,3,0,0,1,0,0,0,0,0,0,0,0,5,0,380,0,1,2,4,1,1,0,382,$0 ,$0 ,$0 ,$0 ,$0 ,$1 ,$1 ,$0 ,$2 ,$0 ,"$150,000 ",$0 ,$2 ,"$150,000 ",$0 ,$0 ,$2 ,$0 ,$0 ,2016,north,Modoc_2016
Mono,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,Mono_2016
Monterey,5,2,3,12,3,0,6,1,0,1,14,11,26,23,5,2,0,1,1,6,"132,127","3,877",9,7,0,55,0,0,0,236,307,227,4259,132127,1,10,"$1,000 ","$10,345,582 ","$776,200 ",$101 ,$800 ,$0 ,"$3,200 ",$0 ,$0 ,$0 ,"$84,400 ","$11,000 ","$6,401 ","$11,600 ",$500 ,"$83,000 ",$0 ,"$775,200 ","$10,345,582 ",2016,south,Monterey_2016
Napa,4,1,2,8,2,0,6,1,0,0,17,5,26,17,3,0,0,0,0,2,0,0,3,6,0,1,0,0,0,120,7,54,81,1,0,3,$0 ,$0 ,$0 ,$120 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$100,000 ","$200,000 ",$120 ,"$200,000 ","$100,000 ",$0 ,$0 ,$0 ,$0 ,2016,north,Napa_2016
Nevada,7,10,26,10,11,1,16,2,0,0,35,7,104,21,0,0,0,0,0,12,1,6,1,6,0,4,0,0,0,14,0,5,22,3,4,10,$16 ,$0 ,$300 ,"$2,002 ",$70 ,$0 ,"$1,049,627 ",$100 ,$0 ,$0 ,"$28,306 ",$500 ,"$603,762 ","$477,159 ",$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,Nevada_2016
Placer,5,10,31,9,16,2,13,2,0,4,33,8,96,35,1,0,0,0,1,1,2,6,8,21,0,8,2,0,2,"5,669",3,3,59,5649,2,9,$0 ,$0 ,"$16,200 ","$2,250 ","$207,000 ",$0 ,$200 ,$350 ,$0 ,$100 ,"$16,100 ",$0 ,"$27,350 ","$214,850 ",$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,Placer_2016
Plumas,0,0,1,0,1,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,Plumas_2016
Riverside,13,7,6,5,5,2,22,5,0,1,63,4,84,42,3,3,0,1,0,216,7,1,1,2,1,11,1,0,10,"1,835",3,166,1724,3,0,195,$0 ,$0 ,$0 ,$0 ,$600 ,$0 ,"$1,020 ",$0 ,$0 ,$0 ,"$2,000 ",$0 ,"$2,000 ",$620 ,$0 ,"$1,000 ",$0 ,$0 ,$0 ,2016,south,Riverside_2016
Sacramento,2,0,0,3,4,0,1,1,0,0,7,3,11,6,3,0,1,0,0,0,0,0,87,79,0,0,2,0,0,2,372,1,509,0,0,32,$0 ,$0 ,$0 ,$0 ,"$1,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,$1 ,"$20,000 ",$0 ,"$1,201 ",$0 ,$0 ,"$20,000 ",$0 ,$0 ,2016,north,Sacramento_2016
San Benito,1,0,1,3,5,0,6,0,0,0,2,5,10,9,4,0,0,0,0,0,0,1,1,89,0,174,0,0,0,0,7,98,91,0,0,83,$0 ,$0 ,"$1,000 ","$8,000 ",$100 ,$0 ,"$20,500 ",$0 ,$0 ,$0 ,$0 ,$2 ,$0 ,"$29,102 ",$500 ,$0 ,$0 ,$0 ,$0 ,2016,south,San Benito_2016
San Bernardino,4,15,10,6,2,3,21,0,1,0,30,5,81,16,0,0,0,0,0,0,0,3,1,2,3,2,0,0,0,8,0,4,7,3,1,4,$0 ,$0 ,$200 ,"$20,000 ",$0 ,$0 ,"$604,045 ",$0 ,$0 ,$0 ,"$5,000 ",$0 ,"$624,045 ","$5,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,2016,south,San Bernardino_2016
San Diego,10,7,14,16,8,5,17,2,0,3,36,13,87,37,5,1,0,0,1,7,2,4,12,22,5,33,0,0,1,"7,794",83,7873,41,9,0,40,$0 ,$0 ,$0 ,$0 ,"$15,210 ",$0 ,"$23,700 ",$0 ,$0 ,$0 ,"$3,833,850 ","$414,000 ","$178,210 ","$285,700 ","$4,500 ",$0 ,$0 ,$0 ,"$3,818,350 ",2016,south,San Diego_2016
San Francisco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,San Francisco_2016
San Joaquin,0,0,0,1,1,0,0,0,1,0,7,3,4,6,1,2,0,0,0,0,0,0,0,5,0,0,0,1,0,223,149,0,378,0,0,0,$0 ,$0 ,$0 ,$0 ,$900 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,036 ",$0 ,$0 ,"$1,800 ",$0 ,$136 ,$0 ,$0 ,$0 ,2016,north,San Joaquin_2016
San Luis Obispo,8,7,13,17,20,0,22,0,0,3,37,19,71,65,8,1,0,0,1,10,2,13,67,92,0,20,0,0,4,255,"46,342",103,431,1,46236,34,$700 ,$0 ,$0 ,"$23,460 ","$21,300 ",$0 ,$0 ,$0 ,$0 ,$200 ,"$7,300 ","$12,162,751 ","$3,100 ","$54,560 ","$3,000 ","$2,500 ",$0 ,$0 ,"$12,152,551 ",2016,south,San Luis Obispo_2016
San Mateo,0,2,1,3,1,0,7,0,0,2,5,2,17,5,1,0,0,0,0,0,0,3,2,,0,1,0,0,0,13,1,0,17,3,0,0,$0 ,"$15,000 ",$0 ,$0 ,$0 ,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,"$5,000 ","$15,200 ","$5,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,San Mateo_2016
Santa Clara,0,1,2,1,4,0,5,0,0,2,17,5,19,13,2,2,0,1,0,0,0,3,25,129,0,103,0,0,0,"4,488",8,4504,237,1,0,14,$0 ,$0 ,"$3,500 ","$50,000 ",$500 ,$0 ,$200 ,$0 ,$0 ,$0 ,"$220,002 ","$1,020 ","$3,700 ","$1,022 ","$50,000 ",$500 ,$0 ,"$220,000 ",$0 ,2016,north,Santa Clara_2016
Santa Cruz,2,3,1,8,2,0,3,0,0,0,11,2,29,3,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,10,1,12,1,0,1,$0 ,$2 ,$100 ,"$1,000 ",$300 ,$0 ,$0 ,$0 ,$0 ,$0 ,$201 ,"$7,000 ","$6,603 ","$2,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,Santa Cruz_2016
Shasta,13,5,24,7,6,9,14,2,0,3,22,9,64,44,5,0,1,0,0,311,1,42,7,2,2,27,0,0,1,47,40,7,115,3,15,340,"$52,000 ",$0 ,"$12,211 ",$0 ,"$100,500 ",$0 ,"$40,000 ",$0 ,$0 ,$0 ,$700 ,"$10,300 ","$112,500 ","$48,701 ","$2,510 ",$0 ,"$52,000 ",$0 ,$0 ,2016,north,Shasta_2016
Sierra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,Sierra_2016
Siskiyou,3,8,20,10,5,21,59,1,1,3,22,7,137,18,4,0,1,0,0,0,2,9,713,2,8,1,29,28,0,31,21,1,831,6,5,1,$200 ,$0 ,$500 ,"$286,411 ",$501 ,$0 ,"$1,500 ",$500 ,"$1,300 ",$0 ,"$4,800 ",$0 ,"$5,801 ","$1,900 ","$1,800 ",$0 ,"$286,211 ",$0 ,$0 ,2016,north,Siskiyou_2016
Solano,0,0,0,2,4,0,0,0,0,0,3,2,4,5,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,68,1,0,72,0,0,1,$0 ,$0 ,$0 ,$100 ,"$1,002 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,001 ",$0 ,$100 ,"$1,003 ","$2,000 ",$0 ,$0 ,$0 ,$0 ,2016,north,Solano_2016
Sonoma,8,10,7,13,12,0,21,2,0,0,27,21,88,31,1,0,0,1,0,3,0,1,4,12,0,"1,559",1,0,0,42,10,3,74,6,0,1549,$0 ,$0 ,$0 ,"$1,000 ",$502 ,$0 ,"$116,002 ",$0 ,$0 ,$0 ,"$503,902 ","$43,700 ","$126,100 ","$539,006 ",$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,Sonoma_2016
Stanislaus,0,1,0,2,1,1,1,0,0,0,10,2,7,5,5,1,0,0,0,0,8,0,30,1,3,0,0,0,0,207,32,1,280,0,0,0,$0 ,"$1,600 ",$0 ,"$4,500 ",$100 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,250 ",$100 ,$100 ,"$1,700 ","$5,750 ","$1,000 ",$0 ,$0 ,$0 ,2016,north,Stanislaus_2016
Sutter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,Sutter_2016
Tehama,2,1,5,9,13,2,5,0,0,0,19,3,31,19,7,0,2,0,0,0,0,3,798,110,0,16,0,0,0,93,90,10,1096,4,0,0,$0 ,$0 ,$200 ,"$371,000 ","$7,850 ",$0 ,$200 ,$0 ,$0 ,$0 ,"$34,000 ","$21,000 ","$7,950 ","$407,800 ","$13,500 ",$0 ,"$5,000 ",$0 ,$0 ,2016,north,Tehama_2016
Trinity,0,0,4,4,0,0,0,0,0,1,6,3,14,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2,0,0,2,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,Trinity_2016
Tulare,28,1,6,5,3,1,4,1,0,1,14,7,18,46,7,0,0,0,0,72,0,2,62,28,0,1,0,0,0,54,10,0,198,1,1,29,$0 ,$2 ,$0 ,"$4,000 ","$1,750 ",$500 ,$0 ,$0 ,$0 ,$0 ,$2 ,"$2,410 ",$502 ,"$2,662 ","$5,500 ",$0 ,$0 ,$0 ,$0 ,2016,south,Tulare_2016
Tuolumne,1,0,21,6,8,2,8,3,0,2,20,8,48,27,3,0,0,1,0,0,0,4,32,27,2,84,10,0,0,8,"1,095",1092,148,7,9,6,$0 ,$0 ,$601 ,"$4,102 ","$4,100 ",$0 ,$0 ,"$20,750 ",$0 ,$0 ,"$6,260 ","$4,550 ","$7,461 ","$28,902 ","$4,000 ",$0 ,$0 ,$0 ,$0 ,2016,south,Tuolumne_2016
Yolo,0,0,6,4,4,0,0,0,0,0,6,2,12,7,1,1,0,0,1,0,0,5,2,89,0,0,0,0,0,"6,008",1,0,372,0,0,5733,$0 ,$0 ,"$1,600 ",$100 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$5,000,000 ",$0 ,$0 ,"$1,900 ",$0 ,$0 ,$0 ,$0 ,"$5,000,000 ",2016,north,Yolo_2016
Yuba,4,2,10,0,10,0,5,1,0,1,26,2,29,25,6,0,1,0,0,0,1,4,0,36,0,413,0,0,1,93,54,2,596,1,2,1,$0 ,$0 ,$4 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$171,000 ","$26,016 ",$0 ,"$17,000 ","$177,020 ","$3,000 ",$0 ,$0 ,$0 ,$0 ,2016,north,Yuba_2016
